epoch,train,valid,test,train_loss
1.0,0.6682,0.6802,0.6779,1.739510159298431
2.0,0.7263272727272727,0.7332,0.732,0.5149643127828143
3.0,0.8325272727272728,0.8402,0.8318,0.30629369323250166
4.0,0.8088727272727273,0.8078,0.8168,0.2584241278252976
5.0,0.9436909090909091,0.9432,0.943,0.22442550262392955
6.0,0.9142363636363636,0.9158,0.9189,0.164144291468831
7.0,0.9492545454545455,0.9474,0.9463,0.14160156730497472
8.0,0.9489454545454545,0.9436,0.9508,0.1264734870321009
9.0,0.9618181818181818,0.9564,0.9557,0.11289055476690707
10.0,0.9451272727272727,0.946,0.9413,0.10022304670744424
11.0,0.9700363636363636,0.9678,0.9671,0.09443970091835877
12.0,0.9746,0.9706,0.9678,0.08483283073738823
13.0,0.9767090909090909,0.966,0.9702,0.07897349423891323
14.0,0.9654909090909091,0.9586,0.9569,0.07266880721043319
15.0,0.9725272727272727,0.9628,0.9644,0.06426416500417385
16.0,0.9712363636363637,0.964,0.963,0.06113836864837943
17.0,0.9861272727272727,0.9768,0.9764,0.055186431601286196
18.0,0.980890909090909,0.9704,0.9717,0.05010700450092013
19.0,0.986909090909091,0.9762,0.9728,0.04848325968514262
20.0,0.9738545454545454,0.9636,0.9625,0.04451748697732868
21.0,0.9855454545454545,0.974,0.9722,0.0397183330351254
22.0,0.9786,0.966,0.9662,0.03675496417055784
23.0,0.9860727272727273,0.9734,0.9709,0.03554961538405244
24.0,0.9764,0.9672,0.9627,0.032506254150093596
25.0,0.9932,0.9788,0.9782,0.02917287156989576
26.0,0.9858363636363636,0.9714,0.9713,0.02595746822502575
27.0,0.9916545454545455,0.9776,0.9748,0.024109235790650885
28.0,0.9835090909090909,0.9702,0.9695,0.024695521467786655
29.0,0.9902,0.975,0.9735,0.023177257407600294
30.0,0.9930545454545454,0.9792,0.9759,0.021666522948497767
31.0,0.9962363636363636,0.9798,0.9776,0.019780931766446123
32.0,0.9917818181818182,0.9728,0.9727,0.019321446239819337
33.0,0.9895272727272727,0.9734,0.9694,0.01792968709382982
34.0,0.9934545454545455,0.9774,0.9742,0.020976794636217797
35.0,0.9953454545454545,0.9804,0.9757,0.017050706961099633
36.0,0.9910727272727273,0.9768,0.9727,0.015480809475553373
37.0,0.9933272727272727,0.9776,0.9754,0.015372108359292196
38.0,0.9960181818181818,0.9794,0.977,0.014492423950384343
39.0,0.9859636363636364,0.9688,0.9697,0.015319504098513705
40.0,0.9965454545454545,0.979,0.9772,0.012108162184931855
41.0,0.9998,0.985,0.9815,0.004446665556974156
42.0,0.9998181818181818,0.9854,0.9813,0.0016763306453175004
43.0,0.9973272727272727,0.9788,0.979,0.007413874016354088
44.0,0.9986545454545455,0.982,0.9806,0.0052798824843738506
45.0,0.9988727272727272,0.9828,0.9802,0.004742981408888988
46.0,0.9977272727272727,0.9796,0.9784,0.004355918461982752
47.0,0.9943454545454545,0.978,0.9757,0.004452466543830005
48.0,0.9984909090909091,0.9804,0.9777,0.006307910968739845
49.0,0.9994,0.9818,0.9802,0.0012608631374194526
50.0,0.9991636363636364,0.983,0.9813,0.006353976536790475
51.0,0.9985818181818182,0.9804,0.9799,0.005458384059368808
52.0,0.9998181818181818,0.9844,0.9833,0.0030915442487655528
53.0,0.9997090909090909,0.9832,0.9806,0.005681979751435646
54.0,0.9982181818181818,0.9788,0.9801,0.005084351813553667
55.0,0.9996181818181819,0.982,0.9811,0.005588665594070512
56.0,0.9997636363636364,0.9842,0.9816,0.002284352148873109
57.0,0.9953454545454545,0.9786,0.9746,0.0039375901100375055
58.0,0.9966,0.9778,0.9763,0.004858835377200685
59.0,0.9992545454545455,0.9814,0.9787,0.00581993476719731
60.0,0.9990909090909091,0.9806,0.9794,0.003373005723156024
61.0,0.9949272727272728,0.977,0.9768,0.0032408045227213856
62.0,0.9997636363636364,0.9838,0.9808,0.0053130614087305815
63.0,0.9991636363636364,0.982,0.981,0.00614794687132098
64.0,0.9989272727272728,0.9804,0.9808,0.003840912495445338
65.0,0.9995090909090909,0.9834,0.9798,0.0025824630240925024
66.0,0.9995454545454545,0.982,0.9799,0.0015832702435021153
67.0,0.9990727272727272,0.9834,0.9797,0.007365754766312003
68.0,0.9997272727272727,0.9838,0.9798,0.00413660677393651
69.0,0.9997818181818182,0.9848,0.9827,0.002539573006459489
70.0,0.9986181818181818,0.981,0.9794,0.004650378776194379
71.0,0.9997272727272727,0.9814,0.9823,0.0025516638658086644
72.0,0.9976727272727273,0.978,0.9762,0.004431769856024848
73.0,0.9996363636363637,0.9842,0.9806,0.0035063271208123086
