{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672752173', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672752174, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  11%|█         | 67/600 [00:00<00:00, 665.34it/s]Pre-process:  23%|██▎       | 137/600 [00:00<00:00, 676.06it/s]Pre-process:  34%|███▍      | 207/600 [00:00<00:00, 685.92it/s]Pre-process:  47%|████▋     | 280/600 [00:00<00:00, 700.81it/s]Pre-process:  58%|█████▊    | 351/600 [00:00<00:00, 649.23it/s]Pre-process:  71%|███████   | 425/600 [00:00<00:00, 678.11it/s]Pre-process:  83%|████████▎ | 497/600 [00:00<00:00, 689.69it/s]Pre-process:  94%|█████████▍| 567/600 [00:00<00:00, 680.78it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 676.47it/s]
Basis total: 37
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1339142
Epoch: 001, Train Loss: 6.9998324, Train Acc: 0.2074074, Test Acc: 0.2000000
Epoch: 002, Train Loss: 2.5399991, Train Acc: 0.2629630, Test Acc: 0.2500000
Epoch: 003, Train Loss: 1.7598620, Train Acc: 0.2759259, Test Acc: 0.2833333
Epoch: 004, Train Loss: 1.6547898, Train Acc: 0.3722222, Test Acc: 0.3000000
Epoch: 005, Train Loss: 1.5361308, Train Acc: 0.3759259, Test Acc: 0.3500000
Epoch: 006, Train Loss: 1.5326567, Train Acc: 0.4129630, Test Acc: 0.3666667
Epoch: 007, Train Loss: 1.4861131, Train Acc: 0.4925926, Test Acc: 0.4500000
Epoch: 008, Train Loss: 1.5259717, Train Acc: 0.4666667, Test Acc: 0.3500000
Epoch: 009, Train Loss: 1.5197738, Train Acc: 0.4111111, Test Acc: 0.3500000
Epoch: 010, Train Loss: 1.5233697, Train Acc: 0.3925926, Test Acc: 0.3500000
Epoch: 011, Train Loss: 1.4600733, Train Acc: 0.4796296, Test Acc: 0.4166667
Epoch: 012, Train Loss: 1.3338684, Train Acc: 0.5351852, Test Acc: 0.4500000
Epoch: 013, Train Loss: 1.1968608, Train Acc: 0.5814815, Test Acc: 0.4666667
Epoch: 014, Train Loss: 1.3392531, Train Acc: 0.4240741, Test Acc: 0.3500000
Epoch: 015, Train Loss: 1.2789352, Train Acc: 0.5388889, Test Acc: 0.4333333
Epoch: 016, Train Loss: 1.0906719, Train Acc: 0.6351852, Test Acc: 0.5000000
Epoch: 017, Train Loss: 1.2183267, Train Acc: 0.5148148, Test Acc: 0.3833333
Epoch: 018, Train Loss: 1.1735720, Train Acc: 0.6000000, Test Acc: 0.4000000
Epoch: 019, Train Loss: 0.9773561, Train Acc: 0.6833333, Test Acc: 0.5166667
Epoch: 020, Train Loss: 1.1310288, Train Acc: 0.6074074, Test Acc: 0.5000000
Epoch: 021, Train Loss: 1.0958527, Train Acc: 0.5574074, Test Acc: 0.4166667
Epoch: 022, Train Loss: 0.8061497, Train Acc: 0.7666667, Test Acc: 0.5166667
Epoch: 023, Train Loss: 0.7101769, Train Acc: 0.8240741, Test Acc: 0.5833333
Epoch: 024, Train Loss: 0.6421579, Train Acc: 0.8314815, Test Acc: 0.5333333
Epoch: 025, Train Loss: 0.7632359, Train Acc: 0.7370370, Test Acc: 0.5166667
Epoch: 026, Train Loss: 0.5671154, Train Acc: 0.8648148, Test Acc: 0.6500000
