{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 6], [1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672752921', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 6], [1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672752923, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  10%|█         | 62/600 [00:00<00:00, 614.73it/s]Pre-process:  21%|██        | 127/600 [00:00<00:00, 630.75it/s]Pre-process:  33%|███▎      | 196/600 [00:00<00:00, 652.95it/s]Pre-process:  44%|████▍     | 263/600 [00:00<00:00, 656.94it/s]Pre-process:  55%|█████▍    | 329/600 [00:00<00:00, 603.14it/s]Pre-process:  66%|██████▋   | 399/600 [00:00<00:00, 631.97it/s]Pre-process:  78%|███████▊  | 469/600 [00:00<00:00, 652.59it/s]Pre-process:  89%|████████▉ | 535/600 [00:00<00:00, 639.01it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 636.30it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 636.28it/s]
Basis total: 43
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1340678
Epoch: 001, Train Loss: 8.2651933, Train Acc: 0.2518519, Test Acc: 0.2333333
Epoch: 002, Train Loss: 2.8824412, Train Acc: 0.2370370, Test Acc: 0.3000000
Epoch: 003, Train Loss: 1.7711214, Train Acc: 0.3203704, Test Acc: 0.2666667
Epoch: 004, Train Loss: 1.7597783, Train Acc: 0.2796296, Test Acc: 0.2500000
Epoch: 005, Train Loss: 1.6722297, Train Acc: 0.3425926, Test Acc: 0.3166667
Epoch: 006, Train Loss: 1.6892168, Train Acc: 0.3092593, Test Acc: 0.3000000
Epoch: 007, Train Loss: 1.5687312, Train Acc: 0.3333333, Test Acc: 0.2833333
Epoch: 008, Train Loss: 1.4899188, Train Acc: 0.3777778, Test Acc: 0.2833333
Epoch: 009, Train Loss: 1.4292968, Train Acc: 0.4962963, Test Acc: 0.4333333
Epoch: 010, Train Loss: 1.3965428, Train Acc: 0.5111111, Test Acc: 0.4166667
Epoch: 011, Train Loss: 1.3225876, Train Acc: 0.5277778, Test Acc: 0.3500000
Epoch: 012, Train Loss: 1.2579836, Train Acc: 0.5907407, Test Acc: 0.4666667
Epoch: 013, Train Loss: 1.3286707, Train Acc: 0.4537037, Test Acc: 0.3500000
Epoch: 014, Train Loss: 1.2893032, Train Acc: 0.4944444, Test Acc: 0.4166667
Epoch: 015, Train Loss: 1.2428805, Train Acc: 0.5537037, Test Acc: 0.4500000
Epoch: 016, Train Loss: 1.1993454, Train Acc: 0.5666667, Test Acc: 0.4500000
Epoch: 017, Train Loss: 1.2547811, Train Acc: 0.5388889, Test Acc: 0.4333333
Epoch: 018, Train Loss: 1.0498254, Train Acc: 0.6314815, Test Acc: 0.4833333
Epoch: 019, Train Loss: 1.0133107, Train Acc: 0.6425926, Test Acc: 0.4166667
Epoch: 020, Train Loss: 1.1975773, Train Acc: 0.6111111, Test Acc: 0.4500000
Epoch: 021, Train Loss: 1.2284362, Train Acc: 0.4907407, Test Acc: 0.3666667
Epoch: 022, Train Loss: 0.9843654, Train Acc: 0.6222222, Test Acc: 0.4500000
Epoch: 023, Train Loss: 0.8336992, Train Acc: 0.7592593, Test Acc: 0.5500000
Epoch: 024, Train Loss: 0.8107257, Train Acc: 0.7685185, Test Acc: 0.6333333
Epoch: 025, Train Loss: 0.8708410, Train Acc: 0.7314815, Test Acc: 0.5500000
Epoch: 026, Train Loss: 0.8768106, Train Acc: 0.7018519, Test Acc: 0.5500000
Epoch: 027, Train Loss: 0.6765772, Train Acc: 0.8074074, Test Acc: 0.5833333
