{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[3, 5], [3, 5], [3, 5], [4, 7], [4, 7], [4, 7]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672753290', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[3, 5], [3, 5], [3, 5], [4, 7], [4, 7], [4, 7]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672753291, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  12%|█▏        | 71/600 [00:00<00:00, 709.82it/s]Pre-process:  24%|██▍       | 146/600 [00:00<00:00, 728.27it/s]Pre-process:  37%|███▋      | 220/600 [00:00<00:00, 732.06it/s]Pre-process:  49%|████▉     | 294/600 [00:00<00:00, 725.51it/s]Pre-process:  61%|██████    | 367/600 [00:00<00:00, 705.80it/s]Pre-process:  74%|███████▍  | 444/600 [00:00<00:00, 725.25it/s]Pre-process:  87%|████████▋ | 520/600 [00:00<00:00, 735.79it/s]Pre-process:  99%|█████████▉| 594/600 [00:00<00:00, 724.33it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 723.24it/s]
Basis total: 22
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1335302
Epoch: 001, Train Loss: 7.1761024, Train Acc: 0.2111111, Test Acc: 0.2000000
Epoch: 002, Train Loss: 2.1461093, Train Acc: 0.2518519, Test Acc: 0.2166667
Epoch: 003, Train Loss: 2.1200289, Train Acc: 0.2777778, Test Acc: 0.2500000
Epoch: 004, Train Loss: 1.7463027, Train Acc: 0.2500000, Test Acc: 0.2500000
Epoch: 005, Train Loss: 1.7527845, Train Acc: 0.2370370, Test Acc: 0.2333333
Epoch: 006, Train Loss: 1.5857881, Train Acc: 0.3296296, Test Acc: 0.2500000
Epoch: 007, Train Loss: 1.4663873, Train Acc: 0.3814815, Test Acc: 0.3666667
Epoch: 008, Train Loss: 1.5658008, Train Acc: 0.3814815, Test Acc: 0.3500000
Epoch: 009, Train Loss: 1.5104707, Train Acc: 0.4703704, Test Acc: 0.4000000
Epoch: 010, Train Loss: 1.4136839, Train Acc: 0.3777778, Test Acc: 0.2666667
Epoch: 011, Train Loss: 1.3927841, Train Acc: 0.4703704, Test Acc: 0.3666667
Epoch: 012, Train Loss: 1.2917069, Train Acc: 0.5259259, Test Acc: 0.4166667
Epoch: 013, Train Loss: 1.3742146, Train Acc: 0.4722222, Test Acc: 0.3500000
Epoch: 014, Train Loss: 1.2881126, Train Acc: 0.5222222, Test Acc: 0.4166667
Epoch: 015, Train Loss: 1.1416762, Train Acc: 0.6462963, Test Acc: 0.5166667
Epoch: 016, Train Loss: 1.0455617, Train Acc: 0.6851852, Test Acc: 0.5333333
Epoch: 017, Train Loss: 1.1415095, Train Acc: 0.6277778, Test Acc: 0.5333333
Epoch: 018, Train Loss: 0.9478804, Train Acc: 0.7037037, Test Acc: 0.5666667
Epoch: 019, Train Loss: 0.9187282, Train Acc: 0.7166667, Test Acc: 0.5333333
Epoch: 020, Train Loss: 1.1121139, Train Acc: 0.5759259, Test Acc: 0.4500000
Epoch: 021, Train Loss: 1.2587930, Train Acc: 0.5425926, Test Acc: 0.4333333
Epoch: 022, Train Loss: 0.7919747, Train Acc: 0.7833333, Test Acc: 0.5833333
Epoch: 023, Train Loss: 1.1291595, Train Acc: 0.5481481, Test Acc: 0.4666667
Epoch: 024, Train Loss: 0.7294649, Train Acc: 0.7629630, Test Acc: 0.5833333
Epoch: 025, Train Loss: 0.6476893, Train Acc: 0.8222222, Test Acc: 0.5833333
Epoch: 026, Train Loss: 0.6396980, Train Acc: 0.8203704, Test Acc: 0.5500000
