{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 5], [4, 5], [4, 5], [4, 5], [4, 5], [4, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672753379', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 5], [4, 5], [4, 5], [4, 5], [4, 5], [4, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672753381, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  12%|█▏        | 74/600 [00:00<00:00, 733.79it/s]Pre-process:  26%|██▌       | 153/600 [00:00<00:00, 761.84it/s]Pre-process:  38%|███▊      | 230/600 [00:00<00:00, 761.87it/s]Pre-process:  51%|█████     | 307/600 [00:00<00:00, 738.28it/s]Pre-process:  64%|██████▍   | 387/600 [00:00<00:00, 758.30it/s]Pre-process:  78%|███████▊  | 467/600 [00:00<00:00, 771.16it/s]Pre-process:  91%|█████████ | 545/600 [00:00<00:00, 768.25it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 760.34it/s]
Basis total: 13
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1332998
Epoch: 001, Train Loss: 6.6412474, Train Acc: 0.2259259, Test Acc: 0.2166667
Epoch: 002, Train Loss: 2.6277189, Train Acc: 0.2592593, Test Acc: 0.1833333
Epoch: 003, Train Loss: 1.6696608, Train Acc: 0.2925926, Test Acc: 0.2333333
Epoch: 004, Train Loss: 1.7185741, Train Acc: 0.2777778, Test Acc: 0.2500000
Epoch: 005, Train Loss: 1.5329314, Train Acc: 0.3685185, Test Acc: 0.3333333
Epoch: 006, Train Loss: 1.4742323, Train Acc: 0.3574074, Test Acc: 0.2333333
Epoch: 007, Train Loss: 1.4669924, Train Acc: 0.4000000, Test Acc: 0.4000000
Epoch: 008, Train Loss: 1.3557527, Train Acc: 0.5074074, Test Acc: 0.4166667
Epoch: 009, Train Loss: 1.6035481, Train Acc: 0.3685185, Test Acc: 0.3500000
Epoch: 010, Train Loss: 1.3364789, Train Acc: 0.5018519, Test Acc: 0.4333333
Epoch: 011, Train Loss: 1.2902561, Train Acc: 0.5388889, Test Acc: 0.4833333
Epoch: 012, Train Loss: 1.3074928, Train Acc: 0.5092593, Test Acc: 0.4500000
Epoch: 013, Train Loss: 1.3191440, Train Acc: 0.4833333, Test Acc: 0.4666667
Epoch: 014, Train Loss: 1.2399444, Train Acc: 0.5351852, Test Acc: 0.4333333
Epoch: 015, Train Loss: 1.1185562, Train Acc: 0.6203704, Test Acc: 0.5666667
Epoch: 016, Train Loss: 1.2562725, Train Acc: 0.5166667, Test Acc: 0.5000000
Epoch: 017, Train Loss: 1.0522696, Train Acc: 0.6148148, Test Acc: 0.5000000
Epoch: 018, Train Loss: 1.0247252, Train Acc: 0.6259259, Test Acc: 0.5500000
Epoch: 019, Train Loss: 0.9455329, Train Acc: 0.6851852, Test Acc: 0.5833333
Epoch: 020, Train Loss: 0.8693399, Train Acc: 0.7185185, Test Acc: 0.5500000
Epoch: 021, Train Loss: 0.8764417, Train Acc: 0.7018519, Test Acc: 0.5500000
Epoch: 022, Train Loss: 0.7545535, Train Acc: 0.7722222, Test Acc: 0.5833333
Epoch: 023, Train Loss: 0.8011981, Train Acc: 0.7388889, Test Acc: 0.5833333
Epoch: 024, Train Loss: 1.2736336, Train Acc: 0.5388889, Test Acc: 0.4000000
Epoch: 025, Train Loss: 0.7782241, Train Acc: 0.7185185, Test Acc: 0.5166667
Epoch: 026, Train Loss: 0.5975995, Train Acc: 0.8351852, Test Acc: 0.6166667
Epoch: 027, Train Loss: 0.6140892, Train Acc: 0.8018519, Test Acc: 0.5666667
Epoch: 028, Train Loss: 0.4812071, Train Acc: 0.8814815, Test Acc: 0.6166667
Epoch: 029, Train Loss: 0.4589460, Train Acc: 0.8314815, Test Acc: 0.5833333
Epoch: 030, Train Loss: 0.4180958, Train Acc: 0.8796296, Test Acc: 0.5666667
Epoch: 031, Train Loss: 0.3471428, Train Acc: 0.9111111, Test Acc: 0.6500000
Epoch: 032, Train Loss: 0.3467722, Train Acc: 0.9111111, Test Acc: 0.6333333
Epoch: 033, Train Loss: 0.3026206, Train Acc: 0.9407407, Test Acc: 0.7000000
Epoch: 034, Train Loss: 0.3667332, Train Acc: 0.8759259, Test Acc: 0.5833333
Epoch: 035, Train Loss: 0.3638645, Train Acc: 0.8870370, Test Acc: 0.6166667
Epoch: 036, Train Loss: 0.3339045, Train Acc: 0.9129630, Test Acc: 0.6666667
Epoch: 037, Train Loss: 0.3935500, Train Acc: 0.8759259, Test Acc: 0.5833333
Epoch: 038, Train Loss: 0.5871880, Train Acc: 0.7759259, Test Acc: 0.5166667
Epoch: 039, Train Loss: 0.4437693, Train Acc: 0.8481481, Test Acc: 0.5833333
Epoch: 040, Train Loss: 0.3671522, Train Acc: 0.8851852, Test Acc: 0.5333333
Epoch: 041, Train Loss: 0.2405083, Train Acc: 0.9425926, Test Acc: 0.6333333
Epoch: 042, Train Loss: 0.3400768, Train Acc: 0.8796296, Test Acc: 0.6333333
Epoch: 043, Train Loss: 0.3079063, Train Acc: 0.9037037, Test Acc: 0.6166667
Epoch: 044, Train Loss: 0.1824727, Train Acc: 0.9703704, Test Acc: 0.7000000
Epoch: 045, Train Loss: 0.1711371, Train Acc: 0.9611111, Test Acc: 0.6000000
Epoch: 046, Train Loss: 0.1236827, Train Acc: 0.9907407, Test Acc: 0.6166667
Epoch: 047, Train Loss: 0.0725595, Train Acc: 0.9925926, Test Acc: 0.6500000
Epoch: 048, Train Loss: 0.0427296, Train Acc: 0.9981481, Test Acc: 0.7000000
Epoch: 049, Train Loss: 0.0369170, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 050, Train Loss: 0.0300443, Train Acc: 0.9962963, Test Acc: 0.7666667
Epoch: 051, Train Loss: 0.0195522, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 052, Train Loss: 0.0195725, Train Acc: 1.0000000, Test Acc: 0.7500000
Epoch: 053, Train Loss: 0.0190346, Train Acc: 0.9981481, Test Acc: 0.7333333
Epoch: 054, Train Loss: 0.0151727, Train Acc: 1.0000000, Test Acc: 0.6666667
Epoch: 055, Train Loss: 0.0153317, Train Acc: 1.0000000, Test Acc: 0.6666667
Epoch: 056, Train Loss: 0.0186559, Train Acc: 0.9944444, Test Acc: 0.7166667
Epoch: 057, Train Loss: 0.0116075, Train Acc: 1.0000000, Test Acc: 0.7333333
Epoch: 058, Train Loss: 0.0106727, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 059, Train Loss: 0.0092610, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 060, Train Loss: 0.0087412, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 061, Train Loss: 0.0087130, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 062, Train Loss: 0.0080507, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 063, Train Loss: 0.0073125, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 064, Train Loss: 0.0072534, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 065, Train Loss: 0.0069672, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 066, Train Loss: 0.0063589, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 067, Train Loss: 0.0066016, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 068, Train Loss: 0.0064293, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 069, Train Loss: 0.0058557, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 070, Train Loss: 0.0055232, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 071, Train Loss: 0.0052492, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 072, Train Loss: 0.0050637, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 073, Train Loss: 0.0046471, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 074, Train Loss: 0.0049478, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 075, Train Loss: 0.0045415, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 076, Train Loss: 0.0042964, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 077, Train Loss: 0.0043168, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 078, Train Loss: 0.0038790, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 079, Train Loss: 0.0036861, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 080, Train Loss: 0.0035807, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 081, Train Loss: 0.0037382, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 082, Train Loss: 0.0035816, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 083, Train Loss: 0.0037444, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 084, Train Loss: 0.0037035, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 085, Train Loss: 0.0036175, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 086, Train Loss: 0.0034691, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 087, Train Loss: 0.0031906, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 088, Train Loss: 0.0029975, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 089, Train Loss: 0.0030073, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 090, Train Loss: 0.0029344, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 091, Train Loss: 0.0032008, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 092, Train Loss: 0.0033431, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 093, Train Loss: 0.0032476, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 094, Train Loss: 0.0032736, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 095, Train Loss: 0.0026937, Train Acc: 1.0000000, Test Acc: 0.7166667
Epoch: 096, Train Loss: 0.0025018, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 097, Train Loss: 0.0023638, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 098, Train Loss: 0.0023330, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 099, Train Loss: 0.0021657, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 100, Train Loss: 0.0020315, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 101, Train Loss: 0.0019508, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 102, Train Loss: 0.0019135, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 103, Train Loss: 0.0019350, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 104, Train Loss: 0.0019683, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 105, Train Loss: 0.0019096, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 106, Train Loss: 0.0018218, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 107, Train Loss: 0.0018404, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 108, Train Loss: 0.0018620, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 109, Train Loss: 0.0019191, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 110, Train Loss: 0.0019942, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 111, Train Loss: 0.0019087, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 112, Train Loss: 0.0018546, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 113, Train Loss: 0.0017570, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 114, Train Loss: 0.0017297, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 115, Train Loss: 0.0016760, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 116, Train Loss: 0.0016192, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 117, Train Loss: 0.0017520, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 118, Train Loss: 0.0019876, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 119, Train Loss: 0.0016296, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 120, Train Loss: 0.0016272, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 121, Train Loss: 0.0015661, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 122, Train Loss: 0.0014614, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 123, Train Loss: 0.0014620, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 124, Train Loss: 0.0014317, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 125, Train Loss: 0.0015107, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 126, Train Loss: 0.0014127, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 127, Train Loss: 0.0014518, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 128, Train Loss: 0.0014042, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 129, Train Loss: 0.0013676, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 130, Train Loss: 0.0013410, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 131, Train Loss: 0.0014268, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 132, Train Loss: 0.0013585, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 133, Train Loss: 0.0013023, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 134, Train Loss: 0.0012595, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 135, Train Loss: 0.0012688, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 136, Train Loss: 0.0012310, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 137, Train Loss: 0.0011865, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 138, Train Loss: 0.0012044, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 139, Train Loss: 0.0011821, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 140, Train Loss: 0.0012501, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 141, Train Loss: 0.0012080, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 142, Train Loss: 0.0011374, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 143, Train Loss: 0.0010955, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 144, Train Loss: 0.0011176, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 145, Train Loss: 0.0011684, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 146, Train Loss: 0.0011315, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 147, Train Loss: 0.0010708, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 148, Train Loss: 0.0010902, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 149, Train Loss: 0.0010296, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 150, Train Loss: 0.0010253, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 151, Train Loss: 0.0010302, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 152, Train Loss: 0.0010018, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 153, Train Loss: 0.0010031, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 154, Train Loss: 0.0009762, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 155, Train Loss: 0.0009766, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 156, Train Loss: 0.0009625, Train Acc: 1.0000000, Test Acc: 0.6833333
Epoch: 157, Train Loss: 0.0009503, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 158, Train Loss: 0.0009958, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 159, Train Loss: 0.0009752, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 160, Train Loss: 0.0009670, Train Acc: 1.0000000, Test Acc: 0.7000000
Epoch: 161, Train Loss: 0.0009832, Train Acc: 1.0000000, Test Acc: 0.7000000
