{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'degs': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672757690', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'degs': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672757691, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  12%|█▏        | 72/600 [00:00<00:00, 715.52it/s]Pre-process:  24%|██▍       | 147/600 [00:00<00:00, 734.78it/s]Pre-process:  37%|███▋      | 222/600 [00:00<00:00, 739.17it/s]Pre-process:  49%|████▉     | 296/600 [00:00<00:00, 721.02it/s]Pre-process:  62%|██████▏   | 370/600 [00:00<00:00, 726.07it/s]Pre-process:  74%|███████▍  | 447/600 [00:00<00:00, 740.27it/s]Pre-process:  87%|████████▋ | 523/600 [00:00<00:00, 745.66it/s]Pre-process: 100%|█████████▉| 598/600 [00:00<00:00, 735.06it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 733.55it/s]
Basis total: 15
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1333510
Epoch: 001, Train Loss: 5.8687159, Train Acc: 0.2222222, Test Acc: 0.2833333
Epoch: 002, Train Loss: 2.8349492, Train Acc: 0.2037037, Test Acc: 0.1833333
Epoch: 003, Train Loss: 2.0202524, Train Acc: 0.2129630, Test Acc: 0.2166667
Epoch: 004, Train Loss: 1.7066061, Train Acc: 0.3166667, Test Acc: 0.2666667
Epoch: 005, Train Loss: 1.7087186, Train Acc: 0.3166667, Test Acc: 0.2500000
Epoch: 006, Train Loss: 1.6630717, Train Acc: 0.3537037, Test Acc: 0.3500000
Epoch: 007, Train Loss: 1.4563170, Train Acc: 0.4444444, Test Acc: 0.4000000
Epoch: 008, Train Loss: 1.4313420, Train Acc: 0.4425926, Test Acc: 0.3500000
Epoch: 009, Train Loss: 1.4410701, Train Acc: 0.4740741, Test Acc: 0.3833333
Epoch: 010, Train Loss: 1.3478287, Train Acc: 0.5259259, Test Acc: 0.4666667
Epoch: 011, Train Loss: 1.2923424, Train Acc: 0.5574074, Test Acc: 0.4833333
Epoch: 012, Train Loss: 1.3472085, Train Acc: 0.4574074, Test Acc: 0.3333333
Epoch: 013, Train Loss: 1.2594980, Train Acc: 0.5203704, Test Acc: 0.3833333
Epoch: 014, Train Loss: 1.2568142, Train Acc: 0.5555556, Test Acc: 0.4333333
Epoch: 015, Train Loss: 1.1325438, Train Acc: 0.5759259, Test Acc: 0.4500000
Epoch: 016, Train Loss: 1.0605624, Train Acc: 0.6629630, Test Acc: 0.5000000
Epoch: 017, Train Loss: 1.2203024, Train Acc: 0.5351852, Test Acc: 0.4166667
Epoch: 018, Train Loss: 1.3500278, Train Acc: 0.5055556, Test Acc: 0.4000000
Epoch: 019, Train Loss: 1.0657470, Train Acc: 0.5851852, Test Acc: 0.4666667
Epoch: 020, Train Loss: 1.1542757, Train Acc: 0.6055556, Test Acc: 0.4666667
Epoch: 021, Train Loss: 0.9763331, Train Acc: 0.6333333, Test Acc: 0.4000000
Epoch: 022, Train Loss: 0.9477503, Train Acc: 0.6685185, Test Acc: 0.5000000
Epoch: 023, Train Loss: 0.8454304, Train Acc: 0.7166667, Test Acc: 0.5333333
Epoch: 024, Train Loss: 0.9570833, Train Acc: 0.7000000, Test Acc: 0.5500000
Epoch: 025, Train Loss: 0.9550810, Train Acc: 0.6703704, Test Acc: 0.4833333
Epoch: 026, Train Loss: 0.7721898, Train Acc: 0.6851852, Test Acc: 0.4833333
Epoch: 027, Train Loss: 0.6472297, Train Acc: 0.8203704, Test Acc: 0.5666667
Epoch: 028, Train Loss: 0.5434221, Train Acc: 0.8648148, Test Acc: 0.6000000
Epoch: 029, Train Loss: 0.5827870, Train Acc: 0.7888889, Test Acc: 0.5500000
