{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672758908', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672758909, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  13%|█▎        | 78/600 [00:00<00:00, 772.66it/s]Pre-process:  26%|██▋       | 159/600 [00:00<00:00, 792.54it/s]Pre-process:  40%|███▉      | 239/600 [00:00<00:00, 794.37it/s]Pre-process:  53%|█████▎    | 319/600 [00:00<00:00, 768.94it/s]Pre-process:  67%|██████▋   | 402/600 [00:00<00:00, 787.11it/s]Pre-process:  81%|████████  | 485/600 [00:00<00:00, 800.93it/s]Pre-process:  94%|█████████▍| 566/600 [00:00<00:00, 791.48it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 788.05it/s]
Basis total: 8
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1331206
Epoch: 001, Train Loss: 5.3068944, Train Acc: 0.1944444, Test Acc: 0.1500000
Epoch: 002, Train Loss: 2.4958917, Train Acc: 0.2888889, Test Acc: 0.2500000
Epoch: 003, Train Loss: 2.0710827, Train Acc: 0.2055556, Test Acc: 0.2166667
Epoch: 004, Train Loss: 1.8080955, Train Acc: 0.3037037, Test Acc: 0.2333333
Epoch: 005, Train Loss: 1.5102614, Train Acc: 0.4000000, Test Acc: 0.3000000
Epoch: 006, Train Loss: 1.4937237, Train Acc: 0.3888889, Test Acc: 0.3000000
Epoch: 007, Train Loss: 1.7171487, Train Acc: 0.3277778, Test Acc: 0.2666667
Epoch: 008, Train Loss: 1.4034629, Train Acc: 0.4759259, Test Acc: 0.4166667
Epoch: 009, Train Loss: 1.4389257, Train Acc: 0.4407407, Test Acc: 0.4166667
Epoch: 010, Train Loss: 1.3903986, Train Acc: 0.4703704, Test Acc: 0.4166667
Epoch: 011, Train Loss: 1.3601324, Train Acc: 0.4462963, Test Acc: 0.3166667
Epoch: 012, Train Loss: 1.4005892, Train Acc: 0.4759259, Test Acc: 0.3833333
Epoch: 013, Train Loss: 1.2620966, Train Acc: 0.5722222, Test Acc: 0.4333333
Epoch: 014, Train Loss: 1.1957642, Train Acc: 0.5555556, Test Acc: 0.4666667
Epoch: 015, Train Loss: 1.3452659, Train Acc: 0.4759259, Test Acc: 0.3666667
Epoch: 016, Train Loss: 1.3308488, Train Acc: 0.5129630, Test Acc: 0.4166667
Epoch: 017, Train Loss: 1.2763133, Train Acc: 0.5185185, Test Acc: 0.3833333
Epoch: 018, Train Loss: 1.0954474, Train Acc: 0.5796296, Test Acc: 0.4666667
Epoch: 019, Train Loss: 1.1642553, Train Acc: 0.5814815, Test Acc: 0.4166667
Epoch: 020, Train Loss: 0.9761004, Train Acc: 0.6370370, Test Acc: 0.5166667
Epoch: 021, Train Loss: 1.0549870, Train Acc: 0.5259259, Test Acc: 0.4166667
Epoch: 022, Train Loss: 0.9758795, Train Acc: 0.6981481, Test Acc: 0.5000000
Epoch: 023, Train Loss: 0.9628930, Train Acc: 0.6296296, Test Acc: 0.5166667
Epoch: 024, Train Loss: 0.7852036, Train Acc: 0.7685185, Test Acc: 0.6333333
Epoch: 025, Train Loss: 0.8120832, Train Acc: 0.6703704, Test Acc: 0.4166667
Epoch: 026, Train Loss: 0.9896737, Train Acc: 0.6351852, Test Acc: 0.4666667
