{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672759027', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672759029, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  13%|█▎        | 76/600 [00:00<00:00, 757.80it/s]Pre-process:  26%|██▌       | 156/600 [00:00<00:00, 780.10it/s]Pre-process:  39%|███▉      | 235/600 [00:00<00:00, 781.02it/s]Pre-process:  52%|█████▏    | 314/600 [00:00<00:00, 757.67it/s]Pre-process:  66%|██████▌   | 396/600 [00:00<00:00, 777.11it/s]Pre-process:  80%|███████▉  | 478/600 [00:00<00:00, 791.40it/s]Pre-process:  93%|█████████▎| 558/600 [00:00<00:00, 783.16it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 778.80it/s]
Basis total: 8
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1334790
Epoch: 001, Train Loss: 4.1873222, Train Acc: 0.2425926, Test Acc: 0.2666667
Epoch: 002, Train Loss: 2.3995015, Train Acc: 0.2592593, Test Acc: 0.2500000
Epoch: 003, Train Loss: 1.9673698, Train Acc: 0.2481481, Test Acc: 0.2833333
Epoch: 004, Train Loss: 1.6158608, Train Acc: 0.3370370, Test Acc: 0.2833333
Epoch: 005, Train Loss: 1.4814392, Train Acc: 0.3962963, Test Acc: 0.3000000
Epoch: 006, Train Loss: 1.5884200, Train Acc: 0.3555556, Test Acc: 0.3166667
Epoch: 007, Train Loss: 1.8657503, Train Acc: 0.3074074, Test Acc: 0.3000000
Epoch: 008, Train Loss: 1.4299512, Train Acc: 0.4407407, Test Acc: 0.3500000
Epoch: 009, Train Loss: 1.4196818, Train Acc: 0.4425926, Test Acc: 0.4166667
Epoch: 010, Train Loss: 1.2609154, Train Acc: 0.5444444, Test Acc: 0.4666667
Epoch: 011, Train Loss: 1.2848586, Train Acc: 0.4907407, Test Acc: 0.3666667
Epoch: 012, Train Loss: 1.3894652, Train Acc: 0.4759259, Test Acc: 0.3500000
Epoch: 013, Train Loss: 1.0991156, Train Acc: 0.6500000, Test Acc: 0.4500000
Epoch: 014, Train Loss: 1.2041892, Train Acc: 0.5722222, Test Acc: 0.5000000
Epoch: 015, Train Loss: 1.3382534, Train Acc: 0.4666667, Test Acc: 0.4000000
Epoch: 016, Train Loss: 1.1068601, Train Acc: 0.5759259, Test Acc: 0.4000000
Epoch: 017, Train Loss: 1.4601082, Train Acc: 0.4518519, Test Acc: 0.3500000
Epoch: 018, Train Loss: 1.0850093, Train Acc: 0.5833333, Test Acc: 0.4166667
Epoch: 019, Train Loss: 1.0907675, Train Acc: 0.6055556, Test Acc: 0.4500000
Epoch: 020, Train Loss: 1.3719810, Train Acc: 0.4388889, Test Acc: 0.3333333
Epoch: 021, Train Loss: 0.9189759, Train Acc: 0.6648148, Test Acc: 0.5166667
Epoch: 022, Train Loss: 1.1033231, Train Acc: 0.6055556, Test Acc: 0.4833333
Epoch: 023, Train Loss: 1.2452325, Train Acc: 0.6111111, Test Acc: 0.4500000
Epoch: 024, Train Loss: 1.1722535, Train Acc: 0.5481481, Test Acc: 0.3833333
Epoch: 025, Train Loss: 0.6837571, Train Acc: 0.7777778, Test Acc: 0.5833333
Epoch: 026, Train Loss: 0.9050733, Train Acc: 0.6629630, Test Acc: 0.5000000
Epoch: 027, Train Loss: 0.8390358, Train Acc: 0.6740741, Test Acc: 0.5166667
Epoch: 028, Train Loss: 0.7328464, Train Acc: 0.7759259, Test Acc: 0.5166667
Epoch: 029, Train Loss: 1.0901189, Train Acc: 0.6018519, Test Acc: 0.4666667
Epoch: 030, Train Loss: 0.9607780, Train Acc: 0.6425926, Test Acc: 0.4000000
Epoch: 031, Train Loss: 0.6164722, Train Acc: 0.8000000, Test Acc: 0.6500000
Epoch: 032, Train Loss: 0.5669127, Train Acc: 0.8018519, Test Acc: 0.5500000
Epoch: 033, Train Loss: 0.5907975, Train Acc: 0.7944444, Test Acc: 0.6000000
Epoch: 034, Train Loss: 0.7548507, Train Acc: 0.7092593, Test Acc: 0.4833333
Epoch: 035, Train Loss: 0.4986293, Train Acc: 0.8222222, Test Acc: 0.6833333
Epoch: 036, Train Loss: 0.5558639, Train Acc: 0.8222222, Test Acc: 0.5833333
Epoch: 037, Train Loss: 0.4064902, Train Acc: 0.8611111, Test Acc: 0.6000000
Epoch: 038, Train Loss: 0.5704600, Train Acc: 0.7740741, Test Acc: 0.5000000
Epoch: 039, Train Loss: 0.5390843, Train Acc: 0.7777778, Test Acc: 0.5333333
Epoch: 040, Train Loss: 0.2150488, Train Acc: 0.9518519, Test Acc: 0.7000000
Epoch: 041, Train Loss: 0.6509568, Train Acc: 0.7555556, Test Acc: 0.5333333
Epoch: 042, Train Loss: 0.6140190, Train Acc: 0.7888889, Test Acc: 0.4000000
Epoch: 043, Train Loss: 1.4007253, Train Acc: 0.5296296, Test Acc: 0.3833333
Epoch: 044, Train Loss: 0.3326976, Train Acc: 0.8907407, Test Acc: 0.6166667
Epoch: 045, Train Loss: 0.2331471, Train Acc: 0.9314815, Test Acc: 0.6500000
Epoch: 046, Train Loss: 0.3288811, Train Acc: 0.8851852, Test Acc: 0.6500000
Epoch: 047, Train Loss: 0.1786935, Train Acc: 0.9685185, Test Acc: 0.5666667
Epoch: 048, Train Loss: 0.1871370, Train Acc: 0.9500000, Test Acc: 0.7833333
Epoch: 049, Train Loss: 0.1097879, Train Acc: 0.9851852, Test Acc: 0.7666667
Epoch: 050, Train Loss: 0.2791966, Train Acc: 0.9055556, Test Acc: 0.5833333
Epoch: 051, Train Loss: 0.1042540, Train Acc: 0.9796296, Test Acc: 0.7166667
Epoch: 052, Train Loss: 0.0669923, Train Acc: 0.9944444, Test Acc: 0.7500000
Epoch: 053, Train Loss: 0.0976691, Train Acc: 0.9870370, Test Acc: 0.6666667
