{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672759843', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672759845, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  12%|█▏        | 70/600 [00:00<00:00, 697.49it/s]Pre-process:  24%|██▍       | 143/600 [00:00<00:00, 715.52it/s]Pre-process:  36%|███▌      | 216/600 [00:00<00:00, 721.76it/s]Pre-process:  48%|████▊     | 290/600 [00:00<00:00, 728.72it/s]Pre-process:  60%|██████    | 363/600 [00:00<00:00, 699.96it/s]Pre-process:  73%|███████▎  | 440/600 [00:00<00:00, 720.89it/s]Pre-process:  86%|████████▌ | 515/600 [00:00<00:00, 730.11it/s]Pre-process:  98%|█████████▊| 589/600 [00:00<00:00, 719.80it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 717.38it/s]
Basis total: 8
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1331718
Epoch: 001, Train Loss: 5.9629520, Train Acc: 0.2481481, Test Acc: 0.2166667
Epoch: 002, Train Loss: 2.6793642, Train Acc: 0.2129630, Test Acc: 0.1666667
Epoch: 003, Train Loss: 1.6478436, Train Acc: 0.3148148, Test Acc: 0.3166667
Epoch: 004, Train Loss: 1.5631925, Train Acc: 0.3574074, Test Acc: 0.2833333
Epoch: 005, Train Loss: 1.5393264, Train Acc: 0.3277778, Test Acc: 0.2666667
Epoch: 006, Train Loss: 1.5755541, Train Acc: 0.3333333, Test Acc: 0.2000000
Epoch: 007, Train Loss: 1.9154652, Train Acc: 0.3000000, Test Acc: 0.2833333
Epoch: 008, Train Loss: 1.3864494, Train Acc: 0.4962963, Test Acc: 0.4166667
Epoch: 009, Train Loss: 1.4144341, Train Acc: 0.4444444, Test Acc: 0.4333333
Epoch: 010, Train Loss: 1.3166104, Train Acc: 0.5388889, Test Acc: 0.4500000
Epoch: 011, Train Loss: 1.2743698, Train Acc: 0.5222222, Test Acc: 0.4333333
Epoch: 012, Train Loss: 1.4932958, Train Acc: 0.4481481, Test Acc: 0.3333333
Epoch: 013, Train Loss: 1.2726950, Train Acc: 0.5222222, Test Acc: 0.4000000
Epoch: 014, Train Loss: 1.1598409, Train Acc: 0.5833333, Test Acc: 0.5000000
Epoch: 015, Train Loss: 1.1159907, Train Acc: 0.6185185, Test Acc: 0.4500000
Epoch: 016, Train Loss: 1.2514588, Train Acc: 0.5333333, Test Acc: 0.3666667
Epoch: 017, Train Loss: 1.2852962, Train Acc: 0.5611111, Test Acc: 0.4000000
Epoch: 018, Train Loss: 1.1098693, Train Acc: 0.6425926, Test Acc: 0.5500000
Epoch: 019, Train Loss: 0.9801498, Train Acc: 0.6944444, Test Acc: 0.4833333
Epoch: 020, Train Loss: 0.8913600, Train Acc: 0.6962963, Test Acc: 0.5000000
Epoch: 021, Train Loss: 0.8238017, Train Acc: 0.7259259, Test Acc: 0.4500000
Epoch: 022, Train Loss: 0.7706045, Train Acc: 0.7555556, Test Acc: 0.5166667
Epoch: 023, Train Loss: 0.8695344, Train Acc: 0.6666667, Test Acc: 0.5166667
Epoch: 024, Train Loss: 0.6401132, Train Acc: 0.8185185, Test Acc: 0.5666667
Epoch: 025, Train Loss: 0.6345095, Train Acc: 0.7870370, Test Acc: 0.5333333
Epoch: 026, Train Loss: 1.0483810, Train Acc: 0.6629630, Test Acc: 0.5166667
Epoch: 027, Train Loss: 0.4495322, Train Acc: 0.8907407, Test Acc: 0.5833333
