{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672762058', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672762060, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  13%|█▎        | 76/600 [00:00<00:00, 755.44it/s]Pre-process:  26%|██▌       | 156/600 [00:00<00:00, 778.14it/s]Pre-process:  39%|███▉      | 235/600 [00:00<00:00, 780.66it/s]Pre-process:  52%|█████▏    | 314/600 [00:00<00:00, 756.95it/s]Pre-process:  66%|██████▌   | 396/600 [00:00<00:00, 777.04it/s]Pre-process:  80%|███████▉  | 478/600 [00:00<00:00, 791.08it/s]Pre-process:  93%|█████████▎| 558/600 [00:00<00:00, 781.58it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 777.45it/s]
Basis total: 8
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 1331718
Epoch: 001, Train Loss: 2.6945571, Train Acc: 0.2407407, Test Acc: 0.2500000
Epoch: 002, Train Loss: 2.4765422, Train Acc: 0.2018519, Test Acc: 0.2000000
Epoch: 003, Train Loss: 1.9430374, Train Acc: 0.1888889, Test Acc: 0.2166667
Epoch: 004, Train Loss: 1.7010946, Train Acc: 0.2703704, Test Acc: 0.2333333
Epoch: 005, Train Loss: 1.6977269, Train Acc: 0.2833333, Test Acc: 0.2500000
Epoch: 006, Train Loss: 1.6583544, Train Acc: 0.3166667, Test Acc: 0.3500000
Epoch: 007, Train Loss: 1.6307994, Train Acc: 0.3203704, Test Acc: 0.2166667
Epoch: 008, Train Loss: 1.6178005, Train Acc: 0.3351852, Test Acc: 0.2666667
Epoch: 009, Train Loss: 1.6399167, Train Acc: 0.3296296, Test Acc: 0.2833333
Epoch: 010, Train Loss: 1.5679414, Train Acc: 0.3851852, Test Acc: 0.3166667
Epoch: 011, Train Loss: 1.5814859, Train Acc: 0.3796296, Test Acc: 0.2666667
Epoch: 012, Train Loss: 1.5260977, Train Acc: 0.3814815, Test Acc: 0.3500000
Epoch: 013, Train Loss: 1.5491040, Train Acc: 0.3833333, Test Acc: 0.3333333
Epoch: 014, Train Loss: 1.5508603, Train Acc: 0.3851852, Test Acc: 0.3166667
Epoch: 015, Train Loss: 1.5112192, Train Acc: 0.3648148, Test Acc: 0.3166667
Epoch: 016, Train Loss: 1.4680355, Train Acc: 0.4444444, Test Acc: 0.3833333
Epoch: 017, Train Loss: 1.4465933, Train Acc: 0.4333333, Test Acc: 0.2833333
Epoch: 018, Train Loss: 1.4855916, Train Acc: 0.3722222, Test Acc: 0.3666667
Epoch: 019, Train Loss: 1.4156524, Train Acc: 0.4537037, Test Acc: 0.3500000
Epoch: 020, Train Loss: 1.3804454, Train Acc: 0.4722222, Test Acc: 0.3333333
Epoch: 021, Train Loss: 1.4269823, Train Acc: 0.3870370, Test Acc: 0.2833333
Epoch: 022, Train Loss: 1.3243597, Train Acc: 0.4944444, Test Acc: 0.4000000
Epoch: 023, Train Loss: 1.4444968, Train Acc: 0.4407407, Test Acc: 0.4333333
Epoch: 024, Train Loss: 1.3759808, Train Acc: 0.4814815, Test Acc: 0.3666667
Epoch: 025, Train Loss: 1.3039771, Train Acc: 0.5203704, Test Acc: 0.4333333
Epoch: 026, Train Loss: 1.3640497, Train Acc: 0.4388889, Test Acc: 0.3666667
