{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[3, 4], [3, 4], [3, 5], [3, 5], [3, 5], [3, 5], [3, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 501, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.65, 'weight_decay': 0.001}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': 'ffe28e9514b53162166f17324f231889184799f6', 'time_stamp': '1672824308', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[3, 4], [3, 4], [3, 5], [3, 5], [3, 5], [3, 5], [3, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 501, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.65, 'weight_decay': 0.001}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': 'ffe28e9514b53162166f17324f231889184799f6', 'time_stamp': 1672824310, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  12%|█▏        | 71/600 [00:00<00:00, 703.42it/s]Pre-process:  24%|██▍       | 146/600 [00:00<00:00, 725.05it/s]Pre-process:  37%|███▋      | 221/600 [00:00<00:00, 732.03it/s]Pre-process:  49%|████▉     | 295/600 [00:00<00:00, 720.14it/s]Pre-process:  61%|██████▏   | 368/600 [00:00<00:00, 713.35it/s]Pre-process:  74%|███████▍  | 445/600 [00:00<00:00, 731.81it/s]Pre-process:  87%|████████▋ | 521/600 [00:00<00:00, 738.51it/s]Pre-process:  99%|█████████▉| 595/600 [00:00<00:00, 726.83it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 725.12it/s]
Basis total: 20
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=ffe28e9514b53162166f17324f231889184799f6
#Params: 1334790
Epoch: 001, Train Loss: 5.5285003, Train Acc: 0.2074074, Test Acc: 0.2000000
Epoch: 002, Train Loss: 3.5368286, Train Acc: 0.2629630, Test Acc: 0.2500000
Epoch: 003, Train Loss: 2.0423575, Train Acc: 0.2370370, Test Acc: 0.2000000
Epoch: 004, Train Loss: 1.7646346, Train Acc: 0.3111111, Test Acc: 0.3666667
Epoch: 005, Train Loss: 1.6269986, Train Acc: 0.3407407, Test Acc: 0.3500000
Epoch: 006, Train Loss: 1.6444224, Train Acc: 0.3296296, Test Acc: 0.3166667
Epoch: 007, Train Loss: 1.5908884, Train Acc: 0.3277778, Test Acc: 0.2833333
Epoch: 008, Train Loss: 1.6065318, Train Acc: 0.3166667, Test Acc: 0.3166667
Epoch: 009, Train Loss: 1.6089268, Train Acc: 0.3259259, Test Acc: 0.2833333
Epoch: 010, Train Loss: 1.5414160, Train Acc: 0.3388889, Test Acc: 0.3166667
Epoch: 011, Train Loss: 1.6337135, Train Acc: 0.3277778, Test Acc: 0.2666667
Epoch: 012, Train Loss: 1.4903633, Train Acc: 0.4092593, Test Acc: 0.3333333
Epoch: 013, Train Loss: 1.4585655, Train Acc: 0.4425926, Test Acc: 0.3833333
Epoch: 014, Train Loss: 1.4896476, Train Acc: 0.4240741, Test Acc: 0.3500000
Epoch: 015, Train Loss: 1.4466997, Train Acc: 0.4277778, Test Acc: 0.3666667
Epoch: 016, Train Loss: 1.3998281, Train Acc: 0.4611111, Test Acc: 0.3000000
Epoch: 017, Train Loss: 1.3929288, Train Acc: 0.4962963, Test Acc: 0.4166667
Epoch: 018, Train Loss: 1.3939181, Train Acc: 0.4648148, Test Acc: 0.4500000
Epoch: 019, Train Loss: 1.3751135, Train Acc: 0.4537037, Test Acc: 0.3833333
Epoch: 020, Train Loss: 1.3086280, Train Acc: 0.5425926, Test Acc: 0.4166667
Epoch: 021, Train Loss: 1.3857102, Train Acc: 0.5074074, Test Acc: 0.4000000
Epoch: 022, Train Loss: 1.3446192, Train Acc: 0.4944444, Test Acc: 0.3333333
Epoch: 023, Train Loss: 1.3974697, Train Acc: 0.4444444, Test Acc: 0.4000000
Epoch: 024, Train Loss: 1.3455122, Train Acc: 0.5111111, Test Acc: 0.4000000
Epoch: 025, Train Loss: 1.3518918, Train Acc: 0.4629630, Test Acc: 0.3833333
Epoch: 026, Train Loss: 1.2160636, Train Acc: 0.5537037, Test Acc: 0.3833333
Epoch: 027, Train Loss: 1.2888179, Train Acc: 0.4796296, Test Acc: 0.3333333
