{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'S', 'dropout': 0.2}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673231647', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'S', 'dropout': 0.2}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673231649, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  11%|█         | 67/600 [00:00<00:00, 668.56it/s]Pre-process:  23%|██▎       | 137/600 [00:00<00:00, 683.59it/s]Pre-process:  34%|███▍      | 207/600 [00:00<00:00, 690.17it/s]Pre-process:  46%|████▋     | 279/600 [00:00<00:00, 701.34it/s]Pre-process:  58%|█████▊    | 350/600 [00:00<00:00, 659.91it/s]Pre-process:  71%|███████   | 424/600 [00:00<00:00, 685.93it/s]Pre-process:  83%|████████▎ | 498/600 [00:00<00:00, 701.01it/s]Pre-process:  95%|█████████▍| 569/600 [00:00<00:00, 689.46it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 685.71it/s]
Basis total: 37
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
With batch_norm.
#Params: 1339142
Epoch: 001, Train Loss: 72.0416798, Train Acc: 0.2129630, Test Acc: 0.2000000
Epoch: 002, Train Loss: 23.0874217, Train Acc: 0.2518519, Test Acc: 0.2333333
Epoch: 003, Train Loss: 19.1335351, Train Acc: 0.2481481, Test Acc: 0.2500000
Epoch: 004, Train Loss: 8.8216712, Train Acc: 0.2314815, Test Acc: 0.2166667
Epoch: 005, Train Loss: 2.9008211, Train Acc: 0.2462963, Test Acc: 0.2333333
Epoch: 006, Train Loss: 1.7348169, Train Acc: 0.2407407, Test Acc: 0.2833333
Epoch: 007, Train Loss: 1.7563571, Train Acc: 0.2185185, Test Acc: 0.2500000
Epoch: 008, Train Loss: 1.6940078, Train Acc: 0.2148148, Test Acc: 0.2333333
Epoch: 009, Train Loss: 1.6880364, Train Acc: 0.2444444, Test Acc: 0.2666667
Epoch: 010, Train Loss: 1.6760290, Train Acc: 0.2370370, Test Acc: 0.2166667
Epoch: 011, Train Loss: 1.6789847, Train Acc: 0.2500000, Test Acc: 0.3000000
Epoch: 012, Train Loss: 1.6816024, Train Acc: 0.2555556, Test Acc: 0.2833333
Epoch: 013, Train Loss: 1.6685857, Train Acc: 0.2666667, Test Acc: 0.2666667
Epoch: 014, Train Loss: 1.6533001, Train Acc: 0.2481481, Test Acc: 0.2333333
Epoch: 015, Train Loss: 1.6661951, Train Acc: 0.2574074, Test Acc: 0.2333333
Epoch: 016, Train Loss: 1.6846225, Train Acc: 0.2611111, Test Acc: 0.2500000
Epoch: 017, Train Loss: 1.6701403, Train Acc: 0.2685185, Test Acc: 0.2333333
Epoch: 018, Train Loss: 1.6632269, Train Acc: 0.2648148, Test Acc: 0.2500000
Epoch: 019, Train Loss: 1.6793742, Train Acc: 0.2666667, Test Acc: 0.2500000
Epoch: 020, Train Loss: 1.6659824, Train Acc: 0.2592593, Test Acc: 0.2000000
Epoch: 021, Train Loss: 1.6509247, Train Acc: 0.2722222, Test Acc: 0.2333333
Epoch: 022, Train Loss: 1.6751546, Train Acc: 0.2592593, Test Acc: 0.2166667
Epoch: 023, Train Loss: 1.6610583, Train Acc: 0.2555556, Test Acc: 0.2166667
Epoch: 024, Train Loss: 1.6608444, Train Acc: 0.2592593, Test Acc: 0.2166667
Epoch: 025, Train Loss: 1.6642840, Train Acc: 0.2555556, Test Acc: 0.2166667
Epoch: 026, Train Loss: 1.6590963, Train Acc: 0.2648148, Test Acc: 0.2166667
Epoch: 027, Train Loss: 1.6406027, Train Acc: 0.2648148, Test Acc: 0.2500000
Epoch: 028, Train Loss: 1.6623273, Train Acc: 0.2500000, Test Acc: 0.2166667
Epoch: 029, Train Loss: 1.6622208, Train Acc: 0.2555556, Test Acc: 0.2166667
Epoch: 030, Train Loss: 1.6561119, Train Acc: 0.2481481, Test Acc: 0.2166667
Epoch: 031, Train Loss: 1.6465659, Train Acc: 0.2648148, Test Acc: 0.2166667
Epoch: 032, Train Loss: 1.6456181, Train Acc: 0.2629630, Test Acc: 0.2166667
Epoch: 033, Train Loss: 1.6402729, Train Acc: 0.2722222, Test Acc: 0.2333333
Epoch: 034, Train Loss: 1.6466158, Train Acc: 0.2592593, Test Acc: 0.2166667
Epoch: 035, Train Loss: 1.6395228, Train Acc: 0.2611111, Test Acc: 0.2166667
Epoch: 036, Train Loss: 1.6388887, Train Acc: 0.2703704, Test Acc: 0.2333333
Epoch: 037, Train Loss: 1.6405813, Train Acc: 0.2777778, Test Acc: 0.2333333
Epoch: 038, Train Loss: 1.6396582, Train Acc: 0.2814815, Test Acc: 0.2166667
Epoch: 039, Train Loss: 1.6339111, Train Acc: 0.2666667, Test Acc: 0.2333333
Epoch: 040, Train Loss: 1.6316672, Train Acc: 0.2759259, Test Acc: 0.2500000
Epoch: 041, Train Loss: 1.6259679, Train Acc: 0.2703704, Test Acc: 0.2333333
Epoch: 042, Train Loss: 1.6251905, Train Acc: 0.2685185, Test Acc: 0.2333333
Epoch: 043, Train Loss: 1.6324842, Train Acc: 0.2629630, Test Acc: 0.2333333
Epoch: 044, Train Loss: 1.6435752, Train Acc: 0.2611111, Test Acc: 0.2333333
Epoch: 045, Train Loss: 1.6360548, Train Acc: 0.2555556, Test Acc: 0.2500000
Epoch: 046, Train Loss: 1.6178412, Train Acc: 0.2814815, Test Acc: 0.2333333
Epoch: 047, Train Loss: 1.6157041, Train Acc: 0.2870370, Test Acc: 0.2166667
Epoch: 048, Train Loss: 1.6203469, Train Acc: 0.2759259, Test Acc: 0.2500000
Epoch: 049, Train Loss: 1.6250844, Train Acc: 0.2592593, Test Acc: 0.2500000
Epoch: 050, Train Loss: 1.6142278, Train Acc: 0.2759259, Test Acc: 0.2333333
Epoch: 051, Train Loss: 1.6062049, Train Acc: 0.2759259, Test Acc: 0.2333333
Epoch: 052, Train Loss: 1.6070727, Train Acc: 0.2759259, Test Acc: 0.2500000
Epoch: 053, Train Loss: 1.6133020, Train Acc: 0.2648148, Test Acc: 0.2333333
Epoch: 054, Train Loss: 1.6002615, Train Acc: 0.2759259, Test Acc: 0.2333333
Epoch: 055, Train Loss: 1.5929106, Train Acc: 0.2888889, Test Acc: 0.2500000
Epoch: 056, Train Loss: 1.5953820, Train Acc: 0.3000000, Test Acc: 0.2666667
Epoch: 057, Train Loss: 1.5966391, Train Acc: 0.2925926, Test Acc: 0.2333333
Epoch: 058, Train Loss: 1.5948192, Train Acc: 0.2833333, Test Acc: 0.2500000
Epoch: 059, Train Loss: 1.6058225, Train Acc: 0.2814815, Test Acc: 0.2500000
Epoch: 060, Train Loss: 1.5807724, Train Acc: 0.3037037, Test Acc: 0.2500000
Epoch: 061, Train Loss: 1.5779639, Train Acc: 0.2981481, Test Acc: 0.2500000
Epoch: 062, Train Loss: 1.5874593, Train Acc: 0.2907407, Test Acc: 0.2500000
Epoch: 063, Train Loss: 1.5929465, Train Acc: 0.2870370, Test Acc: 0.2500000
Epoch: 064, Train Loss: 1.5789397, Train Acc: 0.3037037, Test Acc: 0.2500000
Epoch: 065, Train Loss: 1.5868705, Train Acc: 0.3000000, Test Acc: 0.2500000
Epoch: 066, Train Loss: 1.6038280, Train Acc: 0.2907407, Test Acc: 0.2500000
Epoch: 067, Train Loss: 1.5799401, Train Acc: 0.2962963, Test Acc: 0.2666667
Epoch: 068, Train Loss: 1.5783361, Train Acc: 0.3111111, Test Acc: 0.2500000
