{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35], 'power': [[1, 6], [1, 6], [1, 6], [1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': '751eff3d6634aae7a7c92f7e19de759dde221142', 'time_stamp': '1673424462', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35], 'power': [[1, 6], [1, 6], [1, 6], [1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': '751eff3d6634aae7a7c92f7e19de759dde221142', 'time_stamp': 1673424463, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  13%|█▎        | 77/600 [00:00<00:00, 764.46it/s]Pre-process:  26%|██▌       | 157/600 [00:00<00:00, 784.21it/s]Pre-process:  39%|███▉      | 236/600 [00:00<00:00, 783.94it/s]Pre-process:  52%|█████▎    | 315/600 [00:00<00:00, 754.96it/s]Pre-process:  66%|██████▋   | 398/600 [00:00<00:00, 778.36it/s]Pre-process:  80%|████████  | 481/600 [00:00<00:00, 794.23it/s]Pre-process:  94%|█████████▎| 561/600 [00:00<00:00, 782.85it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 779.20it/s]
Basis total: 25
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=751eff3d6634aae7a7c92f7e19de759dde221142
With batch_norm.
With edge_softmax.
#Params: 1336070
Epoch: 001, Train Loss: 3.2818952, Train Acc: 0.2500000, Test Acc: 0.2166667
Epoch: 002, Train Loss: 2.5601639, Train Acc: 0.2592593, Test Acc: 0.1333333
Epoch: 003, Train Loss: 1.9586344, Train Acc: 0.2777778, Test Acc: 0.2833333
Epoch: 004, Train Loss: 1.6890140, Train Acc: 0.2944444, Test Acc: 0.3500000
Epoch: 005, Train Loss: 1.7104302, Train Acc: 0.2870370, Test Acc: 0.2666667
Epoch: 006, Train Loss: 1.6114178, Train Acc: 0.3740741, Test Acc: 0.3500000
Epoch: 007, Train Loss: 1.6610622, Train Acc: 0.3222222, Test Acc: 0.2833333
Epoch: 008, Train Loss: 1.5851353, Train Acc: 0.3444444, Test Acc: 0.2666667
Epoch: 009, Train Loss: 1.5864763, Train Acc: 0.3648148, Test Acc: 0.2833333
Epoch: 010, Train Loss: 1.5642295, Train Acc: 0.3444444, Test Acc: 0.3666667
Epoch: 011, Train Loss: 1.5673667, Train Acc: 0.3388889, Test Acc: 0.2500000
Epoch: 012, Train Loss: 1.5237713, Train Acc: 0.3962963, Test Acc: 0.3666667
Epoch: 013, Train Loss: 1.5485552, Train Acc: 0.3407407, Test Acc: 0.2833333
Epoch: 014, Train Loss: 1.6380264, Train Acc: 0.3370370, Test Acc: 0.3500000
Epoch: 015, Train Loss: 1.5409870, Train Acc: 0.3314815, Test Acc: 0.2833333
Epoch: 016, Train Loss: 1.5036052, Train Acc: 0.4092593, Test Acc: 0.3333333
Epoch: 017, Train Loss: 1.4651289, Train Acc: 0.4129630, Test Acc: 0.2666667
Epoch: 018, Train Loss: 1.4807922, Train Acc: 0.4111111, Test Acc: 0.3000000
Epoch: 019, Train Loss: 1.4255489, Train Acc: 0.4518519, Test Acc: 0.3833333
Epoch: 020, Train Loss: 1.4022155, Train Acc: 0.4296296, Test Acc: 0.4000000
Epoch: 021, Train Loss: 1.4337092, Train Acc: 0.4111111, Test Acc: 0.2666667
Epoch: 022, Train Loss: 1.4093885, Train Acc: 0.4351852, Test Acc: 0.4333333
Epoch: 023, Train Loss: 1.2983189, Train Acc: 0.5481481, Test Acc: 0.4000000
Epoch: 024, Train Loss: 1.3556334, Train Acc: 0.4648148, Test Acc: 0.3166667
Epoch: 025, Train Loss: 1.3441972, Train Acc: 0.4796296, Test Acc: 0.4166667
Epoch: 026, Train Loss: 1.3567188, Train Acc: 0.4851852, Test Acc: 0.4000000
Epoch: 027, Train Loss: 1.2756351, Train Acc: 0.4611111, Test Acc: 0.3000000
Epoch: 028, Train Loss: 1.2800278, Train Acc: 0.4740741, Test Acc: 0.3833333
Epoch: 029, Train Loss: 1.2568640, Train Acc: 0.5037037, Test Acc: 0.4000000
Epoch: 030, Train Loss: 1.1798692, Train Acc: 0.6166667, Test Acc: 0.4666667
Epoch: 031, Train Loss: 1.1662371, Train Acc: 0.5481481, Test Acc: 0.4000000
Epoch: 032, Train Loss: 1.1060895, Train Acc: 0.5944444, Test Acc: 0.4833333
Epoch: 033, Train Loss: 1.2213834, Train Acc: 0.5185185, Test Acc: 0.3833333
Epoch: 034, Train Loss: 1.2416138, Train Acc: 0.5148148, Test Acc: 0.4500000
Epoch: 035, Train Loss: 1.1475086, Train Acc: 0.5592593, Test Acc: 0.4000000
Epoch: 036, Train Loss: 1.1181995, Train Acc: 0.5870370, Test Acc: 0.4166667
Epoch: 037, Train Loss: 1.0255878, Train Acc: 0.6555556, Test Acc: 0.4666667
Epoch: 038, Train Loss: 1.1039308, Train Acc: 0.5629630, Test Acc: 0.4333333
Epoch: 039, Train Loss: 1.1290372, Train Acc: 0.5388889, Test Acc: 0.4166667
Epoch: 040, Train Loss: 1.1204496, Train Acc: 0.5648148, Test Acc: 0.4666667
Epoch: 041, Train Loss: 1.0468644, Train Acc: 0.6240741, Test Acc: 0.4666667
Epoch: 042, Train Loss: 0.8820051, Train Acc: 0.6666667, Test Acc: 0.4666667
Epoch: 043, Train Loss: 0.9810376, Train Acc: 0.6222222, Test Acc: 0.4666667
Epoch: 044, Train Loss: 0.8150554, Train Acc: 0.7537037, Test Acc: 0.5500000
Epoch: 045, Train Loss: 0.8207053, Train Acc: 0.7129630, Test Acc: 0.5166667
Epoch: 046, Train Loss: 0.7659933, Train Acc: 0.7388889, Test Acc: 0.4833333
Epoch: 047, Train Loss: 0.7935886, Train Acc: 0.7203704, Test Acc: 0.5666667
Epoch: 048, Train Loss: 0.6754553, Train Acc: 0.8296296, Test Acc: 0.6333333
Epoch: 049, Train Loss: 0.8000694, Train Acc: 0.7092593, Test Acc: 0.5166667
Epoch: 050, Train Loss: 0.9464480, Train Acc: 0.6240741, Test Acc: 0.5166667
Epoch: 051, Train Loss: 0.6225062, Train Acc: 0.8500000, Test Acc: 0.5500000
Epoch: 052, Train Loss: 0.6572035, Train Acc: 0.7981481, Test Acc: 0.5666667
Epoch: 053, Train Loss: 0.7506374, Train Acc: 0.7185185, Test Acc: 0.5166667
Epoch: 054, Train Loss: 0.5947236, Train Acc: 0.8222222, Test Acc: 0.5333333
Epoch: 055, Train Loss: 0.6085829, Train Acc: 0.8388889, Test Acc: 0.6166667
Epoch: 056, Train Loss: 0.5395544, Train Acc: 0.8722222, Test Acc: 0.6500000
Epoch: 057, Train Loss: 0.8337623, Train Acc: 0.6370370, Test Acc: 0.4166667
Epoch: 058, Train Loss: 0.5347735, Train Acc: 0.8703704, Test Acc: 0.6166667
Epoch: 059, Train Loss: 0.6597461, Train Acc: 0.7537037, Test Acc: 0.5333333
Epoch: 060, Train Loss: 0.6505494, Train Acc: 0.7685185, Test Acc: 0.5000000
Epoch: 061, Train Loss: 0.5106422, Train Acc: 0.8481481, Test Acc: 0.5166667
Epoch: 062, Train Loss: 0.5695820, Train Acc: 0.8092593, Test Acc: 0.6000000
Epoch: 063, Train Loss: 0.5829050, Train Acc: 0.7981481, Test Acc: 0.5333333
Epoch: 064, Train Loss: 0.5020513, Train Acc: 0.8407407, Test Acc: 0.7000000
Epoch: 065, Train Loss: 0.5905404, Train Acc: 0.7851852, Test Acc: 0.4833333
Epoch: 066, Train Loss: 0.4364234, Train Acc: 0.8796296, Test Acc: 0.6666667
Epoch: 067, Train Loss: 0.4472988, Train Acc: 0.8685185, Test Acc: 0.6833333
Epoch: 068, Train Loss: 0.3975852, Train Acc: 0.8870370, Test Acc: 0.6333333
Epoch: 069, Train Loss: 0.3620384, Train Acc: 0.9037037, Test Acc: 0.6166667
Epoch: 070, Train Loss: 0.3318353, Train Acc: 0.9166667, Test Acc: 0.6500000
Epoch: 071, Train Loss: 0.3864265, Train Acc: 0.8888889, Test Acc: 0.6000000
Epoch: 072, Train Loss: 0.3887158, Train Acc: 0.8833333, Test Acc: 0.5833333
Epoch: 073, Train Loss: 0.4067166, Train Acc: 0.8685185, Test Acc: 0.5666667
Epoch: 074, Train Loss: 0.2909967, Train Acc: 0.9370370, Test Acc: 0.6500000
Epoch: 075, Train Loss: 0.4814418, Train Acc: 0.8296296, Test Acc: 0.5000000
Epoch: 076, Train Loss: 0.4970898, Train Acc: 0.8000000, Test Acc: 0.5833333
Epoch: 077, Train Loss: 0.2596158, Train Acc: 0.9555556, Test Acc: 0.7000000
Epoch: 078, Train Loss: 0.2671895, Train Acc: 0.9407407, Test Acc: 0.6833333
Epoch: 079, Train Loss: 0.3545796, Train Acc: 0.8814815, Test Acc: 0.6000000
Epoch: 080, Train Loss: 0.2313112, Train Acc: 0.9500000, Test Acc: 0.6666667
Epoch: 081, Train Loss: 0.2011659, Train Acc: 0.9574074, Test Acc: 0.7500000
Epoch: 082, Train Loss: 0.2712494, Train Acc: 0.9129630, Test Acc: 0.5166667
Epoch: 083, Train Loss: 0.1748468, Train Acc: 0.9629630, Test Acc: 0.6500000
Epoch: 084, Train Loss: 0.2218716, Train Acc: 0.9518519, Test Acc: 0.7166667
Epoch: 085, Train Loss: 0.1336705, Train Acc: 0.9870370, Test Acc: 0.6666667
Epoch: 086, Train Loss: 0.1689553, Train Acc: 0.9666667, Test Acc: 0.7833333
Epoch: 087, Train Loss: 0.2393662, Train Acc: 0.9259259, Test Acc: 0.6833333
Epoch: 088, Train Loss: 0.1675715, Train Acc: 0.9685185, Test Acc: 0.6000000
Epoch: 089, Train Loss: 0.1104152, Train Acc: 0.9925926, Test Acc: 0.7666667
Epoch: 090, Train Loss: 0.1349695, Train Acc: 0.9796296, Test Acc: 0.6666667
Epoch: 091, Train Loss: 0.0964982, Train Acc: 0.9925926, Test Acc: 0.7166667
Epoch: 092, Train Loss: 0.1211451, Train Acc: 0.9851852, Test Acc: 0.7166667
Epoch: 093, Train Loss: 0.1753789, Train Acc: 0.9500000, Test Acc: 0.6666667
Epoch: 094, Train Loss: 0.1188957, Train Acc: 0.9833333, Test Acc: 0.7000000
Epoch: 095, Train Loss: 0.1120152, Train Acc: 0.9814815, Test Acc: 0.6666667
Epoch: 096, Train Loss: 0.1069000, Train Acc: 0.9870370, Test Acc: 0.6833333
Epoch: 097, Train Loss: 0.0804394, Train Acc: 0.9944444, Test Acc: 0.7666667
Epoch: 098, Train Loss: 0.1398604, Train Acc: 0.9648148, Test Acc: 0.6833333
Epoch: 099, Train Loss: 0.0880359, Train Acc: 0.9851852, Test Acc: 0.7166667
Epoch: 100, Train Loss: 0.1347952, Train Acc: 0.9666667, Test Acc: 0.7000000
Epoch: 101, Train Loss: 0.1764020, Train Acc: 0.9629630, Test Acc: 0.6000000
Epoch: 102, Train Loss: 0.0930916, Train Acc: 0.9944444, Test Acc: 0.7000000
Epoch: 103, Train Loss: 0.1164592, Train Acc: 0.9814815, Test Acc: 0.6833333
Epoch: 104, Train Loss: 0.0964766, Train Acc: 0.9814815, Test Acc: 0.6833333
Epoch: 105, Train Loss: 0.1543333, Train Acc: 0.9574074, Test Acc: 0.6500000
Epoch: 106, Train Loss: 0.1222141, Train Acc: 0.9833333, Test Acc: 0.7166667
Epoch: 107, Train Loss: 0.0805077, Train Acc: 0.9962963, Test Acc: 0.7333333
Epoch: 108, Train Loss: 0.1215980, Train Acc: 0.9759259, Test Acc: 0.6500000
Epoch: 109, Train Loss: 0.1181015, Train Acc: 0.9851852, Test Acc: 0.7000000
Epoch: 110, Train Loss: 0.0895048, Train Acc: 0.9888889, Test Acc: 0.7500000
Epoch: 111, Train Loss: 0.1004804, Train Acc: 0.9814815, Test Acc: 0.6666667
Epoch: 112, Train Loss: 0.0808292, Train Acc: 0.9870370, Test Acc: 0.6666667
Epoch: 113, Train Loss: 0.0706857, Train Acc: 0.9944444, Test Acc: 0.7166667
Epoch: 114, Train Loss: 0.0798902, Train Acc: 0.9870370, Test Acc: 0.7166667
Epoch: 115, Train Loss: 0.0646184, Train Acc: 0.9907407, Test Acc: 0.6666667
