{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 6], [1, 6], [1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': '1673425794', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/'}
{'dataset_name': 'ENZYMES', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 6], [1, 6], [1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0.2}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': 1673425796, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/ENZYMES/board/', 'seed': 0}
Pre-process:   0%|          | 0/600 [00:00<?, ?it/s]Pre-process:  14%|█▎        | 82/600 [00:00<00:00, 816.73it/s]Pre-process:  28%|██▊       | 168/600 [00:00<00:00, 836.22it/s]Pre-process:  42%|████▏     | 252/600 [00:00<00:00, 835.58it/s]Pre-process:  56%|█████▌    | 336/600 [00:00<00:00, 812.10it/s]Pre-process:  70%|███████   | 423/600 [00:00<00:00, 831.20it/s]Pre-process:  85%|████████▍ | 509/600 [00:00<00:00, 840.34it/s]Pre-process:  99%|█████████▉| 594/600 [00:00<00:00, 833.26it/s]Pre-process: 100%|██████████| 600/600 [00:00<00:00, 830.34it/s]
Basis total: 19
train_set : test_set = %d : %d 540 60
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=f211370258ca049dc165beff1fbd5d5c32dbdae1
With batch_norm.
With edge_softmax.
#Params: 1334534
Epoch: 001, Train Loss: 4.6895464, Train Acc: 0.2037037, Test Acc: 0.2000000
Epoch: 002, Train Loss: 2.0591910, Train Acc: 0.2777778, Test Acc: 0.2500000
Epoch: 003, Train Loss: 1.8882988, Train Acc: 0.2203704, Test Acc: 0.2000000
Epoch: 004, Train Loss: 1.6879609, Train Acc: 0.2851852, Test Acc: 0.1666667
Epoch: 005, Train Loss: 1.7430424, Train Acc: 0.2981481, Test Acc: 0.3000000
Epoch: 006, Train Loss: 1.6656603, Train Acc: 0.2833333, Test Acc: 0.2500000
Epoch: 007, Train Loss: 1.6470823, Train Acc: 0.2981481, Test Acc: 0.3333333
Epoch: 008, Train Loss: 1.6143167, Train Acc: 0.3370370, Test Acc: 0.3333333
Epoch: 009, Train Loss: 1.6223740, Train Acc: 0.3203704, Test Acc: 0.3166667
Epoch: 010, Train Loss: 1.5667255, Train Acc: 0.3592593, Test Acc: 0.2666667
Epoch: 011, Train Loss: 1.5678578, Train Acc: 0.3462963, Test Acc: 0.2833333
Epoch: 012, Train Loss: 1.5627247, Train Acc: 0.3907407, Test Acc: 0.3666667
Epoch: 013, Train Loss: 1.5864472, Train Acc: 0.3222222, Test Acc: 0.2166667
Epoch: 014, Train Loss: 1.5306310, Train Acc: 0.3944444, Test Acc: 0.3166667
Epoch: 015, Train Loss: 1.4874592, Train Acc: 0.4222222, Test Acc: 0.3000000
Epoch: 016, Train Loss: 1.5400635, Train Acc: 0.3851852, Test Acc: 0.3666667
Epoch: 017, Train Loss: 1.4876888, Train Acc: 0.4185185, Test Acc: 0.3666667
Epoch: 018, Train Loss: 1.4741181, Train Acc: 0.3888889, Test Acc: 0.2666667
Epoch: 019, Train Loss: 1.4227685, Train Acc: 0.4648148, Test Acc: 0.3666667
Epoch: 020, Train Loss: 1.4502230, Train Acc: 0.4074074, Test Acc: 0.3000000
Epoch: 021, Train Loss: 1.4702095, Train Acc: 0.4259259, Test Acc: 0.3000000
Epoch: 022, Train Loss: 1.4104841, Train Acc: 0.5055556, Test Acc: 0.4666667
Epoch: 023, Train Loss: 1.3401181, Train Acc: 0.5018519, Test Acc: 0.4500000
Epoch: 024, Train Loss: 1.3021491, Train Acc: 0.5703704, Test Acc: 0.4000000
