{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'M', 'dropout': 0.2}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673244489', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'M', 'dropout': 0.2}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673244491, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   8%|▊         | 82/1000 [00:00<00:01, 813.58it/s]Pre-process:  18%|█▊        | 176/1000 [00:00<00:00, 883.59it/s]Pre-process:  27%|██▋       | 267/1000 [00:00<00:00, 891.82it/s]Pre-process:  36%|███▌      | 357/1000 [00:00<00:00, 894.91it/s]Pre-process:  45%|████▍     | 447/1000 [00:00<00:00, 894.91it/s]Pre-process:  54%|█████▎    | 537/1000 [00:00<00:00, 864.35it/s]Pre-process:  63%|██████▎   | 627/1000 [00:00<00:00, 873.05it/s]Pre-process:  72%|███████▏  | 721/1000 [00:00<00:00, 893.78it/s]Pre-process:  81%|████████  | 811/1000 [00:00<00:00, 892.24it/s]Pre-process:  90%|█████████ | 901/1000 [00:01<00:00, 892.16it/s]Pre-process:  99%|█████████▉| 991/1000 [00:01<00:00, 874.61it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 880.13it/s]
Basis total: 6
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
With batch_norm.
#Params: 931330
Epoch: 001, Train Loss: 0.6898724, Train Acc: 0.5277778, Test Acc: 0.5400000
Epoch: 002, Train Loss: 2.5135587, Train Acc: 0.4877778, Test Acc: 0.4800000
Epoch: 003, Train Loss: 0.9812826, Train Acc: 0.5400000, Test Acc: 0.5600000
Epoch: 004, Train Loss: 0.8852471, Train Acc: 0.6222222, Test Acc: 0.6700000
Epoch: 005, Train Loss: 0.6991019, Train Acc: 0.5766667, Test Acc: 0.6000000
Epoch: 006, Train Loss: 0.7678428, Train Acc: 0.5500000, Test Acc: 0.5600000
Epoch: 007, Train Loss: 0.8267794, Train Acc: 0.6366667, Test Acc: 0.6700000
Epoch: 008, Train Loss: 0.6668908, Train Acc: 0.7000000, Test Acc: 0.7100000
Epoch: 009, Train Loss: 0.7090867, Train Acc: 0.5711111, Test Acc: 0.5900000
Epoch: 010, Train Loss: 0.6023471, Train Acc: 0.7055556, Test Acc: 0.7300000
Epoch: 011, Train Loss: 0.5852263, Train Acc: 0.6933333, Test Acc: 0.7100000
Epoch: 012, Train Loss: 0.6436726, Train Acc: 0.6933333, Test Acc: 0.6900000
Epoch: 013, Train Loss: 0.5753927, Train Acc: 0.6944444, Test Acc: 0.7600000
Epoch: 014, Train Loss: 0.5708346, Train Acc: 0.7011111, Test Acc: 0.7400000
Epoch: 015, Train Loss: 0.5523327, Train Acc: 0.7111111, Test Acc: 0.7200000
Epoch: 016, Train Loss: 0.5512280, Train Acc: 0.7077778, Test Acc: 0.7200000
Epoch: 017, Train Loss: 0.6029122, Train Acc: 0.6622222, Test Acc: 0.6800000
Epoch: 018, Train Loss: 0.5516911, Train Acc: 0.7077778, Test Acc: 0.7200000
Epoch: 019, Train Loss: 0.5832346, Train Acc: 0.6588889, Test Acc: 0.6300000
Epoch: 020, Train Loss: 0.5911426, Train Acc: 0.6900000, Test Acc: 0.7500000
Epoch: 021, Train Loss: 0.5369747, Train Acc: 0.7133333, Test Acc: 0.7500000
Epoch: 022, Train Loss: 0.5870362, Train Acc: 0.6477778, Test Acc: 0.6900000
Epoch: 023, Train Loss: 0.5772034, Train Acc: 0.6655556, Test Acc: 0.7300000
Epoch: 024, Train Loss: 0.5528307, Train Acc: 0.6911111, Test Acc: 0.7100000
Epoch: 025, Train Loss: 0.6004027, Train Acc: 0.6355556, Test Acc: 0.6700000
Epoch: 026, Train Loss: 0.5346076, Train Acc: 0.7200000, Test Acc: 0.7100000
Epoch: 027, Train Loss: 0.5899340, Train Acc: 0.6433333, Test Acc: 0.6900000
Epoch: 028, Train Loss: 0.5378996, Train Acc: 0.7222222, Test Acc: 0.7200000
Epoch: 029, Train Loss: 0.5468076, Train Acc: 0.7055556, Test Acc: 0.7600000
