{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]], 'edgehop': 2, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'M', 'dropout': 0.2}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673244691', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]], 'edgehop': 2, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'M', 'dropout': 0.2}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673244693, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   9%|▊         | 86/1000 [00:00<00:01, 852.93it/s]Pre-process:  18%|█▊        | 176/1000 [00:00<00:00, 875.41it/s]Pre-process:  26%|██▋       | 264/1000 [00:00<00:00, 828.90it/s]Pre-process:  35%|███▍      | 348/1000 [00:00<00:00, 809.38it/s]Pre-process:  43%|████▎     | 430/1000 [00:00<00:00, 784.40it/s]Pre-process:  51%|█████     | 509/1000 [00:00<00:00, 759.76it/s]Pre-process:  59%|█████▉    | 594/1000 [00:00<00:00, 785.07it/s]Pre-process:  68%|██████▊   | 682/1000 [00:00<00:00, 811.99it/s]Pre-process:  76%|███████▋  | 764/1000 [00:00<00:00, 739.20it/s]Pre-process:  84%|████████▍ | 840/1000 [00:01<00:00, 710.92it/s]Pre-process:  92%|█████████▏| 924/1000 [00:01<00:00, 745.27it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 778.20it/s]
Basis total: 11
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
With batch_norm.
#Params: 932610
Epoch: 001, Train Loss: 0.9464807, Train Acc: 0.5100000, Test Acc: 0.5000000
Epoch: 002, Train Loss: 2.3605065, Train Acc: 0.4800000, Test Acc: 0.4700000
Epoch: 003, Train Loss: 6.8003980, Train Acc: 0.6055556, Test Acc: 0.6000000
Epoch: 004, Train Loss: 1.6295723, Train Acc: 0.6277778, Test Acc: 0.5500000
Epoch: 005, Train Loss: 2.5646284, Train Acc: 0.5444444, Test Acc: 0.5500000
Epoch: 006, Train Loss: 1.3802760, Train Acc: 0.6433333, Test Acc: 0.6400000
Epoch: 007, Train Loss: 0.7142350, Train Acc: 0.5755556, Test Acc: 0.5700000
Epoch: 008, Train Loss: 0.8720852, Train Acc: 0.6122222, Test Acc: 0.5900000
Epoch: 009, Train Loss: 0.7894323, Train Acc: 0.6411111, Test Acc: 0.6200000
Epoch: 010, Train Loss: 0.6641521, Train Acc: 0.6733333, Test Acc: 0.7500000
Epoch: 011, Train Loss: 5.7835110, Train Acc: 0.6666667, Test Acc: 0.6500000
Epoch: 012, Train Loss: 0.5557441, Train Acc: 0.7200000, Test Acc: 0.7200000
Epoch: 013, Train Loss: 0.6014708, Train Acc: 0.6855556, Test Acc: 0.6700000
Epoch: 014, Train Loss: 0.6230594, Train Acc: 0.6622222, Test Acc: 0.6400000
Epoch: 015, Train Loss: 0.5534240, Train Acc: 0.7233333, Test Acc: 0.6900000
Epoch: 016, Train Loss: 0.5466739, Train Acc: 0.7011111, Test Acc: 0.7000000
Epoch: 017, Train Loss: 0.5712178, Train Acc: 0.7044444, Test Acc: 0.7300000
Epoch: 018, Train Loss: 0.5479991, Train Acc: 0.7122222, Test Acc: 0.7200000
Epoch: 019, Train Loss: 0.5800242, Train Acc: 0.6777778, Test Acc: 0.6900000
Epoch: 020, Train Loss: 0.7813423, Train Acc: 0.6500000, Test Acc: 0.6800000
Epoch: 021, Train Loss: 0.6047039, Train Acc: 0.6733333, Test Acc: 0.6700000
Epoch: 022, Train Loss: 0.7546649, Train Acc: 0.6111111, Test Acc: 0.6100000
Epoch: 023, Train Loss: 0.5747462, Train Acc: 0.6944444, Test Acc: 0.7000000
Epoch: 024, Train Loss: 0.5495274, Train Acc: 0.6933333, Test Acc: 0.6800000
Epoch: 025, Train Loss: 0.5648895, Train Acc: 0.7088889, Test Acc: 0.7100000
Epoch: 026, Train Loss: 0.5594435, Train Acc: 0.6788889, Test Acc: 0.7100000
Epoch: 027, Train Loss: 0.5404032, Train Acc: 0.6900000, Test Acc: 0.6800000
Epoch: 028, Train Loss: 0.5643253, Train Acc: 0.6811111, Test Acc: 0.7000000
Epoch: 029, Train Loss: 0.5823304, Train Acc: 0.7133333, Test Acc: 0.7500000
