{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'M', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245078', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 2], [1, 2], [1, 2]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'M', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245080, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   9%|▊         | 86/1000 [00:00<00:01, 859.27it/s]Pre-process:  17%|█▋        | 172/1000 [00:00<00:01, 753.47it/s]Pre-process:  25%|██▍       | 249/1000 [00:00<00:01, 732.39it/s]Pre-process:  33%|███▎      | 326/1000 [00:00<00:00, 746.24it/s]Pre-process:  41%|████      | 411/1000 [00:00<00:00, 778.91it/s]Pre-process:  49%|████▉     | 490/1000 [00:00<00:00, 773.54it/s]Pre-process:  58%|█████▊    | 579/1000 [00:00<00:00, 808.92it/s]Pre-process:  67%|██████▋   | 670/1000 [00:00<00:00, 839.24it/s]Pre-process:  76%|███████▌  | 759/1000 [00:00<00:00, 852.39it/s]Pre-process:  84%|████████▍ | 845/1000 [00:01<00:00, 851.38it/s]Pre-process:  93%|█████████▎| 931/1000 [00:01<00:00, 853.95it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 816.42it/s]
Basis total: 11
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 927490
Epoch: 001, Train Loss: 0.6585444, Train Acc: 0.5877778, Test Acc: 0.6000000
Epoch: 002, Train Loss: 1.0134886, Train Acc: 0.5188889, Test Acc: 0.5400000
Epoch: 003, Train Loss: 0.6203912, Train Acc: 0.6422222, Test Acc: 0.6700000
Epoch: 004, Train Loss: 0.5652157, Train Acc: 0.6966667, Test Acc: 0.7100000
Epoch: 005, Train Loss: 0.6303916, Train Acc: 0.6300000, Test Acc: 0.7000000
Epoch: 006, Train Loss: 0.5749076, Train Acc: 0.6700000, Test Acc: 0.7100000
Epoch: 007, Train Loss: 0.5601697, Train Acc: 0.7100000, Test Acc: 0.7300000
Epoch: 008, Train Loss: 0.5506071, Train Acc: 0.7011111, Test Acc: 0.7000000
Epoch: 009, Train Loss: 0.5524434, Train Acc: 0.7144444, Test Acc: 0.7200000
Epoch: 010, Train Loss: 0.5836195, Train Acc: 0.6688889, Test Acc: 0.7300000
Epoch: 011, Train Loss: 0.5786388, Train Acc: 0.7122222, Test Acc: 0.7200000
Epoch: 012, Train Loss: 0.6114229, Train Acc: 0.6666667, Test Acc: 0.6700000
Epoch: 013, Train Loss: 0.5588891, Train Acc: 0.7000000, Test Acc: 0.7100000
Epoch: 014, Train Loss: 0.6011470, Train Acc: 0.6655556, Test Acc: 0.7200000
Epoch: 015, Train Loss: 0.5410112, Train Acc: 0.7211111, Test Acc: 0.7400000
Epoch: 016, Train Loss: 0.5583509, Train Acc: 0.6933333, Test Acc: 0.7000000
Epoch: 017, Train Loss: 0.5369622, Train Acc: 0.7122222, Test Acc: 0.7300000
Epoch: 018, Train Loss: 0.5277417, Train Acc: 0.7244444, Test Acc: 0.7300000
Epoch: 019, Train Loss: 0.5318840, Train Acc: 0.7144444, Test Acc: 0.7500000
Epoch: 020, Train Loss: 0.5422190, Train Acc: 0.7144444, Test Acc: 0.7100000
Epoch: 021, Train Loss: 0.5493391, Train Acc: 0.7277778, Test Acc: 0.7300000
Epoch: 022, Train Loss: 0.5377145, Train Acc: 0.7166667, Test Acc: 0.7300000
Epoch: 023, Train Loss: 0.5640549, Train Acc: 0.6833333, Test Acc: 0.7100000
Epoch: 024, Train Loss: 0.5694110, Train Acc: 0.6777778, Test Acc: 0.7000000
Epoch: 025, Train Loss: 0.5382546, Train Acc: 0.7044444, Test Acc: 0.7200000
Epoch: 026, Train Loss: 0.5673049, Train Acc: 0.6777778, Test Acc: 0.7200000
Epoch: 027, Train Loss: 0.5376696, Train Acc: 0.7144444, Test Acc: 0.7500000
Epoch: 028, Train Loss: 0.5404759, Train Acc: 0.7144444, Test Acc: 0.7300000
Epoch: 029, Train Loss: 0.6216831, Train Acc: 0.6544444, Test Acc: 0.7100000
Epoch: 030, Train Loss: 0.5746497, Train Acc: 0.6733333, Test Acc: 0.7300000
