{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 3, 'hidden': 256, 'pooling': 'M', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245222', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 3, 'hidden': 256, 'pooling': 'M', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245224, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   8%|▊         | 84/1000 [00:00<00:01, 836.87it/s]Pre-process:  17%|█▋        | 168/1000 [00:00<00:01, 819.09it/s]Pre-process:  25%|██▌       | 250/1000 [00:00<00:00, 818.70it/s]Pre-process:  33%|███▎      | 334/1000 [00:00<00:00, 823.87it/s]Pre-process:  42%|████▏     | 421/1000 [00:00<00:00, 838.06it/s]Pre-process:  51%|█████     | 507/1000 [00:00<00:00, 843.89it/s]Pre-process:  60%|█████▉    | 598/1000 [00:00<00:00, 862.99it/s]Pre-process:  68%|██████▊   | 685/1000 [00:00<00:00, 857.51it/s]Pre-process:  77%|███████▋  | 771/1000 [00:00<00:00, 844.42it/s]Pre-process:  86%|████████▌ | 856/1000 [00:01<00:00, 841.02it/s]Pre-process:  95%|█████████▍| 947/1000 [00:01<00:00, 859.03it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 843.21it/s]
Basis total: 6
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 728834
Epoch: 001, Train Loss: 0.6896426, Train Acc: 0.5055556, Test Acc: 0.4900000
Epoch: 002, Train Loss: 0.6938357, Train Acc: 0.4955556, Test Acc: 0.5000000
Epoch: 003, Train Loss: 0.6951811, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 004, Train Loss: 0.6937511, Train Acc: 0.5077778, Test Acc: 0.5200000
Epoch: 005, Train Loss: 0.6858785, Train Acc: 0.5200000, Test Acc: 0.5100000
Epoch: 006, Train Loss: 0.7091165, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 007, Train Loss: 0.6860892, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 008, Train Loss: 0.6820970, Train Acc: 0.5400000, Test Acc: 0.5600000
Epoch: 009, Train Loss: 0.6615583, Train Acc: 0.6333333, Test Acc: 0.6600000
Epoch: 010, Train Loss: 0.6725265, Train Acc: 0.5822222, Test Acc: 0.6000000
Epoch: 011, Train Loss: 0.6545299, Train Acc: 0.6200000, Test Acc: 0.5800000
Epoch: 012, Train Loss: 0.6616278, Train Acc: 0.5944444, Test Acc: 0.6200000
Epoch: 013, Train Loss: 0.6376617, Train Acc: 0.6433333, Test Acc: 0.6700000
Epoch: 014, Train Loss: 0.5888769, Train Acc: 0.6777778, Test Acc: 0.6800000
Epoch: 015, Train Loss: 0.6164331, Train Acc: 0.6722222, Test Acc: 0.6500000
Epoch: 016, Train Loss: 0.6083345, Train Acc: 0.6744444, Test Acc: 0.6700000
Epoch: 017, Train Loss: 0.5744446, Train Acc: 0.6900000, Test Acc: 0.7300000
Epoch: 018, Train Loss: 0.5833896, Train Acc: 0.6855556, Test Acc: 0.6700000
Epoch: 019, Train Loss: 0.5701086, Train Acc: 0.6822222, Test Acc: 0.7000000
Epoch: 020, Train Loss: 0.6323362, Train Acc: 0.6444444, Test Acc: 0.6500000
Epoch: 021, Train Loss: 0.5763566, Train Acc: 0.6944444, Test Acc: 0.6900000
Epoch: 022, Train Loss: 0.5587491, Train Acc: 0.6944444, Test Acc: 0.7200000
Epoch: 023, Train Loss: 0.5602224, Train Acc: 0.7022222, Test Acc: 0.7100000
Epoch: 024, Train Loss: 0.5555095, Train Acc: 0.7188889, Test Acc: 0.7300000
Epoch: 025, Train Loss: 0.5417805, Train Acc: 0.7233333, Test Acc: 0.7600000
Epoch: 026, Train Loss: 0.5536713, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 027, Train Loss: 0.5732135, Train Acc: 0.6800000, Test Acc: 0.6600000
Epoch: 028, Train Loss: 0.5897414, Train Acc: 0.6511111, Test Acc: 0.7000000
Epoch: 029, Train Loss: 0.5598339, Train Acc: 0.7111111, Test Acc: 0.7200000
Epoch: 030, Train Loss: 0.5540161, Train Acc: 0.6877778, Test Acc: 0.7100000
