{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 3, 'hidden': 256, 'pooling': 'S', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245270', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 3, 'hidden': 256, 'pooling': 'S', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245272, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   6%|▌         | 62/1000 [00:00<00:01, 611.99it/s]Pre-process:  13%|█▎        | 126/1000 [00:00<00:01, 624.45it/s]Pre-process:  19%|█▉        | 190/1000 [00:00<00:01, 630.05it/s]Pre-process:  25%|██▌       | 254/1000 [00:00<00:01, 629.30it/s]Pre-process:  32%|███▏      | 318/1000 [00:00<00:01, 630.13it/s]Pre-process:  38%|███▊      | 382/1000 [00:00<00:00, 633.29it/s]Pre-process:  45%|████▌     | 454/1000 [00:00<00:00, 659.19it/s]Pre-process:  54%|█████▎    | 535/1000 [00:00<00:00, 705.55it/s]Pre-process:  61%|██████    | 607/1000 [00:00<00:00, 709.65it/s]Pre-process:  68%|██████▊   | 678/1000 [00:01<00:00, 683.35it/s]Pre-process:  75%|███████▍  | 747/1000 [00:01<00:00, 642.65it/s]Pre-process:  81%|████████  | 812/1000 [00:01<00:00, 637.95it/s]Pre-process:  88%|████████▊ | 877/1000 [00:01<00:00, 639.21it/s]Pre-process:  94%|█████████▍| 942/1000 [00:01<00:00, 641.00it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 649.19it/s]
Basis total: 6
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 728834
Epoch: 001, Train Loss: 1.1507370, Train Acc: 0.5111111, Test Acc: 0.5100000
Epoch: 002, Train Loss: 0.6987507, Train Acc: 0.4966667, Test Acc: 0.5400000
Epoch: 003, Train Loss: 0.7095733, Train Acc: 0.4966667, Test Acc: 0.5300000
Epoch: 004, Train Loss: 0.8025053, Train Acc: 0.5022222, Test Acc: 0.5000000
Epoch: 005, Train Loss: 0.8902861, Train Acc: 0.5055556, Test Acc: 0.5000000
Epoch: 006, Train Loss: 0.7126271, Train Acc: 0.5811111, Test Acc: 0.5800000
Epoch: 007, Train Loss: 0.7230053, Train Acc: 0.5088889, Test Acc: 0.5200000
Epoch: 008, Train Loss: 0.7366486, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 009, Train Loss: 0.7035959, Train Acc: 0.5544444, Test Acc: 0.5500000
Epoch: 010, Train Loss: 0.6817106, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 011, Train Loss: 0.8384695, Train Acc: 0.5122222, Test Acc: 0.5200000
Epoch: 012, Train Loss: 0.7403471, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 013, Train Loss: 0.7076088, Train Acc: 0.5077778, Test Acc: 0.5200000
Epoch: 014, Train Loss: 0.6841867, Train Acc: 0.5388889, Test Acc: 0.5700000
Epoch: 015, Train Loss: 0.6753983, Train Acc: 0.5477778, Test Acc: 0.5700000
Epoch: 016, Train Loss: 0.6866802, Train Acc: 0.5611111, Test Acc: 0.5500000
Epoch: 017, Train Loss: 0.7271240, Train Acc: 0.5133333, Test Acc: 0.5300000
Epoch: 018, Train Loss: 0.6858914, Train Acc: 0.5277778, Test Acc: 0.5300000
Epoch: 019, Train Loss: 0.6704035, Train Acc: 0.5422222, Test Acc: 0.6200000
Epoch: 020, Train Loss: 0.6707026, Train Acc: 0.5800000, Test Acc: 0.5800000
Epoch: 021, Train Loss: 0.6641901, Train Acc: 0.5922222, Test Acc: 0.5900000
Epoch: 022, Train Loss: 0.6989518, Train Acc: 0.5700000, Test Acc: 0.5900000
Epoch: 023, Train Loss: 0.6558647, Train Acc: 0.5800000, Test Acc: 0.5500000
Epoch: 024, Train Loss: 0.6737462, Train Acc: 0.6333333, Test Acc: 0.6700000
Epoch: 025, Train Loss: 0.6445593, Train Acc: 0.6000000, Test Acc: 0.6800000
Epoch: 026, Train Loss: 0.6213850, Train Acc: 0.6411111, Test Acc: 0.6400000
Epoch: 027, Train Loss: 0.6100493, Train Acc: 0.6744444, Test Acc: 0.6700000
Epoch: 028, Train Loss: 0.6260845, Train Acc: 0.6677778, Test Acc: 0.7100000
Epoch: 029, Train Loss: 0.6107890, Train Acc: 0.6511111, Test Acc: 0.6600000
Epoch: 030, Train Loss: 0.5903027, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 031, Train Loss: 0.6393310, Train Acc: 0.6377778, Test Acc: 0.7100000
Epoch: 032, Train Loss: 0.5969942, Train Acc: 0.6688889, Test Acc: 0.6600000
Epoch: 033, Train Loss: 0.6343391, Train Acc: 0.6188889, Test Acc: 0.6400000
Epoch: 034, Train Loss: 0.6173510, Train Acc: 0.6855556, Test Acc: 0.6800000
Epoch: 035, Train Loss: 0.7337880, Train Acc: 0.5666667, Test Acc: 0.6100000
Epoch: 036, Train Loss: 0.6477870, Train Acc: 0.6444444, Test Acc: 0.7000000
Epoch: 037, Train Loss: 0.6459096, Train Acc: 0.6533333, Test Acc: 0.7200000
Epoch: 038, Train Loss: 0.5726548, Train Acc: 0.6811111, Test Acc: 0.7000000
Epoch: 039, Train Loss: 0.5892148, Train Acc: 0.6666667, Test Acc: 0.6900000
Epoch: 040, Train Loss: 0.6119312, Train Acc: 0.6644444, Test Acc: 0.7100000
Epoch: 041, Train Loss: 0.5847703, Train Acc: 0.6855556, Test Acc: 0.6800000
Epoch: 042, Train Loss: 0.5651766, Train Acc: 0.7122222, Test Acc: 0.7400000
Epoch: 043, Train Loss: 0.5927603, Train Acc: 0.7111111, Test Acc: 0.7100000
Epoch: 044, Train Loss: 0.5807320, Train Acc: 0.7100000, Test Acc: 0.7200000
Epoch: 045, Train Loss: 0.5576786, Train Acc: 0.6955556, Test Acc: 0.7100000
Epoch: 046, Train Loss: 0.5804820, Train Acc: 0.6866667, Test Acc: 0.7100000
Epoch: 047, Train Loss: 0.5561405, Train Acc: 0.7111111, Test Acc: 0.7200000
Epoch: 048, Train Loss: 0.5849990, Train Acc: 0.6788889, Test Acc: 0.7200000
Epoch: 049, Train Loss: 0.5584569, Train Acc: 0.7055556, Test Acc: 0.7300000
Epoch: 050, Train Loss: 0.5495437, Train Acc: 0.7155556, Test Acc: 0.7100000
Epoch: 051, Train Loss: 0.5451138, Train Acc: 0.7066667, Test Acc: 0.7300000
Epoch: 052, Train Loss: 0.5992723, Train Acc: 0.6644444, Test Acc: 0.7000000
Epoch: 053, Train Loss: 0.5782336, Train Acc: 0.7188889, Test Acc: 0.7300000
Epoch: 054, Train Loss: 0.5635341, Train Acc: 0.6922222, Test Acc: 0.7100000
Epoch: 055, Train Loss: 0.5604156, Train Acc: 0.7122222, Test Acc: 0.7100000
Epoch: 056, Train Loss: 0.5473981, Train Acc: 0.7155556, Test Acc: 0.7400000
Epoch: 057, Train Loss: 0.5690696, Train Acc: 0.6933333, Test Acc: 0.7000000
Epoch: 058, Train Loss: 0.5675068, Train Acc: 0.6944444, Test Acc: 0.6900000
Epoch: 059, Train Loss: 0.5617932, Train Acc: 0.6922222, Test Acc: 0.7100000
Epoch: 060, Train Loss: 0.5631124, Train Acc: 0.7011111, Test Acc: 0.6900000
Epoch: 061, Train Loss: 0.5479066, Train Acc: 0.7155556, Test Acc: 0.7300000
Epoch: 062, Train Loss: 0.5421285, Train Acc: 0.7111111, Test Acc: 0.7300000
Epoch: 063, Train Loss: 0.5403033, Train Acc: 0.7222222, Test Acc: 0.7400000
Epoch: 064, Train Loss: 0.5411876, Train Acc: 0.7144444, Test Acc: 0.7100000
Epoch: 065, Train Loss: 0.5449609, Train Acc: 0.7111111, Test Acc: 0.7100000
Epoch: 066, Train Loss: 0.5964389, Train Acc: 0.6533333, Test Acc: 0.7000000
Epoch: 067, Train Loss: 0.5553200, Train Acc: 0.7077778, Test Acc: 0.7000000
Epoch: 068, Train Loss: 0.5583934, Train Acc: 0.6966667, Test Acc: 0.6900000
Epoch: 069, Train Loss: 0.5356569, Train Acc: 0.7211111, Test Acc: 0.7400000
Epoch: 070, Train Loss: 0.5412763, Train Acc: 0.7222222, Test Acc: 0.7200000
Epoch: 071, Train Loss: 0.5697316, Train Acc: 0.6844444, Test Acc: 0.7000000
Epoch: 072, Train Loss: 0.5380422, Train Acc: 0.7200000, Test Acc: 0.7500000
Epoch: 073, Train Loss: 0.5370513, Train Acc: 0.7255556, Test Acc: 0.7400000
Epoch: 074, Train Loss: 0.6158208, Train Acc: 0.6733333, Test Acc: 0.6900000
Epoch: 075, Train Loss: 0.5872197, Train Acc: 0.6855556, Test Acc: 0.7000000
Epoch: 076, Train Loss: 0.5435778, Train Acc: 0.7222222, Test Acc: 0.7300000
Epoch: 077, Train Loss: 0.5411456, Train Acc: 0.7166667, Test Acc: 0.7400000
Epoch: 078, Train Loss: 0.5391309, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 079, Train Loss: 0.5489854, Train Acc: 0.7177778, Test Acc: 0.7300000
Epoch: 080, Train Loss: 0.5638497, Train Acc: 0.6866667, Test Acc: 0.7100000
Epoch: 081, Train Loss: 0.5745300, Train Acc: 0.6844444, Test Acc: 0.6900000
Epoch: 082, Train Loss: 0.5357503, Train Acc: 0.7133333, Test Acc: 0.7300000
Epoch: 083, Train Loss: 0.5345682, Train Acc: 0.7211111, Test Acc: 0.7500000
Epoch: 084, Train Loss: 0.5391499, Train Acc: 0.7200000, Test Acc: 0.7200000
Epoch: 085, Train Loss: 0.5433770, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 086, Train Loss: 0.5483944, Train Acc: 0.7100000, Test Acc: 0.7500000
Epoch: 087, Train Loss: 0.5520473, Train Acc: 0.7177778, Test Acc: 0.7200000
Epoch: 088, Train Loss: 0.5377713, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 089, Train Loss: 0.5341058, Train Acc: 0.7222222, Test Acc: 0.7400000
Epoch: 090, Train Loss: 0.5461894, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 091, Train Loss: 0.5349208, Train Acc: 0.7233333, Test Acc: 0.7400000
Epoch: 092, Train Loss: 0.5322663, Train Acc: 0.7233333, Test Acc: 0.7500000
Epoch: 093, Train Loss: 0.5587462, Train Acc: 0.6922222, Test Acc: 0.7100000
Epoch: 094, Train Loss: 0.5419932, Train Acc: 0.7188889, Test Acc: 0.7300000
Epoch: 095, Train Loss: 0.5400563, Train Acc: 0.7211111, Test Acc: 0.7400000
Epoch: 096, Train Loss: 0.5394786, Train Acc: 0.7044444, Test Acc: 0.7100000
Epoch: 097, Train Loss: 0.5396847, Train Acc: 0.7022222, Test Acc: 0.7000000
Epoch: 098, Train Loss: 0.5335848, Train Acc: 0.7177778, Test Acc: 0.7400000
Epoch: 099, Train Loss: 0.5338453, Train Acc: 0.7188889, Test Acc: 0.7300000
Epoch: 100, Train Loss: 0.5684144, Train Acc: 0.6933333, Test Acc: 0.6900000
Epoch: 101, Train Loss: 0.5516627, Train Acc: 0.6911111, Test Acc: 0.7000000
Epoch: 102, Train Loss: 0.5332304, Train Acc: 0.7188889, Test Acc: 0.7400000
