{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245315', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245318, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   7%|▋         | 73/1000 [00:00<00:01, 729.53it/s]Pre-process:  15%|█▍        | 149/1000 [00:00<00:01, 743.20it/s]Pre-process:  22%|██▏       | 224/1000 [00:00<00:01, 722.27it/s]Pre-process:  30%|██▉       | 297/1000 [00:00<00:01, 694.71it/s]Pre-process:  38%|███▊      | 379/1000 [00:00<00:00, 736.57it/s]Pre-process:  46%|████▌     | 458/1000 [00:00<00:00, 753.40it/s]Pre-process:  53%|█████▎    | 534/1000 [00:00<00:00, 753.69it/s]Pre-process:  62%|██████▏   | 617/1000 [00:00<00:00, 775.12it/s]Pre-process:  70%|██████▉   | 695/1000 [00:00<00:00, 762.77it/s]Pre-process:  77%|███████▋  | 772/1000 [00:01<00:00, 725.89it/s]Pre-process:  84%|████████▍ | 845/1000 [00:01<00:00, 706.82it/s]Pre-process:  92%|█████████▏| 916/1000 [00:01<00:00, 674.98it/s]Pre-process:  99%|█████████▉| 990/1000 [00:01<00:00, 691.50it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 720.58it/s]
Basis total: 6
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 728834
Epoch: 001, Train Loss: 0.6895001, Train Acc: 0.4933333, Test Acc: 0.4600000
Epoch: 002, Train Loss: 0.7085539, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 003, Train Loss: 0.6949005, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 004, Train Loss: 0.6991973, Train Acc: 0.5077778, Test Acc: 0.5200000
Epoch: 005, Train Loss: 0.6905586, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 006, Train Loss: 0.7009635, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 007, Train Loss: 0.6844419, Train Acc: 0.5666667, Test Acc: 0.5200000
Epoch: 008, Train Loss: 0.6922354, Train Acc: 0.4966667, Test Acc: 0.5100000
Epoch: 009, Train Loss: 0.6794535, Train Acc: 0.5844444, Test Acc: 0.5800000
Epoch: 010, Train Loss: 0.6730827, Train Acc: 0.5766667, Test Acc: 0.5600000
Epoch: 011, Train Loss: 0.6724105, Train Acc: 0.5688889, Test Acc: 0.5700000
Epoch: 012, Train Loss: 0.6699050, Train Acc: 0.6133333, Test Acc: 0.5900000
Epoch: 013, Train Loss: 0.6449845, Train Acc: 0.6322222, Test Acc: 0.6500000
Epoch: 014, Train Loss: 0.6575571, Train Acc: 0.6122222, Test Acc: 0.5800000
Epoch: 015, Train Loss: 0.6447278, Train Acc: 0.6200000, Test Acc: 0.6800000
Epoch: 016, Train Loss: 0.5867029, Train Acc: 0.6822222, Test Acc: 0.6700000
Epoch: 017, Train Loss: 0.5975527, Train Acc: 0.6955556, Test Acc: 0.6800000
Epoch: 018, Train Loss: 0.6476708, Train Acc: 0.6400000, Test Acc: 0.6800000
Epoch: 019, Train Loss: 0.5691051, Train Acc: 0.7133333, Test Acc: 0.6700000
Epoch: 020, Train Loss: 0.6259471, Train Acc: 0.6644444, Test Acc: 0.6400000
Epoch: 021, Train Loss: 0.5969022, Train Acc: 0.6855556, Test Acc: 0.6900000
Epoch: 022, Train Loss: 0.5666516, Train Acc: 0.7133333, Test Acc: 0.7200000
Epoch: 023, Train Loss: 0.5561648, Train Acc: 0.7011111, Test Acc: 0.7200000
Epoch: 024, Train Loss: 0.5531534, Train Acc: 0.7111111, Test Acc: 0.7400000
Epoch: 025, Train Loss: 0.5500191, Train Acc: 0.7144444, Test Acc: 0.7500000
Epoch: 026, Train Loss: 0.5591668, Train Acc: 0.7000000, Test Acc: 0.7100000
Epoch: 027, Train Loss: 0.5735961, Train Acc: 0.6733333, Test Acc: 0.6800000
Epoch: 028, Train Loss: 0.5875184, Train Acc: 0.6633333, Test Acc: 0.7100000
Epoch: 029, Train Loss: 0.5553105, Train Acc: 0.7111111, Test Acc: 0.7400000
Epoch: 030, Train Loss: 0.5614121, Train Acc: 0.6844444, Test Acc: 0.7400000
Epoch: 031, Train Loss: 0.5533750, Train Acc: 0.6955556, Test Acc: 0.7500000
Epoch: 032, Train Loss: 0.5453168, Train Acc: 0.7100000, Test Acc: 0.6700000
