{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 2, 'hidden': 256, 'pooling': 'M', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245395', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 401, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 2, 'hidden': 256, 'pooling': 'M', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245398, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   7%|▋         | 72/1000 [00:00<00:01, 711.69it/s]Pre-process:  15%|█▌        | 153/1000 [00:00<00:01, 767.36it/s]Pre-process:  24%|██▎       | 235/1000 [00:00<00:00, 790.93it/s]Pre-process:  32%|███▏      | 315/1000 [00:00<00:00, 745.31it/s]Pre-process:  39%|███▉      | 390/1000 [00:00<00:00, 715.04it/s]Pre-process:  47%|████▋     | 468/1000 [00:00<00:00, 733.59it/s]Pre-process:  55%|█████▌    | 552/1000 [00:00<00:00, 765.84it/s]Pre-process:  63%|██████▎   | 631/1000 [00:00<00:00, 769.92it/s]Pre-process:  71%|███████   | 709/1000 [00:00<00:00, 742.53it/s]Pre-process:  78%|███████▊  | 784/1000 [00:01<00:00, 739.03it/s]Pre-process:  86%|████████▌ | 859/1000 [00:01<00:00, 737.33it/s]Pre-process:  93%|█████████▎| 933/1000 [00:01<00:00, 732.80it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 742.32it/s]
Basis total: 6
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 531458
Epoch: 001, Train Loss: 0.6990327, Train Acc: 0.5211111, Test Acc: 0.5300000
Epoch: 002, Train Loss: 0.6896836, Train Acc: 0.5088889, Test Acc: 0.5200000
Epoch: 003, Train Loss: 0.6995230, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 004, Train Loss: 0.6882610, Train Acc: 0.5555556, Test Acc: 0.5600000
Epoch: 005, Train Loss: 0.6877436, Train Acc: 0.5122222, Test Acc: 0.4900000
Epoch: 006, Train Loss: 0.6910628, Train Acc: 0.4977778, Test Acc: 0.5400000
Epoch: 007, Train Loss: 0.6840901, Train Acc: 0.5422222, Test Acc: 0.5300000
Epoch: 008, Train Loss: 0.6739853, Train Acc: 0.5977778, Test Acc: 0.6200000
Epoch: 009, Train Loss: 0.6883313, Train Acc: 0.5588889, Test Acc: 0.5600000
Epoch: 010, Train Loss: 0.6650071, Train Acc: 0.5988889, Test Acc: 0.5900000
Epoch: 011, Train Loss: 0.6464345, Train Acc: 0.6311111, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.6350110, Train Acc: 0.6355556, Test Acc: 0.6300000
Epoch: 013, Train Loss: 0.6459178, Train Acc: 0.6322222, Test Acc: 0.6400000
Epoch: 014, Train Loss: 0.6475468, Train Acc: 0.6355556, Test Acc: 0.6400000
Epoch: 015, Train Loss: 0.6200626, Train Acc: 0.6466667, Test Acc: 0.6700000
Epoch: 016, Train Loss: 0.6509900, Train Acc: 0.6533333, Test Acc: 0.6400000
Epoch: 017, Train Loss: 0.6014382, Train Acc: 0.6855556, Test Acc: 0.7100000
Epoch: 018, Train Loss: 0.6254321, Train Acc: 0.6477778, Test Acc: 0.6600000
Epoch: 019, Train Loss: 0.5964477, Train Acc: 0.6900000, Test Acc: 0.7000000
Epoch: 020, Train Loss: 0.6283762, Train Acc: 0.6344444, Test Acc: 0.7000000
Epoch: 021, Train Loss: 0.6008636, Train Acc: 0.6422222, Test Acc: 0.6700000
Epoch: 022, Train Loss: 0.6519114, Train Acc: 0.6433333, Test Acc: 0.5900000
Epoch: 023, Train Loss: 0.6241745, Train Acc: 0.6722222, Test Acc: 0.6500000
Epoch: 024, Train Loss: 0.6422797, Train Acc: 0.6077778, Test Acc: 0.6200000
Epoch: 025, Train Loss: 0.6562572, Train Acc: 0.6266667, Test Acc: 0.6000000
Epoch: 026, Train Loss: 0.6226234, Train Acc: 0.6577778, Test Acc: 0.6800000
Epoch: 027, Train Loss: 0.6606812, Train Acc: 0.6288889, Test Acc: 0.6700000
Epoch: 028, Train Loss: 0.5869398, Train Acc: 0.6822222, Test Acc: 0.7100000
Epoch: 029, Train Loss: 0.6015834, Train Acc: 0.6733333, Test Acc: 0.6700000
Epoch: 030, Train Loss: 0.5771833, Train Acc: 0.6755556, Test Acc: 0.6700000
Epoch: 031, Train Loss: 0.5672259, Train Acc: 0.6944444, Test Acc: 0.7100000
Epoch: 032, Train Loss: 0.5859293, Train Acc: 0.6722222, Test Acc: 0.7100000
