{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 4], [1, 4], [1, 4]], 'edgehop': 4, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673245978', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 4], [1, 4], [1, 4]], 'edgehop': 4, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673245980, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   8%|▊         | 81/1000 [00:00<00:01, 802.16it/s]Pre-process:  16%|█▋        | 165/1000 [00:00<00:01, 818.09it/s]Pre-process:  25%|██▍       | 247/1000 [00:00<00:00, 811.13it/s]Pre-process:  33%|███▎      | 329/1000 [00:00<00:00, 808.36it/s]Pre-process:  41%|████      | 412/1000 [00:00<00:00, 812.82it/s]Pre-process:  49%|████▉     | 494/1000 [00:00<00:00, 809.51it/s]Pre-process:  58%|█████▊    | 579/1000 [00:00<00:00, 820.89it/s]Pre-process:  66%|██████▋   | 664/1000 [00:00<00:00, 827.15it/s]Pre-process:  75%|███████▍  | 748/1000 [00:00<00:00, 830.62it/s]Pre-process:  83%|████████▎ | 832/1000 [00:01<00:00, 822.01it/s]Pre-process:  92%|█████████▏| 915/1000 [00:01<00:00, 809.35it/s]Pre-process: 100%|█████████▉| 998/1000 [00:01<00:00, 814.09it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 815.81it/s]
Basis total: 21
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 930050
Epoch: 001, Train Loss: 1743.0981328, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 002, Train Loss: 12538.4703400, Train Acc: 0.5200000, Test Acc: 0.5400000
Epoch: 003, Train Loss: 3980.6331481, Train Acc: 0.5700000, Test Acc: 0.5700000
Epoch: 004, Train Loss: 194.4947124, Train Acc: 0.6144444, Test Acc: 0.6300000
Epoch: 005, Train Loss: 5.6348959, Train Acc: 0.6111111, Test Acc: 0.5900000
Epoch: 006, Train Loss: 185.0159186, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 007, Train Loss: 6.2574003, Train Acc: 0.6944444, Test Acc: 0.7300000
Epoch: 008, Train Loss: 1.1312976, Train Acc: 0.7200000, Test Acc: 0.7100000
Epoch: 009, Train Loss: 0.6780995, Train Acc: 0.6311111, Test Acc: 0.6600000
Epoch: 010, Train Loss: 0.6933624, Train Acc: 0.6977778, Test Acc: 0.7200000
Epoch: 011, Train Loss: 0.7198777, Train Acc: 0.6933333, Test Acc: 0.7000000
Epoch: 012, Train Loss: 0.7184229, Train Acc: 0.7055556, Test Acc: 0.7300000
Epoch: 013, Train Loss: 0.5817130, Train Acc: 0.7177778, Test Acc: 0.7400000
Epoch: 014, Train Loss: 0.5672752, Train Acc: 0.7188889, Test Acc: 0.7300000
Epoch: 015, Train Loss: 0.5794890, Train Acc: 0.7177778, Test Acc: 0.7500000
Epoch: 016, Train Loss: 0.5802406, Train Acc: 0.7144444, Test Acc: 0.7500000
Epoch: 017, Train Loss: 0.5497105, Train Acc: 0.7166667, Test Acc: 0.7400000
Epoch: 018, Train Loss: 0.5496172, Train Acc: 0.6988889, Test Acc: 0.7300000
Epoch: 019, Train Loss: 0.5918283, Train Acc: 0.7144444, Test Acc: 0.7300000
Epoch: 020, Train Loss: 0.5414440, Train Acc: 0.7244444, Test Acc: 0.7300000
Epoch: 021, Train Loss: 0.7800660, Train Acc: 0.6288889, Test Acc: 0.5900000
Epoch: 022, Train Loss: 0.7909750, Train Acc: 0.6333333, Test Acc: 0.6200000
Epoch: 023, Train Loss: 0.5750607, Train Acc: 0.7044444, Test Acc: 0.6900000
Epoch: 024, Train Loss: 0.5305892, Train Acc: 0.7288889, Test Acc: 0.7400000
Epoch: 025, Train Loss: 0.5348788, Train Acc: 0.7144444, Test Acc: 0.6900000
Epoch: 026, Train Loss: 0.5908899, Train Acc: 0.6477778, Test Acc: 0.6300000
Epoch: 027, Train Loss: 0.5339399, Train Acc: 0.7188889, Test Acc: 0.6600000
Epoch: 028, Train Loss: 0.5131164, Train Acc: 0.7200000, Test Acc: 0.7200000
Epoch: 029, Train Loss: 0.5907713, Train Acc: 0.7333333, Test Acc: 0.7400000
Epoch: 030, Train Loss: 0.5894704, Train Acc: 0.7300000, Test Acc: 0.7400000
Epoch: 031, Train Loss: 0.5495204, Train Acc: 0.7166667, Test Acc: 0.6900000
