{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 3], [1, 3], [1, 3]], 'edgehop': 3, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673246079', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 3], [1, 3], [1, 3]], 'edgehop': 3, 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673246083, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   7%|▋         | 67/1000 [00:00<00:01, 661.13it/s]Pre-process:  14%|█▎        | 137/1000 [00:00<00:01, 680.65it/s]Pre-process:  21%|██        | 209/1000 [00:00<00:01, 695.45it/s]Pre-process:  28%|██▊       | 281/1000 [00:00<00:01, 702.19it/s]Pre-process:  35%|███▌      | 354/1000 [00:00<00:00, 709.64it/s]Pre-process:  43%|████▎     | 428/1000 [00:00<00:00, 717.13it/s]Pre-process:  50%|█████     | 500/1000 [00:00<00:00, 704.36it/s]Pre-process:  57%|█████▋    | 572/1000 [00:00<00:00, 708.44it/s]Pre-process:  64%|██████▍   | 644/1000 [00:00<00:00, 710.92it/s]Pre-process:  72%|███████▏  | 716/1000 [00:01<00:00, 704.93it/s]Pre-process:  79%|███████▊  | 787/1000 [00:01<00:00, 696.73it/s]Pre-process:  86%|████████▌ | 860/1000 [00:01<00:00, 706.55it/s]Pre-process:  94%|█████████▎| 937/1000 [00:01<00:00, 724.01it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 711.62it/s]
Basis total: 16
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 928770
Epoch: 001, Train Loss: 1.3396456, Train Acc: 0.6144444, Test Acc: 0.6100000
Epoch: 002, Train Loss: 1.0642405, Train Acc: 0.6100000, Test Acc: 0.6300000
Epoch: 003, Train Loss: 0.7314253, Train Acc: 0.6822222, Test Acc: 0.6900000
Epoch: 004, Train Loss: 1.6011346, Train Acc: 0.6966667, Test Acc: 0.6900000
Epoch: 005, Train Loss: 0.5887559, Train Acc: 0.7066667, Test Acc: 0.6600000
Epoch: 006, Train Loss: 0.5700252, Train Acc: 0.6977778, Test Acc: 0.7000000
Epoch: 007, Train Loss: 0.5527770, Train Acc: 0.7000000, Test Acc: 0.7200000
Epoch: 008, Train Loss: 0.5400372, Train Acc: 0.7277778, Test Acc: 0.7600000
Epoch: 009, Train Loss: 0.5477492, Train Acc: 0.7144444, Test Acc: 0.7000000
Epoch: 010, Train Loss: 0.5406946, Train Acc: 0.6955556, Test Acc: 0.7200000
Epoch: 011, Train Loss: 0.5234088, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 012, Train Loss: 0.5275510, Train Acc: 0.7211111, Test Acc: 0.7400000
Epoch: 013, Train Loss: 0.5174326, Train Acc: 0.7266667, Test Acc: 0.7300000
Epoch: 014, Train Loss: 0.5166441, Train Acc: 0.7355556, Test Acc: 0.7400000
Epoch: 015, Train Loss: 0.5294877, Train Acc: 0.7144444, Test Acc: 0.7300000
Epoch: 016, Train Loss: 0.5265738, Train Acc: 0.7166667, Test Acc: 0.7500000
Epoch: 017, Train Loss: 0.5266407, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 018, Train Loss: 0.5185819, Train Acc: 0.7222222, Test Acc: 0.7400000
Epoch: 019, Train Loss: 0.5474545, Train Acc: 0.7211111, Test Acc: 0.7200000
Epoch: 020, Train Loss: 0.5337833, Train Acc: 0.7233333, Test Acc: 0.7500000
Epoch: 021, Train Loss: 0.5180377, Train Acc: 0.7166667, Test Acc: 0.7200000
Epoch: 022, Train Loss: 0.5172632, Train Acc: 0.7222222, Test Acc: 0.7300000
Epoch: 023, Train Loss: 0.5258765, Train Acc: 0.7200000, Test Acc: 0.7100000
Epoch: 024, Train Loss: 0.5151854, Train Acc: 0.7211111, Test Acc: 0.7400000
Epoch: 025, Train Loss: 0.5243207, Train Acc: 0.7211111, Test Acc: 0.7700000
Epoch: 026, Train Loss: 0.5172154, Train Acc: 0.7266667, Test Acc: 0.7500000
Epoch: 027, Train Loss: 0.5205113, Train Acc: 0.7177778, Test Acc: 0.7400000
Epoch: 028, Train Loss: 0.5167827, Train Acc: 0.7122222, Test Acc: 0.6900000
Epoch: 029, Train Loss: 0.5098140, Train Acc: 0.7344444, Test Acc: 0.7500000
Epoch: 030, Train Loss: 0.5276322, Train Acc: 0.7155556, Test Acc: 0.7400000
Epoch: 031, Train Loss: 0.5184945, Train Acc: 0.7277778, Test Acc: 0.7400000
