{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 5], [1, 5], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673246929', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 5], [1, 5], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673246932, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   6%|▌         | 60/1000 [00:00<00:01, 599.19it/s]Pre-process:  12%|█▎        | 125/1000 [00:00<00:01, 624.05it/s]Pre-process:  19%|█▉        | 191/1000 [00:00<00:01, 638.64it/s]Pre-process:  26%|██▌       | 257/1000 [00:00<00:01, 645.18it/s]Pre-process:  32%|███▏      | 322/1000 [00:00<00:01, 634.67it/s]Pre-process:  39%|███▊      | 386/1000 [00:00<00:01, 612.37it/s]Pre-process:  45%|████▌     | 454/1000 [00:00<00:00, 631.54it/s]Pre-process:  53%|█████▎    | 531/1000 [00:00<00:00, 672.89it/s]Pre-process:  60%|██████    | 602/1000 [00:00<00:00, 684.05it/s]Pre-process:  67%|██████▋   | 671/1000 [00:01<00:00, 677.16it/s]Pre-process:  74%|███████▍  | 739/1000 [00:01<00:00, 642.62it/s]Pre-process:  80%|████████  | 804/1000 [00:01<00:00, 640.54it/s]Pre-process:  87%|████████▋ | 869/1000 [00:01<00:00, 618.04it/s]Pre-process:  93%|█████████▎| 934/1000 [00:01<00:00, 624.86it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 644.12it/s]
Basis total: 23
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 930562
Epoch: 001, Train Loss: 38.4006929, Train Acc: 0.5700000, Test Acc: 0.6100000
Epoch: 002, Train Loss: 0.7842945, Train Acc: 0.6788889, Test Acc: 0.7000000
Epoch: 003, Train Loss: 28.1937907, Train Acc: 0.6266667, Test Acc: 0.6200000
Epoch: 004, Train Loss: 1.0848357, Train Acc: 0.6233333, Test Acc: 0.6700000
Epoch: 005, Train Loss: 0.6403505, Train Acc: 0.6488889, Test Acc: 0.6800000
Epoch: 006, Train Loss: 0.5970007, Train Acc: 0.6433333, Test Acc: 0.6800000
Epoch: 007, Train Loss: 0.9347139, Train Acc: 0.7111111, Test Acc: 0.7300000
Epoch: 008, Train Loss: 0.6727972, Train Acc: 0.7144444, Test Acc: 0.7100000
Epoch: 009, Train Loss: 0.5840688, Train Acc: 0.7133333, Test Acc: 0.7300000
Epoch: 010, Train Loss: 0.5362699, Train Acc: 0.7000000, Test Acc: 0.7200000
Epoch: 011, Train Loss: 0.5468945, Train Acc: 0.7088889, Test Acc: 0.7300000
Epoch: 012, Train Loss: 0.5261529, Train Acc: 0.7122222, Test Acc: 0.7400000
Epoch: 013, Train Loss: 0.5233804, Train Acc: 0.7155556, Test Acc: 0.7300000
Epoch: 014, Train Loss: 0.5337584, Train Acc: 0.7222222, Test Acc: 0.7500000
Epoch: 015, Train Loss: 0.5155552, Train Acc: 0.7377778, Test Acc: 0.7500000
Epoch: 016, Train Loss: 0.5155313, Train Acc: 0.7255556, Test Acc: 0.7300000
Epoch: 017, Train Loss: 0.5226445, Train Acc: 0.7355556, Test Acc: 0.7400000
Epoch: 018, Train Loss: 0.5168379, Train Acc: 0.7200000, Test Acc: 0.7500000
Epoch: 019, Train Loss: 0.5241581, Train Acc: 0.7244444, Test Acc: 0.7500000
Epoch: 020, Train Loss: 0.5245761, Train Acc: 0.7333333, Test Acc: 0.7500000
Epoch: 021, Train Loss: 0.5194372, Train Acc: 0.7122222, Test Acc: 0.7400000
Epoch: 022, Train Loss: 0.5310983, Train Acc: 0.7255556, Test Acc: 0.7400000
Epoch: 023, Train Loss: 0.5137519, Train Acc: 0.7155556, Test Acc: 0.7400000
Epoch: 024, Train Loss: 0.5253243, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 025, Train Loss: 0.5082452, Train Acc: 0.7222222, Test Acc: 0.7500000
Epoch: 026, Train Loss: 0.5203118, Train Acc: 0.7211111, Test Acc: 0.7300000
Epoch: 027, Train Loss: 0.5085684, Train Acc: 0.7355556, Test Acc: 0.7400000
Epoch: 028, Train Loss: 0.5182384, Train Acc: 0.7377778, Test Acc: 0.7400000
Epoch: 029, Train Loss: 0.5234484, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 030, Train Loss: 0.5259010, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 031, Train Loss: 0.5235484, Train Acc: 0.7133333, Test Acc: 0.6900000
Epoch: 032, Train Loss: 0.5249266, Train Acc: 0.7177778, Test Acc: 0.7500000
Epoch: 033, Train Loss: 0.5195868, Train Acc: 0.7277778, Test Acc: 0.7200000
Epoch: 034, Train Loss: 0.5101885, Train Acc: 0.7344444, Test Acc: 0.7400000
Epoch: 035, Train Loss: 0.5107887, Train Acc: 0.7255556, Test Acc: 0.7400000
Epoch: 036, Train Loss: 0.5061402, Train Acc: 0.7322222, Test Acc: 0.7400000
Epoch: 037, Train Loss: 0.5077352, Train Acc: 0.7355556, Test Acc: 0.7500000
Epoch: 038, Train Loss: 0.5055375, Train Acc: 0.7333333, Test Acc: 0.7500000
Epoch: 039, Train Loss: 0.5066436, Train Acc: 0.7300000, Test Acc: 0.7500000
Epoch: 040, Train Loss: 0.5026312, Train Acc: 0.7311111, Test Acc: 0.7500000
Epoch: 041, Train Loss: 0.5020487, Train Acc: 0.7411111, Test Acc: 0.7600000
Epoch: 042, Train Loss: 0.5187589, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 043, Train Loss: 0.5030252, Train Acc: 0.7377778, Test Acc: 0.7400000
Epoch: 044, Train Loss: 0.4995373, Train Acc: 0.7333333, Test Acc: 0.7600000
Epoch: 045, Train Loss: 0.5007212, Train Acc: 0.7344444, Test Acc: 0.7400000
Epoch: 046, Train Loss: 0.5040337, Train Acc: 0.7244444, Test Acc: 0.7500000
Epoch: 047, Train Loss: 0.5046471, Train Acc: 0.7433333, Test Acc: 0.7300000
Epoch: 048, Train Loss: 0.5144986, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 049, Train Loss: 0.5007733, Train Acc: 0.7333333, Test Acc: 0.7300000
Epoch: 050, Train Loss: 0.5018318, Train Acc: 0.7355556, Test Acc: 0.7600000
Epoch: 051, Train Loss: 0.4997170, Train Acc: 0.7277778, Test Acc: 0.7500000
Epoch: 052, Train Loss: 0.5002282, Train Acc: 0.7288889, Test Acc: 0.7400000
Epoch: 053, Train Loss: 0.4986286, Train Acc: 0.7222222, Test Acc: 0.7500000
Epoch: 054, Train Loss: 0.5031697, Train Acc: 0.7266667, Test Acc: 0.7600000
Epoch: 055, Train Loss: 0.5014054, Train Acc: 0.7311111, Test Acc: 0.7200000
Epoch: 056, Train Loss: 0.4986172, Train Acc: 0.7333333, Test Acc: 0.7500000
Epoch: 057, Train Loss: 0.5005889, Train Acc: 0.7366667, Test Acc: 0.7300000
Epoch: 058, Train Loss: 0.5089175, Train Acc: 0.7233333, Test Acc: 0.7400000
Epoch: 059, Train Loss: 0.5012499, Train Acc: 0.7444444, Test Acc: 0.7200000
Epoch: 060, Train Loss: 0.4979893, Train Acc: 0.7322222, Test Acc: 0.7400000
Epoch: 061, Train Loss: 0.4976854, Train Acc: 0.7500000, Test Acc: 0.7200000
Epoch: 062, Train Loss: 0.4936540, Train Acc: 0.7322222, Test Acc: 0.7400000
Epoch: 063, Train Loss: 0.4996229, Train Acc: 0.7233333, Test Acc: 0.7400000
