{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 4], [1, 4], [1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673247067', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 2], [1, 2], [1, 4], [1, 4], [1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'N'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673247070, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   8%|▊         | 79/1000 [00:00<00:01, 787.95it/s]Pre-process:  16%|█▌        | 158/1000 [00:00<00:01, 789.00it/s]Pre-process:  24%|██▍       | 238/1000 [00:00<00:00, 792.44it/s]Pre-process:  32%|███▏      | 321/1000 [00:00<00:00, 805.02it/s]Pre-process:  41%|████      | 408/1000 [00:00<00:00, 826.49it/s]Pre-process:  49%|████▉     | 491/1000 [00:00<00:00, 821.56it/s]Pre-process:  58%|█████▊    | 579/1000 [00:00<00:00, 837.49it/s]Pre-process:  67%|██████▋   | 666/1000 [00:00<00:00, 846.90it/s]Pre-process:  75%|███████▌  | 751/1000 [00:00<00:00, 837.13it/s]Pre-process:  84%|████████▎ | 835/1000 [00:01<00:00, 799.47it/s]Pre-process:  92%|█████████▏| 917/1000 [00:01<00:00, 803.35it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 817.79it/s]
Basis total: 19
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
Without batch_norm.
#Params: 929538
Epoch: 001, Train Loss: 0.6060199, Train Acc: 0.6044444, Test Acc: 0.6000000
Epoch: 002, Train Loss: 0.5552530, Train Acc: 0.6988889, Test Acc: 0.7100000
Epoch: 003, Train Loss: 0.5544046, Train Acc: 0.6955556, Test Acc: 0.7000000
Epoch: 004, Train Loss: 0.5316680, Train Acc: 0.7100000, Test Acc: 0.7200000
Epoch: 005, Train Loss: 0.5326187, Train Acc: 0.7344444, Test Acc: 0.7500000
Epoch: 006, Train Loss: 0.5407560, Train Acc: 0.6900000, Test Acc: 0.7300000
Epoch: 007, Train Loss: 0.5462632, Train Acc: 0.7088889, Test Acc: 0.7500000
Epoch: 008, Train Loss: 0.5591681, Train Acc: 0.6933333, Test Acc: 0.7200000
Epoch: 009, Train Loss: 0.5848427, Train Acc: 0.6744444, Test Acc: 0.7000000
Epoch: 010, Train Loss: 0.5212502, Train Acc: 0.7222222, Test Acc: 0.7100000
Epoch: 011, Train Loss: 0.5280214, Train Acc: 0.7244444, Test Acc: 0.7400000
Epoch: 012, Train Loss: 0.5373341, Train Acc: 0.7133333, Test Acc: 0.7300000
Epoch: 013, Train Loss: 0.5333126, Train Acc: 0.7144444, Test Acc: 0.7200000
Epoch: 014, Train Loss: 0.5564550, Train Acc: 0.6900000, Test Acc: 0.7200000
Epoch: 015, Train Loss: 0.5291697, Train Acc: 0.7288889, Test Acc: 0.7400000
Epoch: 016, Train Loss: 0.5199349, Train Acc: 0.7211111, Test Acc: 0.7200000
Epoch: 017, Train Loss: 0.5146037, Train Acc: 0.7222222, Test Acc: 0.7300000
Epoch: 018, Train Loss: 0.5151762, Train Acc: 0.7355556, Test Acc: 0.7400000
Epoch: 019, Train Loss: 0.5160732, Train Acc: 0.7255556, Test Acc: 0.7300000
Epoch: 020, Train Loss: 0.5157338, Train Acc: 0.7188889, Test Acc: 0.7400000
Epoch: 021, Train Loss: 0.5261185, Train Acc: 0.7177778, Test Acc: 0.7400000
Epoch: 022, Train Loss: 0.5216584, Train Acc: 0.7200000, Test Acc: 0.7300000
Epoch: 023, Train Loss: 9.9922707, Train Acc: 0.5000000, Test Acc: 0.5000000
Epoch: 024, Train Loss: 0.8196753, Train Acc: 0.5455556, Test Acc: 0.5300000
Epoch: 025, Train Loss: 1.5355494, Train Acc: 0.6311111, Test Acc: 0.6500000
Epoch: 026, Train Loss: 0.5943017, Train Acc: 0.6700000, Test Acc: 0.6800000
Epoch: 027, Train Loss: 0.6248168, Train Acc: 0.6444444, Test Acc: 0.7000000
Epoch: 028, Train Loss: 0.5415955, Train Acc: 0.7200000, Test Acc: 0.7400000
Epoch: 029, Train Loss: 0.5838793, Train Acc: 0.6888889, Test Acc: 0.7100000
