{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': '1673247855', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y'}, 'commit_id': '51ecea938e8b7bfc38be462eb05bc437ae1578b4', 'time_stamp': 1673247858, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   6%|▋         | 63/1000 [00:00<00:01, 627.62it/s]Pre-process:  13%|█▎        | 128/1000 [00:00<00:01, 640.44it/s]Pre-process:  20%|██        | 200/1000 [00:00<00:01, 673.74it/s]Pre-process:  27%|██▋       | 274/1000 [00:00<00:01, 697.88it/s]Pre-process:  35%|███▌      | 351/1000 [00:00<00:00, 722.71it/s]Pre-process:  42%|████▏     | 424/1000 [00:00<00:00, 705.09it/s]Pre-process:  50%|████▉     | 495/1000 [00:00<00:00, 661.98it/s]Pre-process:  56%|█████▌    | 562/1000 [00:00<00:00, 662.05it/s]Pre-process:  63%|██████▎   | 629/1000 [00:00<00:00, 662.07it/s]Pre-process:  70%|██████▉   | 696/1000 [00:01<00:00, 646.40it/s]Pre-process:  76%|███████▌  | 761/1000 [00:01<00:00, 624.93it/s]Pre-process:  82%|████████▏ | 824/1000 [00:01<00:00, 623.75it/s]Pre-process:  89%|████████▉ | 888/1000 [00:01<00:00, 626.43it/s]Pre-process:  96%|█████████▋| 964/1000 [00:01<00:00, 664.57it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 663.37it/s]
Basis total: 22
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=51ecea938e8b7bfc38be462eb05bc437ae1578b4
With batch_norm.
#Params: 935426
Epoch: 001, Train Loss: 4.3688160, Train Acc: 0.5322222, Test Acc: 0.5500000
Epoch: 002, Train Loss: 3.5301446, Train Acc: 0.5733333, Test Acc: 0.5800000
Epoch: 003, Train Loss: 2.5097652, Train Acc: 0.6700000, Test Acc: 0.6600000
Epoch: 004, Train Loss: 0.7430861, Train Acc: 0.6888889, Test Acc: 0.6900000
Epoch: 005, Train Loss: 0.8431209, Train Acc: 0.6611111, Test Acc: 0.6500000
Epoch: 006, Train Loss: 0.6520200, Train Acc: 0.7266667, Test Acc: 0.7100000
Epoch: 007, Train Loss: 0.6307294, Train Acc: 0.6977778, Test Acc: 0.6700000
Epoch: 008, Train Loss: 0.6230353, Train Acc: 0.7311111, Test Acc: 0.7000000
Epoch: 009, Train Loss: 0.6003816, Train Acc: 0.6888889, Test Acc: 0.7400000
Epoch: 010, Train Loss: 0.7923832, Train Acc: 0.6466667, Test Acc: 0.6500000
Epoch: 011, Train Loss: 0.5367765, Train Acc: 0.7388889, Test Acc: 0.7400000
Epoch: 012, Train Loss: 0.5560199, Train Acc: 0.7155556, Test Acc: 0.7200000
Epoch: 013, Train Loss: 0.5988325, Train Acc: 0.6944444, Test Acc: 0.6700000
Epoch: 014, Train Loss: 0.5304786, Train Acc: 0.7311111, Test Acc: 0.7100000
Epoch: 015, Train Loss: 0.5713989, Train Acc: 0.6988889, Test Acc: 0.6900000
Epoch: 016, Train Loss: 0.5325711, Train Acc: 0.7222222, Test Acc: 0.7200000
Epoch: 017, Train Loss: 0.5253662, Train Acc: 0.7244444, Test Acc: 0.7500000
Epoch: 018, Train Loss: 0.5138077, Train Acc: 0.7266667, Test Acc: 0.7100000
Epoch: 019, Train Loss: 0.5484802, Train Acc: 0.7155556, Test Acc: 0.6900000
Epoch: 020, Train Loss: 0.6982683, Train Acc: 0.6822222, Test Acc: 0.6500000
Epoch: 021, Train Loss: 0.4735603, Train Acc: 0.7622222, Test Acc: 0.6700000
Epoch: 022, Train Loss: 0.4659556, Train Acc: 0.7700000, Test Acc: 0.6700000
Epoch: 023, Train Loss: 0.4677941, Train Acc: 0.7655556, Test Acc: 0.6800000
Epoch: 024, Train Loss: 0.4875121, Train Acc: 0.7555556, Test Acc: 0.7000000
Epoch: 025, Train Loss: 0.4699776, Train Acc: 0.7488889, Test Acc: 0.7100000
Epoch: 026, Train Loss: 0.4516417, Train Acc: 0.7577778, Test Acc: 0.7100000
Epoch: 027, Train Loss: 0.4664511, Train Acc: 0.7344444, Test Acc: 0.7300000
Epoch: 028, Train Loss: 0.4559101, Train Acc: 0.7655556, Test Acc: 0.7100000
Epoch: 029, Train Loss: 0.4452312, Train Acc: 0.7966667, Test Acc: 0.7100000
Epoch: 030, Train Loss: 0.4492079, Train Acc: 0.7633333, Test Acc: 0.7100000
Epoch: 031, Train Loss: 0.4324021, Train Acc: 0.7855556, Test Acc: 0.7200000
Epoch: 032, Train Loss: 0.4729728, Train Acc: 0.7666667, Test Acc: 0.6900000
Epoch: 033, Train Loss: 0.4350489, Train Acc: 0.7788889, Test Acc: 0.7700000
Epoch: 034, Train Loss: 0.4647550, Train Acc: 0.7633333, Test Acc: 0.7100000
Epoch: 035, Train Loss: 0.4386834, Train Acc: 0.7822222, Test Acc: 0.7200000
