{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y'}, 'commit_id': 'bdd7e424313ef497bbce956f20477ed16a17f1c8', 'time_stamp': '1673262205', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y'}, 'commit_id': 'bdd7e424313ef497bbce956f20477ed16a17f1c8', 'time_stamp': 1673262208, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   8%|▊         | 82/1000 [00:00<00:01, 808.34it/s]Pre-process:  17%|█▋        | 166/1000 [00:00<00:01, 825.82it/s]Pre-process:  25%|██▌       | 250/1000 [00:00<00:00, 831.01it/s]Pre-process:  33%|███▎      | 334/1000 [00:00<00:00, 832.07it/s]Pre-process:  42%|████▏     | 418/1000 [00:00<00:00, 831.33it/s]Pre-process:  50%|█████     | 502/1000 [00:00<00:00, 817.30it/s]Pre-process:  59%|█████▊    | 586/1000 [00:00<00:00, 824.46it/s]Pre-process:  67%|██████▋   | 671/1000 [00:00<00:00, 831.45it/s]Pre-process:  76%|███████▌  | 756/1000 [00:00<00:00, 835.15it/s]Pre-process:  84%|████████▍ | 842/1000 [00:01<00:00, 840.76it/s]Pre-process:  93%|█████████▎| 928/1000 [00:01<00:00, 844.29it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 830.21it/s]
Basis total: 22
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=bdd7e424313ef497bbce956f20477ed16a17f1c8
With batch_norm.
#Params: 935426
Epoch: 001, Train Loss: 90.0830451, Train Acc: 0.5477778, Test Acc: 0.5600000
Epoch: 002, Train Loss: 4.8698583, Train Acc: 0.4811111, Test Acc: 0.5000000
Epoch: 003, Train Loss: 16.0852494, Train Acc: 0.4033333, Test Acc: 0.4100000
Epoch: 004, Train Loss: 4.8690412, Train Acc: 0.5411111, Test Acc: 0.5600000
Epoch: 005, Train Loss: 2.0227585, Train Acc: 0.5744444, Test Acc: 0.5400000
Epoch: 006, Train Loss: 1.7395931, Train Acc: 0.5600000, Test Acc: 0.6300000
Epoch: 007, Train Loss: 1.5953413, Train Acc: 0.6200000, Test Acc: 0.6500000
Epoch: 008, Train Loss: 3.1111499, Train Acc: 0.6833333, Test Acc: 0.7100000
Epoch: 009, Train Loss: 0.6236225, Train Acc: 0.6655556, Test Acc: 0.6500000
Epoch: 010, Train Loss: 0.8223545, Train Acc: 0.6588889, Test Acc: 0.6800000
Epoch: 011, Train Loss: 0.6423360, Train Acc: 0.6988889, Test Acc: 0.6900000
Epoch: 012, Train Loss: 0.6660949, Train Acc: 0.6611111, Test Acc: 0.7200000
Epoch: 013, Train Loss: 0.6046069, Train Acc: 0.7066667, Test Acc: 0.7000000
Epoch: 014, Train Loss: 0.5927161, Train Acc: 0.6477778, Test Acc: 0.6400000
Epoch: 015, Train Loss: 0.6065654, Train Acc: 0.7088889, Test Acc: 0.7100000
Epoch: 016, Train Loss: 0.5975525, Train Acc: 0.6855556, Test Acc: 0.7000000
Epoch: 017, Train Loss: 0.6294608, Train Acc: 0.6866667, Test Acc: 0.7000000
Epoch: 018, Train Loss: 0.6645801, Train Acc: 0.6744444, Test Acc: 0.6600000
Epoch: 019, Train Loss: 3.1318876, Train Acc: 0.6700000, Test Acc: 0.6500000
Epoch: 020, Train Loss: 0.6784601, Train Acc: 0.7033333, Test Acc: 0.7200000
Epoch: 021, Train Loss: 1.6451592, Train Acc: 0.6711111, Test Acc: 0.6700000
Epoch: 022, Train Loss: 1.2324761, Train Acc: 0.5711111, Test Acc: 0.5900000
Epoch: 023, Train Loss: 0.5609666, Train Acc: 0.7244444, Test Acc: 0.7100000
Epoch: 024, Train Loss: 0.5947406, Train Acc: 0.6944444, Test Acc: 0.7100000
Epoch: 025, Train Loss: 0.5904898, Train Acc: 0.6933333, Test Acc: 0.7200000
Epoch: 026, Train Loss: 0.5630793, Train Acc: 0.7166667, Test Acc: 0.7200000
Epoch: 027, Train Loss: 0.7770575, Train Acc: 0.6955556, Test Acc: 0.7100000
Epoch: 028, Train Loss: 9.3799850, Train Acc: 0.6588889, Test Acc: 0.6800000
Epoch: 029, Train Loss: 0.6351021, Train Acc: 0.6911111, Test Acc: 0.6600000
Epoch: 030, Train Loss: 0.5810275, Train Acc: 0.7122222, Test Acc: 0.7100000
Epoch: 031, Train Loss: 0.6226223, Train Acc: 0.6288889, Test Acc: 0.6500000
Epoch: 032, Train Loss: 0.5739496, Train Acc: 0.6566667, Test Acc: 0.6600000
Epoch: 033, Train Loss: 0.9239170, Train Acc: 0.6266667, Test Acc: 0.6200000
Epoch: 034, Train Loss: 0.6811805, Train Acc: 0.6422222, Test Acc: 0.6600000
Epoch: 035, Train Loss: 2.8996663, Train Acc: 0.6866667, Test Acc: 0.7000000
Epoch: 036, Train Loss: 1.6273458, Train Acc: 0.6777778, Test Acc: 0.7000000
Epoch: 037, Train Loss: 0.6444137, Train Acc: 0.6988889, Test Acc: 0.7300000
Epoch: 038, Train Loss: 0.5802355, Train Acc: 0.6777778, Test Acc: 0.7200000
Epoch: 039, Train Loss: 0.5695789, Train Acc: 0.6733333, Test Acc: 0.6900000
Epoch: 040, Train Loss: 0.5722541, Train Acc: 0.7155556, Test Acc: 0.7200000
Epoch: 041, Train Loss: 0.6096740, Train Acc: 0.6966667, Test Acc: 0.6900000
Epoch: 042, Train Loss: 0.5796320, Train Acc: 0.7100000, Test Acc: 0.6800000
Epoch: 043, Train Loss: 0.7321544, Train Acc: 0.7011111, Test Acc: 0.7200000
Epoch: 044, Train Loss: 0.8595414, Train Acc: 0.6144444, Test Acc: 0.6400000
Epoch: 045, Train Loss: 0.5772247, Train Acc: 0.6966667, Test Acc: 0.7100000
Epoch: 046, Train Loss: 0.5413661, Train Acc: 0.7166667, Test Acc: 0.7400000
Epoch: 047, Train Loss: 0.5821457, Train Acc: 0.6977778, Test Acc: 0.6800000
Epoch: 048, Train Loss: 0.6524115, Train Acc: 0.6977778, Test Acc: 0.7700000
Epoch: 049, Train Loss: 0.5916884, Train Acc: 0.6877778, Test Acc: 0.7700000
Epoch: 050, Train Loss: 0.5706336, Train Acc: 0.6755556, Test Acc: 0.7200000
Epoch: 051, Train Loss: 0.5831996, Train Acc: 0.6866667, Test Acc: 0.6600000
Epoch: 052, Train Loss: 0.5939367, Train Acc: 0.7211111, Test Acc: 0.6900000
Epoch: 053, Train Loss: 0.6017268, Train Acc: 0.7077778, Test Acc: 0.7300000
Epoch: 054, Train Loss: 0.6144158, Train Acc: 0.7233333, Test Acc: 0.7300000
Epoch: 055, Train Loss: 0.6157026, Train Acc: 0.7122222, Test Acc: 0.7200000
Epoch: 056, Train Loss: 0.6314329, Train Acc: 0.6744444, Test Acc: 0.7500000
Epoch: 057, Train Loss: 0.6246376, Train Acc: 0.7077778, Test Acc: 0.7100000
Epoch: 058, Train Loss: 0.6168823, Train Acc: 0.6833333, Test Acc: 0.6900000
Epoch: 059, Train Loss: 0.6268730, Train Acc: 0.7244444, Test Acc: 0.7300000
Epoch: 060, Train Loss: 0.6474012, Train Acc: 0.7144444, Test Acc: 0.7300000
Epoch: 061, Train Loss: 0.5416225, Train Acc: 0.7222222, Test Acc: 0.7200000
Epoch: 062, Train Loss: 0.5557250, Train Acc: 0.7066667, Test Acc: 0.7500000
Epoch: 063, Train Loss: 0.5539245, Train Acc: 0.7100000, Test Acc: 0.7300000
Epoch: 064, Train Loss: 0.5756894, Train Acc: 0.7233333, Test Acc: 0.7300000
Epoch: 065, Train Loss: 0.5818193, Train Acc: 0.6944444, Test Acc: 0.6900000
Epoch: 066, Train Loss: 0.5679040, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 067, Train Loss: 0.5508929, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 068, Train Loss: 0.5608758, Train Acc: 0.7000000, Test Acc: 0.6800000
Epoch: 069, Train Loss: 0.5341867, Train Acc: 0.7244444, Test Acc: 0.7000000
Epoch: 070, Train Loss: 0.7050718, Train Acc: 0.6888889, Test Acc: 0.7000000
Epoch: 071, Train Loss: 0.6442232, Train Acc: 0.6755556, Test Acc: 0.6600000
Epoch: 072, Train Loss: 12.4089751, Train Acc: 0.6444444, Test Acc: 0.6400000
Epoch: 073, Train Loss: 3.3453289, Train Acc: 0.5066667, Test Acc: 0.4700000
Epoch: 074, Train Loss: 0.6995001, Train Acc: 0.6622222, Test Acc: 0.6800000
Epoch: 075, Train Loss: 0.6103850, Train Acc: 0.6466667, Test Acc: 0.6700000
Epoch: 076, Train Loss: 0.5819079, Train Acc: 0.6466667, Test Acc: 0.6400000
Epoch: 077, Train Loss: 0.5859831, Train Acc: 0.7011111, Test Acc: 0.7300000
Epoch: 078, Train Loss: 0.6600004, Train Acc: 0.6777778, Test Acc: 0.6900000
Epoch: 079, Train Loss: 0.7587624, Train Acc: 0.6633333, Test Acc: 0.6500000
Epoch: 080, Train Loss: 0.5646304, Train Acc: 0.7177778, Test Acc: 0.7400000
Epoch: 081, Train Loss: 0.5503667, Train Acc: 0.7222222, Test Acc: 0.7600000
Epoch: 082, Train Loss: 0.5668573, Train Acc: 0.6833333, Test Acc: 0.7200000
Epoch: 083, Train Loss: 0.5573227, Train Acc: 0.7000000, Test Acc: 0.7400000
Epoch: 084, Train Loss: 0.5637443, Train Acc: 0.6977778, Test Acc: 0.7300000
Epoch: 085, Train Loss: 0.5764370, Train Acc: 0.6844444, Test Acc: 0.7500000
Epoch: 086, Train Loss: 0.5503793, Train Acc: 0.7133333, Test Acc: 0.7200000
Epoch: 087, Train Loss: 0.5366435, Train Acc: 0.7155556, Test Acc: 0.7300000
Epoch: 088, Train Loss: 0.5402314, Train Acc: 0.7188889, Test Acc: 0.7300000
Epoch: 089, Train Loss: 0.5529705, Train Acc: 0.7000000, Test Acc: 0.7100000
Epoch: 090, Train Loss: 0.5365223, Train Acc: 0.7155556, Test Acc: 0.7500000
