{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 6], [1, 6], [1, 6]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': 'b06d6a7c5aa565a345fbfedce79a0af905027d3d', 'time_stamp': '1673263818', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 6], [1, 6], [1, 6]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': 'b06d6a7c5aa565a345fbfedce79a0af905027d3d', 'time_stamp': 1673263820, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   5%|▌         | 51/1000 [00:00<00:01, 506.99it/s]Pre-process:  10%|█         | 105/1000 [00:00<00:01, 521.30it/s]Pre-process:  17%|█▋        | 171/1000 [00:00<00:01, 579.71it/s]Pre-process:  24%|██▍       | 242/1000 [00:00<00:01, 629.37it/s]Pre-process:  30%|███       | 305/1000 [00:00<00:01, 619.64it/s]Pre-process:  37%|███▋      | 367/1000 [00:00<00:01, 619.29it/s]Pre-process:  43%|████▎     | 431/1000 [00:00<00:00, 623.08it/s]Pre-process:  49%|████▉     | 494/1000 [00:00<00:00, 614.78it/s]Pre-process:  56%|█████▌    | 556/1000 [00:00<00:00, 610.26it/s]Pre-process:  63%|██████▎   | 627/1000 [00:01<00:00, 640.31it/s]Pre-process:  70%|██████▉   | 698/1000 [00:01<00:00, 659.15it/s]Pre-process:  77%|███████▋  | 770/1000 [00:01<00:00, 675.92it/s]Pre-process:  84%|████████▍ | 842/1000 [00:01<00:00, 687.31it/s]Pre-process:  91%|█████████▏| 914/1000 [00:01<00:00, 695.39it/s]Pre-process:  99%|█████████▊| 986/1000 [00:01<00:00, 699.90it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 645.81it/s]
Basis total: 27
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=b06d6a7c5aa565a345fbfedce79a0af905027d3d
With batch_norm.
Without edge_softmax.
#Params: 936706
Epoch: 001, Train Loss: 1.4541659, Train Acc: 0.5355556, Test Acc: 0.5600000
Epoch: 002, Train Loss: 2.2809996, Train Acc: 0.5988889, Test Acc: 0.5600000
Epoch: 003, Train Loss: 1.2754707, Train Acc: 0.5666667, Test Acc: 0.5900000
Epoch: 004, Train Loss: 2.4186152, Train Acc: 0.5922222, Test Acc: 0.6300000
Epoch: 005, Train Loss: 2.3257470, Train Acc: 0.6622222, Test Acc: 0.6300000
Epoch: 006, Train Loss: 1.5227592, Train Acc: 0.6000000, Test Acc: 0.6100000
Epoch: 007, Train Loss: 1.0808172, Train Acc: 0.7000000, Test Acc: 0.6900000
Epoch: 008, Train Loss: 0.7252433, Train Acc: 0.7311111, Test Acc: 0.6700000
Epoch: 009, Train Loss: 0.7210973, Train Acc: 0.6788889, Test Acc: 0.7100000
Epoch: 010, Train Loss: 0.7370161, Train Acc: 0.7466667, Test Acc: 0.7700000
Epoch: 011, Train Loss: 0.6890982, Train Acc: 0.7266667, Test Acc: 0.7100000
Epoch: 012, Train Loss: 1.1059182, Train Acc: 0.7166667, Test Acc: 0.7000000
Epoch: 013, Train Loss: 0.6491478, Train Acc: 0.6744444, Test Acc: 0.6400000
Epoch: 014, Train Loss: 0.8199894, Train Acc: 0.6900000, Test Acc: 0.6300000
Epoch: 015, Train Loss: 0.5222037, Train Acc: 0.7277778, Test Acc: 0.7000000
Epoch: 016, Train Loss: 0.5382907, Train Acc: 0.7222222, Test Acc: 0.7100000
Epoch: 017, Train Loss: 0.6097270, Train Acc: 0.7511111, Test Acc: 0.7200000
Epoch: 018, Train Loss: 0.5785681, Train Acc: 0.7188889, Test Acc: 0.7000000
Epoch: 019, Train Loss: 0.5209223, Train Acc: 0.7511111, Test Acc: 0.7100000
Epoch: 020, Train Loss: 0.5823035, Train Acc: 0.7066667, Test Acc: 0.6800000
Epoch: 021, Train Loss: 0.5980605, Train Acc: 0.7422222, Test Acc: 0.7300000
Epoch: 022, Train Loss: 0.5278536, Train Acc: 0.7533333, Test Acc: 0.7500000
Epoch: 023, Train Loss: 0.5479259, Train Acc: 0.7455556, Test Acc: 0.7300000
Epoch: 024, Train Loss: 0.5316635, Train Acc: 0.7444444, Test Acc: 0.7100000
Epoch: 025, Train Loss: 0.4907633, Train Acc: 0.7511111, Test Acc: 0.7200000
Epoch: 026, Train Loss: 0.5005322, Train Acc: 0.7644444, Test Acc: 0.7100000
Epoch: 027, Train Loss: 0.4956415, Train Acc: 0.7644444, Test Acc: 0.7000000
Epoch: 028, Train Loss: 0.5123888, Train Acc: 0.7566667, Test Acc: 0.6300000
Epoch: 029, Train Loss: 0.4876067, Train Acc: 0.7611111, Test Acc: 0.7200000
Epoch: 030, Train Loss: 0.5193806, Train Acc: 0.7477778, Test Acc: 0.7000000
Epoch: 031, Train Loss: 0.4880281, Train Acc: 0.7744444, Test Acc: 0.7300000
Epoch: 032, Train Loss: 0.5175822, Train Acc: 0.7555556, Test Acc: 0.7100000
Epoch: 033, Train Loss: 0.4960492, Train Acc: 0.7488889, Test Acc: 0.7000000
Epoch: 034, Train Loss: 0.4758692, Train Acc: 0.7722222, Test Acc: 0.7000000
