{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': 'b06d6a7c5aa565a345fbfedce79a0af905027d3d', 'time_stamp': '1673265603', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': 'b06d6a7c5aa565a345fbfedce79a0af905027d3d', 'time_stamp': 1673265605, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   7%|▋         | 69/1000 [00:00<00:01, 687.80it/s]Pre-process:  14%|█▍        | 141/1000 [00:00<00:01, 703.04it/s]Pre-process:  21%|██        | 212/1000 [00:00<00:01, 704.39it/s]Pre-process:  28%|██▊       | 284/1000 [00:00<00:01, 709.90it/s]Pre-process:  36%|███▌      | 357/1000 [00:00<00:00, 714.56it/s]Pre-process:  43%|████▎     | 432/1000 [00:00<00:00, 723.56it/s]Pre-process:  50%|█████     | 505/1000 [00:00<00:00, 696.92it/s]Pre-process:  58%|█████▊    | 579/1000 [00:00<00:00, 707.52it/s]Pre-process:  65%|██████▌   | 650/1000 [00:00<00:00, 702.93it/s]Pre-process:  72%|███████▏  | 721/1000 [00:01<00:00, 702.84it/s]Pre-process:  79%|███████▉  | 794/1000 [00:01<00:00, 708.47it/s]Pre-process:  87%|████████▋ | 867/1000 [00:01<00:00, 713.66it/s]Pre-process:  94%|█████████▍| 939/1000 [00:01<00:00, 713.59it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 709.21it/s]
Basis total: 22
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=b06d6a7c5aa565a345fbfedce79a0af905027d3d
With batch_norm.
Without edge_softmax.
#Params: 737026
Epoch: 001, Train Loss: 1.1246814, Train Acc: 0.5833333, Test Acc: 0.5800000
Epoch: 002, Train Loss: 0.9665929, Train Acc: 0.6766667, Test Acc: 0.7400000
Epoch: 003, Train Loss: 0.7272830, Train Acc: 0.6611111, Test Acc: 0.6700000
Epoch: 004, Train Loss: 0.5992010, Train Acc: 0.6844444, Test Acc: 0.6700000
Epoch: 005, Train Loss: 0.5293096, Train Acc: 0.7233333, Test Acc: 0.7300000
Epoch: 006, Train Loss: 0.5371733, Train Acc: 0.7300000, Test Acc: 0.7700000
Epoch: 007, Train Loss: 0.5143308, Train Acc: 0.7355556, Test Acc: 0.7500000
Epoch: 008, Train Loss: 0.5695958, Train Acc: 0.6911111, Test Acc: 0.7500000
Epoch: 009, Train Loss: 0.5479396, Train Acc: 0.7200000, Test Acc: 0.7200000
Epoch: 010, Train Loss: 0.5199285, Train Acc: 0.7211111, Test Acc: 0.7200000
Epoch: 011, Train Loss: 0.5158904, Train Acc: 0.7322222, Test Acc: 0.7100000
Epoch: 012, Train Loss: 0.5484098, Train Acc: 0.7200000, Test Acc: 0.6900000
Epoch: 013, Train Loss: 0.6196921, Train Acc: 0.6822222, Test Acc: 0.7200000
Epoch: 014, Train Loss: 0.5301511, Train Acc: 0.7200000, Test Acc: 0.7100000
Epoch: 015, Train Loss: 0.4991046, Train Acc: 0.7355556, Test Acc: 0.7800000
Epoch: 016, Train Loss: 0.5252974, Train Acc: 0.7366667, Test Acc: 0.7300000
Epoch: 017, Train Loss: 0.4842865, Train Acc: 0.7488889, Test Acc: 0.7500000
Epoch: 018, Train Loss: 0.4835674, Train Acc: 0.7455556, Test Acc: 0.7600000
Epoch: 019, Train Loss: 0.5111478, Train Acc: 0.7066667, Test Acc: 0.7200000
Epoch: 020, Train Loss: 0.4628075, Train Acc: 0.7622222, Test Acc: 0.7200000
Epoch: 021, Train Loss: 0.5169015, Train Acc: 0.7377778, Test Acc: 0.7100000
Epoch: 022, Train Loss: 0.5006020, Train Acc: 0.7333333, Test Acc: 0.7000000
Epoch: 023, Train Loss: 0.4890981, Train Acc: 0.7444444, Test Acc: 0.7300000
Epoch: 024, Train Loss: 0.4903467, Train Acc: 0.7500000, Test Acc: 0.7100000
Epoch: 025, Train Loss: 0.4544496, Train Acc: 0.7544444, Test Acc: 0.7100000
Epoch: 026, Train Loss: 0.4966112, Train Acc: 0.7511111, Test Acc: 0.7300000
Epoch: 027, Train Loss: 0.4556346, Train Acc: 0.7733333, Test Acc: 0.7000000
Epoch: 028, Train Loss: 0.4941988, Train Acc: 0.7366667, Test Acc: 0.7100000
Epoch: 029, Train Loss: 0.4721064, Train Acc: 0.7733333, Test Acc: 0.6900000
Epoch: 030, Train Loss: 0.4966705, Train Acc: 0.7522222, Test Acc: 0.7100000
Epoch: 031, Train Loss: 0.4581067, Train Acc: 0.7733333, Test Acc: 0.7300000
Epoch: 032, Train Loss: 0.5371582, Train Acc: 0.7711111, Test Acc: 0.6600000
