{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 2, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': '8d6fbbcfecea9de1bee36503ea2561b14c343bf8', 'time_stamp': '1673269022', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/'}
{'dataset_name': 'IMDB-BINARY', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 2, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': '8d6fbbcfecea9de1bee36503ea2561b14c343bf8', 'time_stamp': 1673269024, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-BINARY/board/', 'seed': 0}
Pre-process:   0%|          | 0/1000 [00:00<?, ?it/s]Pre-process:   6%|▌         | 56/1000 [00:00<00:01, 558.81it/s]Pre-process:  12%|█▏        | 120/1000 [00:00<00:01, 602.43it/s]Pre-process:  18%|█▊        | 182/1000 [00:00<00:01, 607.05it/s]Pre-process:  25%|██▍       | 246/1000 [00:00<00:01, 615.79it/s]Pre-process:  31%|███       | 311/1000 [00:00<00:01, 625.07it/s]Pre-process:  38%|███▊      | 378/1000 [00:00<00:00, 638.05it/s]Pre-process:  45%|████▍     | 446/1000 [00:00<00:00, 647.13it/s]Pre-process:  51%|█████     | 511/1000 [00:00<00:00, 643.97it/s]Pre-process:  58%|█████▊    | 583/1000 [00:00<00:00, 654.32it/s]Pre-process:  65%|██████▌   | 653/1000 [00:01<00:00, 666.59it/s]Pre-process:  73%|███████▎  | 726/1000 [00:01<00:00, 683.97it/s]Pre-process:  80%|███████▉  | 795/1000 [00:01<00:00, 630.59it/s]Pre-process:  86%|████████▌ | 859/1000 [00:01<00:00, 607.16it/s]Pre-process:  92%|█████████▏| 922/1000 [00:01<00:00, 613.24it/s]Pre-process:  99%|█████████▉| 992/1000 [00:01<00:00, 635.57it/s]Pre-process: 100%|██████████| 1000/1000 [00:01<00:00, 634.25it/s]
Basis total: 22
train_set : test_set = %d : %d 900 100
-------- FOLD0 DATASET=IMDB-BINARY, COMMIT_ID=8d6fbbcfecea9de1bee36503ea2561b14c343bf8
With batch_norm.
Without edge_softmax.
#Params: 538626
Epoch: 001, Train Loss: 0.7130443, Train Acc: 0.6533333, Test Acc: 0.6500000
Epoch: 002, Train Loss: 0.6233961, Train Acc: 0.6533333, Test Acc: 0.6500000
Epoch: 003, Train Loss: 0.5687228, Train Acc: 0.7155556, Test Acc: 0.6900000
Epoch: 004, Train Loss: 0.5694368, Train Acc: 0.7033333, Test Acc: 0.7200000
Epoch: 005, Train Loss: 0.5967379, Train Acc: 0.6966667, Test Acc: 0.6900000
Epoch: 006, Train Loss: 0.5227131, Train Acc: 0.7233333, Test Acc: 0.7700000
Epoch: 007, Train Loss: 0.5588820, Train Acc: 0.6833333, Test Acc: 0.7600000
Epoch: 008, Train Loss: 0.5366377, Train Acc: 0.7300000, Test Acc: 0.7200000
Epoch: 009, Train Loss: 0.5627142, Train Acc: 0.6866667, Test Acc: 0.6900000
Epoch: 010, Train Loss: 0.5546346, Train Acc: 0.7100000, Test Acc: 0.7200000
Epoch: 011, Train Loss: 0.5213407, Train Acc: 0.7188889, Test Acc: 0.7100000
Epoch: 012, Train Loss: 0.5104185, Train Acc: 0.7277778, Test Acc: 0.7500000
Epoch: 013, Train Loss: 0.5117094, Train Acc: 0.7344444, Test Acc: 0.7400000
Epoch: 014, Train Loss: 0.5040536, Train Acc: 0.7344444, Test Acc: 0.7300000
Epoch: 015, Train Loss: 0.5463628, Train Acc: 0.7255556, Test Acc: 0.6800000
Epoch: 016, Train Loss: 0.5182431, Train Acc: 0.7333333, Test Acc: 0.7300000
Epoch: 017, Train Loss: 0.5388471, Train Acc: 0.7266667, Test Acc: 0.7100000
Epoch: 018, Train Loss: 0.5410831, Train Acc: 0.7088889, Test Acc: 0.7300000
Epoch: 019, Train Loss: 0.5049692, Train Acc: 0.7400000, Test Acc: 0.7300000
Epoch: 020, Train Loss: 0.4971510, Train Acc: 0.7344444, Test Acc: 0.7100000
Epoch: 021, Train Loss: 0.4920932, Train Acc: 0.7500000, Test Acc: 0.7000000
Epoch: 022, Train Loss: 0.4862992, Train Acc: 0.7511111, Test Acc: 0.7200000
Epoch: 023, Train Loss: 0.5158102, Train Acc: 0.7177778, Test Acc: 0.7100000
Epoch: 024, Train Loss: 0.4916151, Train Acc: 0.7466667, Test Acc: 0.7300000
Epoch: 025, Train Loss: 0.4812437, Train Acc: 0.7533333, Test Acc: 0.7100000
Epoch: 026, Train Loss: 0.5185695, Train Acc: 0.7322222, Test Acc: 0.7100000
Epoch: 027, Train Loss: 0.4660811, Train Acc: 0.7588889, Test Acc: 0.7400000
Epoch: 028, Train Loss: 0.4804552, Train Acc: 0.7577778, Test Acc: 0.7200000
Epoch: 029, Train Loss: 0.4718905, Train Acc: 0.7511111, Test Acc: 0.7400000
Epoch: 030, Train Loss: 0.4676065, Train Acc: 0.7800000, Test Acc: 0.7100000
Epoch: 031, Train Loss: 0.4873915, Train Acc: 0.7377778, Test Acc: 0.6800000
Epoch: 032, Train Loss: 0.4860209, Train Acc: 0.7355556, Test Acc: 0.7000000
Epoch: 033, Train Loss: 0.4701734, Train Acc: 0.7733333, Test Acc: 0.7500000
Epoch: 034, Train Loss: 0.4556163, Train Acc: 0.7600000, Test Acc: 0.7100000
