{'dataset_name': 'IMDB-MULTI', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': '8d6fbbcfecea9de1bee36503ea2561b14c343bf8', 'time_stamp': '1673334916', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-MULTI/board/'}
{'dataset_name': 'IMDB-MULTI', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 3], [1, 3], [1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 16, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0, 'batch_norm': 'Y', 'edge_softmax': 'N'}, 'commit_id': '8d6fbbcfecea9de1bee36503ea2561b14c343bf8', 'time_stamp': 1673334918, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/IMDB-MULTI/board/', 'seed': 0}
Downloading ./dataset/IMDB-MULTI.zip from https://www.chrsmrrs.com/graphkerneldatasets/IMDB-MULTI.zip...
Extracting file to ./dataset/IMDB-MULTI
No Node Label Data
No Node Attribute Data
Pre-process:   0%|          | 0/1500 [00:00<?, ?it/s]Pre-process:   5%|▌         | 80/1500 [00:00<00:01, 793.37it/s]Pre-process:  11%|█         | 160/1500 [00:00<00:01, 773.42it/s]Pre-process:  16%|█▌        | 240/1500 [00:00<00:01, 778.25it/s]Pre-process:  21%|██▏       | 321/1500 [00:00<00:01, 789.37it/s]Pre-process:  27%|██▋       | 402/1500 [00:00<00:01, 793.66it/s]Pre-process:  32%|███▏      | 483/1500 [00:00<00:01, 797.94it/s]Pre-process:  38%|███▊      | 566/1500 [00:00<00:01, 808.10it/s]Pre-process:  43%|████▎     | 648/1500 [00:00<00:01, 810.60it/s]Pre-process:  49%|████▊     | 730/1500 [00:00<00:00, 794.23it/s]Pre-process:  54%|█████▍    | 812/1500 [00:01<00:00, 801.63it/s]Pre-process:  60%|█████▉    | 894/1500 [00:01<00:00, 806.93it/s]Pre-process:  65%|██████▌   | 976/1500 [00:01<00:00, 808.65it/s]Pre-process:  71%|███████   | 1059/1500 [00:01<00:00, 812.64it/s]Pre-process:  76%|███████▋  | 1144/1500 [00:01<00:00, 822.87it/s]Pre-process:  82%|████████▏ | 1227/1500 [00:01<00:00, 820.14it/s]Pre-process:  87%|████████▋ | 1310/1500 [00:01<00:00, 820.99it/s]Pre-process:  93%|█████████▎| 1393/1500 [00:01<00:00, 820.61it/s]Pre-process:  98%|█████████▊| 1476/1500 [00:01<00:00, 822.43it/s]Pre-process: 100%|██████████| 1500/1500 [00:01<00:00, 809.02it/s]
Basis total: 22
train_set : test_set = %d : %d 1350 150
-------- FOLD0 DATASET=IMDB-MULTI, COMMIT_ID=8d6fbbcfecea9de1bee36503ea2561b14c343bf8
With batch_norm.
Without edge_softmax.
#Params: 737283
Epoch: 001, Train Loss: 1.8507880, Train Acc: 0.4014815, Test Acc: 0.3866667
Epoch: 002, Train Loss: 1.2592162, Train Acc: 0.4577778, Test Acc: 0.4200000
Epoch: 003, Train Loss: 1.1659094, Train Acc: 0.4555556, Test Acc: 0.3933333
Epoch: 004, Train Loss: 1.2123135, Train Acc: 0.4192593, Test Acc: 0.4000000
Epoch: 005, Train Loss: 1.0340005, Train Acc: 0.4377778, Test Acc: 0.4666667
Epoch: 006, Train Loss: 1.0440343, Train Acc: 0.4488889, Test Acc: 0.4000000
Epoch: 007, Train Loss: 1.1727119, Train Acc: 0.4622222, Test Acc: 0.4733333
Epoch: 008, Train Loss: 1.0292370, Train Acc: 0.4614815, Test Acc: 0.4800000
Epoch: 009, Train Loss: 1.0389876, Train Acc: 0.4785185, Test Acc: 0.4666667
Epoch: 010, Train Loss: 1.0110829, Train Acc: 0.4444444, Test Acc: 0.4600000
Epoch: 011, Train Loss: 1.0089680, Train Acc: 0.4733333, Test Acc: 0.5000000
Epoch: 012, Train Loss: 0.9912123, Train Acc: 0.4970370, Test Acc: 0.5000000
Epoch: 013, Train Loss: 0.9942170, Train Acc: 0.4592593, Test Acc: 0.4400000
Epoch: 014, Train Loss: 0.9950631, Train Acc: 0.4422222, Test Acc: 0.4266667
Epoch: 015, Train Loss: 1.0149160, Train Acc: 0.4933333, Test Acc: 0.4666667
Epoch: 016, Train Loss: 0.9986427, Train Acc: 0.4488889, Test Acc: 0.4066667
Epoch: 017, Train Loss: 0.9774625, Train Acc: 0.4800000, Test Acc: 0.4466667
Epoch: 018, Train Loss: 0.9789185, Train Acc: 0.5059259, Test Acc: 0.5066667
Epoch: 019, Train Loss: 0.9776085, Train Acc: 0.5007407, Test Acc: 0.4800000
Epoch: 020, Train Loss: 1.0286226, Train Acc: 0.4570370, Test Acc: 0.4133333
Epoch: 021, Train Loss: 0.9737464, Train Acc: 0.4992593, Test Acc: 0.4933333
Epoch: 022, Train Loss: 0.9794129, Train Acc: 0.4948148, Test Acc: 0.4866667
Epoch: 023, Train Loss: 1.0340770, Train Acc: 0.4962963, Test Acc: 0.4800000
Epoch: 024, Train Loss: 1.0022974, Train Acc: 0.5125926, Test Acc: 0.4866667
Epoch: 025, Train Loss: 0.9904540, Train Acc: 0.4822222, Test Acc: 0.4733333
Epoch: 026, Train Loss: 0.9675017, Train Acc: 0.5155556, Test Acc: 0.4933333
Epoch: 027, Train Loss: 0.9635192, Train Acc: 0.4674074, Test Acc: 0.4466667
Epoch: 028, Train Loss: 0.9468298, Train Acc: 0.5133333, Test Acc: 0.4466667
Epoch: 029, Train Loss: 0.9841324, Train Acc: 0.4777778, Test Acc: 0.4133333
Epoch: 030, Train Loss: 0.9478093, Train Acc: 0.4985185, Test Acc: 0.4933333
Epoch: 031, Train Loss: 0.9910686, Train Acc: 0.5044444, Test Acc: 0.5066667
Epoch: 032, Train Loss: 0.9691396, Train Acc: 0.5051852, Test Acc: 0.5000000
Epoch: 033, Train Loss: 0.9798664, Train Acc: 0.4681481, Test Acc: 0.4000000
Epoch: 034, Train Loss: 0.9283011, Train Acc: 0.5296296, Test Acc: 0.5133333
Epoch: 035, Train Loss: 0.9542344, Train Acc: 0.5066667, Test Acc: 0.4066667
Epoch: 036, Train Loss: 0.9289260, Train Acc: 0.5377778, Test Acc: 0.5066667
Epoch: 037, Train Loss: 0.9568560, Train Acc: 0.4955556, Test Acc: 0.4333333
Epoch: 038, Train Loss: 1.2478849, Train Acc: 0.4925926, Test Acc: 0.4800000
Epoch: 039, Train Loss: 0.9764399, Train Acc: 0.5000000, Test Acc: 0.4933333
