{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 5, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'e5b0b1066aab1afbcec8af59edbebc6d1b9c9908', 'time_stamp': '1673363207', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/'}
{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'Y', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 5, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'e5b0b1066aab1afbcec8af59edbebc6d1b9c9908', 'time_stamp': 1673363208, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/', 'seed': 0}
Pre-process:   0%|          | 0/188 [00:00<?, ?it/s]Pre-process:  44%|████▎     | 82/188 [00:00<00:00, 813.84it/s]Pre-process:  89%|████████▉ | 167/188 [00:00<00:00, 830.92it/s]Pre-process: 100%|██████████| 188/188 [00:00<00:00, 830.20it/s]
Basis total: 16
train_set : test_set = %d : %d 169 19
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=e5b0b1066aab1afbcec8af59edbebc6d1b9c9908
With batch_norm.
With edge_softmax.
#Params: 287363
Epoch: 001, Train Loss: 0.9949078, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 002, Train Loss: 0.9631052, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 003, Train Loss: 0.9452007, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 004, Train Loss: 0.9108922, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 005, Train Loss: 0.8794378, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 006, Train Loss: 0.8392685, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 007, Train Loss: 0.7938037, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 008, Train Loss: 0.7545114, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 009, Train Loss: 0.7035966, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 010, Train Loss: 0.6747344, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 011, Train Loss: 0.6531642, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 012, Train Loss: 0.6374476, Train Acc: 0.7159763, Test Acc: 0.8421053
Epoch: 013, Train Loss: 0.7455736, Train Acc: 0.3491124, Test Acc: 0.3684211
Epoch: 014, Train Loss: 0.9788634, Train Acc: 0.3372781, Test Acc: 0.3157895
Epoch: 015, Train Loss: 1.1493733, Train Acc: 0.3372781, Test Acc: 0.3157895
Epoch: 016, Train Loss: 1.2437981, Train Acc: 0.3372781, Test Acc: 0.3157895
Epoch: 017, Train Loss: 0.8580671, Train Acc: 0.4674556, Test Acc: 0.4736842
Epoch: 018, Train Loss: 1.2552964, Train Acc: 0.3372781, Test Acc: 0.3684211
Epoch: 019, Train Loss: 0.9185704, Train Acc: 0.4852071, Test Acc: 0.4736842
Epoch: 020, Train Loss: 0.3800967, Train Acc: 0.7988166, Test Acc: 0.7894737
Epoch: 021, Train Loss: 0.4022239, Train Acc: 0.7869822, Test Acc: 0.7368421
Epoch: 022, Train Loss: 0.2122278, Train Acc: 0.9171598, Test Acc: 0.8421053
Epoch: 023, Train Loss: 0.6570110, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 024, Train Loss: 0.3942853, Train Acc: 0.8047337, Test Acc: 0.7894737
Epoch: 025, Train Loss: 1.5361759, Train Acc: 0.4082840, Test Acc: 0.3684211
Epoch: 026, Train Loss: 0.2368118, Train Acc: 0.8934911, Test Acc: 0.7368421
Epoch: 027, Train Loss: 0.2118697, Train Acc: 0.8816568, Test Acc: 0.8421053
Epoch: 028, Train Loss: 0.8418593, Train Acc: 0.6094675, Test Acc: 0.6315789
Epoch: 029, Train Loss: 0.4638332, Train Acc: 0.7869822, Test Acc: 0.7894737
Epoch: 030, Train Loss: 0.4554176, Train Acc: 0.7869822, Test Acc: 0.7894737
Epoch: 031, Train Loss: 0.1842892, Train Acc: 0.9289941, Test Acc: 0.8421053
Epoch: 032, Train Loss: 0.2154934, Train Acc: 0.8934911, Test Acc: 0.8947368
Epoch: 033, Train Loss: 0.2206523, Train Acc: 0.9230769, Test Acc: 0.8421053
Epoch: 034, Train Loss: 0.2580332, Train Acc: 0.8994083, Test Acc: 0.7894737
Epoch: 035, Train Loss: 0.4898726, Train Acc: 0.7810651, Test Acc: 0.6842105
Epoch: 036, Train Loss: 0.1450742, Train Acc: 0.9526627, Test Acc: 0.8421053
Epoch: 037, Train Loss: 0.1134472, Train Acc: 0.9644970, Test Acc: 0.8947368
Epoch: 038, Train Loss: 0.1593141, Train Acc: 0.9289941, Test Acc: 0.8421053
Epoch: 039, Train Loss: 0.1253252, Train Acc: 0.9408284, Test Acc: 0.8421053
Epoch: 040, Train Loss: 0.4716715, Train Acc: 0.8402367, Test Acc: 0.8421053
