{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 6], [1, 6], [1, 6]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': '1673851157', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/'}
{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 6], [1, 6], [1, 6]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': 1673851159, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/', 'seed': 0}
Pre-process:   0%|          | 0/188 [00:00<?, ?it/s]Pre-process:  46%|████▋     | 87/188 [00:00<00:00, 863.23it/s]Pre-process:  96%|█████████▌| 180/188 [00:00<00:00, 896.46it/s]Pre-process: 100%|██████████| 188/188 [00:00<00:00, 892.27it/s]
Basis total: 19
train_set : test_set = %d : %d 169 19
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=f211370258ca049dc165beff1fbd5d5c32dbdae1
With batch_norm.
With edge_softmax.
#Params: 934147
Epoch: 001, Train Loss: 0.9819787, Train Acc: 0.3136095, Test Acc: 0.2105263
Epoch: 002, Train Loss: 0.9356505, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 003, Train Loss: 0.8870191, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 004, Train Loss: 0.8276133, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 005, Train Loss: 0.7750793, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 006, Train Loss: 0.7300197, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 007, Train Loss: 0.6865374, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 008, Train Loss: 0.6577090, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 009, Train Loss: 0.6268636, Train Acc: 0.6568047, Test Acc: 0.6842105
Epoch: 010, Train Loss: 0.5985953, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 011, Train Loss: 0.5717886, Train Acc: 0.6804734, Test Acc: 0.6842105
Epoch: 012, Train Loss: 0.5652647, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 013, Train Loss: 0.4711418, Train Acc: 0.7692308, Test Acc: 0.8421053
Epoch: 014, Train Loss: 0.4393185, Train Acc: 0.7928994, Test Acc: 0.8421053
Epoch: 015, Train Loss: 0.5478839, Train Acc: 0.6982249, Test Acc: 0.7894737
Epoch: 016, Train Loss: 0.6476812, Train Acc: 0.6686391, Test Acc: 0.7368421
Epoch: 017, Train Loss: 0.4963798, Train Acc: 0.7810651, Test Acc: 0.8421053
Epoch: 018, Train Loss: 0.3415474, Train Acc: 0.8639053, Test Acc: 0.8421053
Epoch: 019, Train Loss: 0.3703191, Train Acc: 0.8639053, Test Acc: 0.8947368
Epoch: 020, Train Loss: 0.5813498, Train Acc: 0.7810651, Test Acc: 0.8421053
Epoch: 021, Train Loss: 0.5824020, Train Acc: 0.7337278, Test Acc: 0.7368421
