{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.1, -0.2, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': '1673852457', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/'}
{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.1, -0.2, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': 1673852458, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/', 'seed': 0}
Pre-process:   0%|          | 0/188 [00:00<?, ?it/s]Pre-process:  48%|████▊     | 91/188 [00:00<00:00, 904.39it/s]Pre-process:  99%|█████████▉| 186/188 [00:00<00:00, 928.71it/s]Pre-process: 100%|██████████| 188/188 [00:00<00:00, 924.53it/s]
Basis total: 16
train_set : test_set = %d : %d 169 19
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=f211370258ca049dc165beff1fbd5d5c32dbdae1
With batch_norm.
With edge_softmax.
#Params: 933379
Epoch: 001, Train Loss: 0.9945746, Train Acc: 0.3372781, Test Acc: 0.3157895
Epoch: 002, Train Loss: 0.9478010, Train Acc: 0.5621302, Test Acc: 0.6842105
Epoch: 003, Train Loss: 0.9007488, Train Acc: 0.6508876, Test Acc: 0.8421053
Epoch: 004, Train Loss: 0.8327181, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 005, Train Loss: 0.7767283, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 006, Train Loss: 0.7219228, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 007, Train Loss: 0.6765778, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 008, Train Loss: 0.6476358, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 009, Train Loss: 0.6123737, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 010, Train Loss: 0.5923237, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 011, Train Loss: 0.5656317, Train Acc: 0.6686391, Test Acc: 0.6842105
Epoch: 012, Train Loss: 0.5771594, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 013, Train Loss: 0.5054688, Train Acc: 0.7218935, Test Acc: 0.7368421
Epoch: 014, Train Loss: 0.5231447, Train Acc: 0.6745562, Test Acc: 0.6842105
Epoch: 015, Train Loss: 0.3875996, Train Acc: 0.7988166, Test Acc: 0.8947368
Epoch: 016, Train Loss: 0.4999658, Train Acc: 0.7455621, Test Acc: 0.7368421
Epoch: 017, Train Loss: 0.3675062, Train Acc: 0.8284024, Test Acc: 0.7894737
Epoch: 018, Train Loss: 0.5411334, Train Acc: 0.7810651, Test Acc: 0.7894737
Epoch: 019, Train Loss: 0.2884567, Train Acc: 0.9112426, Test Acc: 0.7368421
Epoch: 020, Train Loss: 0.2754752, Train Acc: 0.8994083, Test Acc: 0.8421053
Epoch: 021, Train Loss: 0.2831068, Train Acc: 0.8934911, Test Acc: 0.8421053
Epoch: 022, Train Loss: 0.2859373, Train Acc: 0.8757396, Test Acc: 0.7894737
Epoch: 023, Train Loss: 0.4578482, Train Acc: 0.7455621, Test Acc: 0.7894737
Epoch: 024, Train Loss: 0.2703711, Train Acc: 0.9349112, Test Acc: 0.7894737
Epoch: 025, Train Loss: 0.7451226, Train Acc: 0.6982249, Test Acc: 0.7368421
Epoch: 026, Train Loss: 0.4111992, Train Acc: 0.8461538, Test Acc: 0.8947368
Epoch: 027, Train Loss: 0.6173927, Train Acc: 0.8343195, Test Acc: 0.7894737
Epoch: 028, Train Loss: 0.5865179, Train Acc: 0.7988166, Test Acc: 0.8421053
Epoch: 029, Train Loss: 0.2183204, Train Acc: 0.9053254, Test Acc: 0.7894737
Epoch: 030, Train Loss: 0.6290169, Train Acc: 0.7869822, Test Acc: 0.8421053
Epoch: 031, Train Loss: 0.3199340, Train Acc: 0.8934911, Test Acc: 0.8421053
Epoch: 032, Train Loss: 0.5136875, Train Acc: 0.8757396, Test Acc: 0.8421053
Epoch: 033, Train Loss: 0.6685925, Train Acc: 0.7810651, Test Acc: 0.8421053
Epoch: 034, Train Loss: 0.1362188, Train Acc: 0.9526627, Test Acc: 0.7368421
Epoch: 035, Train Loss: 0.1927297, Train Acc: 0.9289941, Test Acc: 0.8421053
Epoch: 036, Train Loss: 0.8960690, Train Acc: 0.6390533, Test Acc: 0.4736842
