{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': '1673853294', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/'}
{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'ReLU', 'layers': 4, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': 1673853296, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/', 'seed': 0}
Pre-process:   0%|          | 0/188 [00:00<?, ?it/s]Pre-process:  48%|████▊     | 91/188 [00:00<00:00, 902.92it/s]Pre-process:  98%|█████████▊| 185/188 [00:00<00:00, 923.69it/s]Pre-process: 100%|██████████| 188/188 [00:00<00:00, 920.38it/s]
Basis total: 16
train_set : test_set = %d : %d 169 19
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=f211370258ca049dc165beff1fbd5d5c32dbdae1
With batch_norm.
With edge_softmax.
#Params: 933379
Epoch: 001, Train Loss: 0.8932282, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 002, Train Loss: 0.8298625, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 003, Train Loss: 0.7783112, Train Acc: 0.6686391, Test Acc: 0.7368421
Epoch: 004, Train Loss: 0.7071788, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 005, Train Loss: 0.6780029, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 006, Train Loss: 0.6536936, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 007, Train Loss: 0.6304420, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 008, Train Loss: 0.6164718, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 009, Train Loss: 0.5957603, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 010, Train Loss: 0.5981967, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 011, Train Loss: 0.5514590, Train Acc: 0.6863905, Test Acc: 0.6842105
Epoch: 012, Train Loss: 0.7168946, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 013, Train Loss: 0.5787878, Train Acc: 0.6923077, Test Acc: 0.6842105
Epoch: 014, Train Loss: 0.3958136, Train Acc: 0.8520710, Test Acc: 0.8947368
Epoch: 015, Train Loss: 0.4506662, Train Acc: 0.8106509, Test Acc: 0.8421053
Epoch: 016, Train Loss: 0.3864332, Train Acc: 0.8639053, Test Acc: 0.8947368
Epoch: 017, Train Loss: 0.5257269, Train Acc: 0.6804734, Test Acc: 0.7894737
Epoch: 018, Train Loss: 0.3738492, Train Acc: 0.8934911, Test Acc: 0.8947368
Epoch: 019, Train Loss: 0.6584775, Train Acc: 0.7041420, Test Acc: 0.8421053
Epoch: 020, Train Loss: 0.2927121, Train Acc: 0.8875740, Test Acc: 0.8421053
Epoch: 021, Train Loss: 0.3561053, Train Acc: 0.8165680, Test Acc: 0.8421053
Epoch: 022, Train Loss: 0.3453342, Train Acc: 0.8402367, Test Acc: 0.8947368
Epoch: 023, Train Loss: 0.3733045, Train Acc: 0.8224852, Test Acc: 0.7894737
Epoch: 024, Train Loss: 0.8084628, Train Acc: 0.5798817, Test Acc: 0.4736842
Epoch: 025, Train Loss: 0.3615181, Train Acc: 0.8047337, Test Acc: 0.8421053
Epoch: 026, Train Loss: 0.3884587, Train Acc: 0.8047337, Test Acc: 0.7368421
Epoch: 027, Train Loss: 0.2376222, Train Acc: 0.9171598, Test Acc: 0.7368421
Epoch: 028, Train Loss: 0.3439895, Train Acc: 0.8579882, Test Acc: 0.8421053
Epoch: 029, Train Loss: 0.2389763, Train Acc: 0.9112426, Test Acc: 0.8947368
Epoch: 030, Train Loss: 0.8820178, Train Acc: 0.6863905, Test Acc: 0.7368421
Epoch: 031, Train Loss: 0.3337357, Train Acc: 0.8757396, Test Acc: 0.8421053
Epoch: 032, Train Loss: 0.3154477, Train Acc: 0.8165680, Test Acc: 0.8947368
Epoch: 033, Train Loss: 0.3537965, Train Acc: 0.8047337, Test Acc: 0.8421053
Epoch: 034, Train Loss: 0.1577078, Train Acc: 0.9230769, Test Acc: 0.8947368
Epoch: 035, Train Loss: 0.2714828, Train Acc: 0.8994083, Test Acc: 0.8947368
Epoch: 036, Train Loss: 1.8036385, Train Acc: 0.5384615, Test Acc: 0.3684211
Epoch: 037, Train Loss: 3.4191392, Train Acc: 0.3609467, Test Acc: 0.2105263
Epoch: 038, Train Loss: 0.7451520, Train Acc: 0.6094675, Test Acc: 0.4210526
Epoch: 039, Train Loss: 0.3008088, Train Acc: 0.8934911, Test Acc: 0.6842105
Epoch: 040, Train Loss: 1.1692025, Train Acc: 0.5857988, Test Acc: 0.4210526
Epoch: 041, Train Loss: 0.2082508, Train Acc: 0.9408284, Test Acc: 0.7894737
Epoch: 042, Train Loss: 0.2730743, Train Acc: 0.8875740, Test Acc: 0.8421053
Epoch: 043, Train Loss: 0.2012852, Train Acc: 0.9289941, Test Acc: 0.8421053
Epoch: 044, Train Loss: 0.6455692, Train Acc: 0.8343195, Test Acc: 0.7894737
Epoch: 045, Train Loss: 0.2191979, Train Acc: 0.9349112, Test Acc: 0.7368421
Epoch: 046, Train Loss: 0.2262749, Train Acc: 0.8994083, Test Acc: 0.8421053
Epoch: 047, Train Loss: 0.2022928, Train Acc: 0.9112426, Test Acc: 0.7368421
Epoch: 048, Train Loss: 0.1304400, Train Acc: 0.9467456, Test Acc: 0.8421053
Epoch: 049, Train Loss: 0.1807276, Train Acc: 0.9349112, Test Acc: 0.8421053
Epoch: 050, Train Loss: 0.0969133, Train Acc: 0.9644970, Test Acc: 0.8421053
Epoch: 051, Train Loss: 0.1029736, Train Acc: 0.9704142, Test Acc: 0.7894737
Epoch: 052, Train Loss: 0.0878069, Train Acc: 0.9704142, Test Acc: 0.8421053
Epoch: 053, Train Loss: 0.1243372, Train Acc: 0.9585799, Test Acc: 0.7894737
Epoch: 054, Train Loss: 0.2245297, Train Acc: 0.9289941, Test Acc: 0.7368421
Epoch: 055, Train Loss: 0.0644402, Train Acc: 0.9763314, Test Acc: 0.8421053
Epoch: 056, Train Loss: 0.0761830, Train Acc: 0.9704142, Test Acc: 0.8421053
Epoch: 057, Train Loss: 0.0590487, Train Acc: 0.9822485, Test Acc: 0.8421053
Epoch: 058, Train Loss: 0.0481032, Train Acc: 0.9881657, Test Acc: 0.8421053
Epoch: 059, Train Loss: 0.1068295, Train Acc: 0.9585799, Test Acc: 0.7368421
Epoch: 060, Train Loss: 0.0910375, Train Acc: 0.9585799, Test Acc: 0.7894737
Epoch: 061, Train Loss: 0.0475319, Train Acc: 0.9822485, Test Acc: 0.7894737
