{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': '1673853993', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/'}
{'dataset_name': 'MUTAG', 'basis': 'GSO', 'epsilon': [-0.2, -0.25, -0.3], 'power': [[1, 5], [1, 5], [1, 5]], 'basis_norm': 'N', 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 3, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'f211370258ca049dc165beff1fbd5d5c32dbdae1', 'time_stamp': 1673853994, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/MUTAG/board/', 'seed': 0}
Pre-process:   0%|          | 0/188 [00:00<?, ?it/s]Pre-process:  48%|████▊     | 90/188 [00:00<00:00, 898.20it/s]Pre-process:  98%|█████████▊| 184/188 [00:00<00:00, 918.40it/s]Pre-process: 100%|██████████| 188/188 [00:00<00:00, 915.21it/s]
Basis total: 16
train_set : test_set = %d : %d 169 19
-------- FOLD0 DATASET=MUTAG, COMMIT_ID=f211370258ca049dc165beff1fbd5d5c32dbdae1
With batch_norm.
With edge_softmax.
#Params: 734979
Epoch: 001, Train Loss: 1.0241029, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 002, Train Loss: 1.0031647, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 003, Train Loss: 0.9772487, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 004, Train Loss: 0.9371101, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 005, Train Loss: 0.8908102, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 006, Train Loss: 0.8344523, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 007, Train Loss: 0.7713649, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 008, Train Loss: 0.7110463, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 009, Train Loss: 0.6646594, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 010, Train Loss: 0.6479040, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 011, Train Loss: 0.6362676, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 012, Train Loss: 0.7234832, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 013, Train Loss: 0.6153159, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 014, Train Loss: 0.6814127, Train Acc: 0.6804734, Test Acc: 0.7368421
Epoch: 015, Train Loss: 0.8807765, Train Acc: 0.6627219, Test Acc: 0.6842105
Epoch: 016, Train Loss: 0.4632997, Train Acc: 0.7988166, Test Acc: 0.8947368
Epoch: 017, Train Loss: 0.3698590, Train Acc: 0.8816568, Test Acc: 0.8421053
Epoch: 018, Train Loss: 0.4317377, Train Acc: 0.8224852, Test Acc: 0.8421053
Epoch: 019, Train Loss: 0.7116977, Train Acc: 0.7396450, Test Acc: 0.8421053
Epoch: 020, Train Loss: 0.3882591, Train Acc: 0.8224852, Test Acc: 0.8421053
Epoch: 021, Train Loss: 0.6421997, Train Acc: 0.7692308, Test Acc: 0.8421053
Epoch: 022, Train Loss: 0.4365775, Train Acc: 0.8106509, Test Acc: 0.8421053
Epoch: 023, Train Loss: 0.2884885, Train Acc: 0.8698225, Test Acc: 0.7368421
Epoch: 024, Train Loss: 0.4087755, Train Acc: 0.8402367, Test Acc: 0.8947368
Epoch: 025, Train Loss: 0.2571125, Train Acc: 0.9171598, Test Acc: 0.7368421
Epoch: 026, Train Loss: 0.3432807, Train Acc: 0.8816568, Test Acc: 0.8947368
Epoch: 027, Train Loss: 0.2523422, Train Acc: 0.8994083, Test Acc: 0.7368421
Epoch: 028, Train Loss: 0.4647074, Train Acc: 0.7692308, Test Acc: 0.7368421
