{'dataset_name': 'NCI1', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '8d6fbbcfecea9de1bee36503ea2561b14c343bf8', 'time_stamp': '1673332577', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/NCI1/board/'}
{'dataset_name': 'NCI1', 'basis': 'GSO', 'epsilon': [-0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 6], [1, 6], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 8, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 40, 'decay_rate': 0.6}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 256, 'pooling': 'X', 'dropout': 0}, 'commit_id': '8d6fbbcfecea9de1bee36503ea2561b14c343bf8', 'time_stamp': 1673332578, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/NCI1/board/', 'seed': 0}
Pre-process:   0%|          | 0/4110 [00:00<?, ?it/s]Pre-process:   2%|▏         | 67/4110 [00:00<00:06, 665.40it/s]Pre-process:   3%|▎         | 135/4110 [00:00<00:05, 669.18it/s]Pre-process:   5%|▍         | 202/4110 [00:00<00:05, 667.90it/s]Pre-process:   7%|▋         | 270/4110 [00:00<00:05, 669.15it/s]Pre-process:   8%|▊         | 337/4110 [00:00<00:05, 668.89it/s]Pre-process:  10%|▉         | 406/4110 [00:00<00:05, 674.88it/s]Pre-process:  12%|█▏        | 474/4110 [00:00<00:05, 658.68it/s]Pre-process:  13%|█▎        | 542/4110 [00:00<00:05, 663.81it/s]Pre-process:  15%|█▍        | 609/4110 [00:00<00:05, 656.70it/s]Pre-process:  16%|█▋        | 677/4110 [00:01<00:05, 661.46it/s]Pre-process:  18%|█▊        | 746/4110 [00:01<00:05, 670.02it/s]Pre-process:  20%|█▉        | 815/4110 [00:01<00:04, 675.32it/s]Pre-process:  21%|██▏       | 883/4110 [00:01<00:04, 670.21it/s]Pre-process:  23%|██▎       | 952/4110 [00:01<00:04, 674.44it/s]Pre-process:  25%|██▍       | 1020/4110 [00:01<00:04, 674.28it/s]Pre-process:  26%|██▋       | 1088/4110 [00:01<00:04, 670.40it/s]Pre-process:  28%|██▊       | 1156/4110 [00:01<00:04, 667.84it/s]Pre-process:  30%|██▉       | 1223/4110 [00:01<00:04, 665.78it/s]Pre-process:  31%|███▏      | 1291/4110 [00:01<00:04, 669.94it/s]Pre-process:  33%|███▎      | 1359/4110 [00:02<00:04, 669.20it/s]Pre-process:  35%|███▍      | 1430/4110 [00:02<00:03, 680.97it/s]Pre-process:  36%|███▋      | 1499/4110 [00:02<00:03, 683.33it/s]Pre-process:  38%|███▊      | 1570/4110 [00:02<00:03, 689.33it/s]Pre-process:  40%|███▉      | 1639/4110 [00:02<00:03, 684.55it/s]Pre-process:  42%|████▏     | 1708/4110 [00:02<00:03, 657.31it/s]Pre-process:  43%|████▎     | 1776/4110 [00:02<00:03, 662.82it/s]Pre-process:  45%|████▍     | 1843/4110 [00:02<00:03, 643.76it/s]Pre-process:  46%|████▋     | 1908/4110 [00:02<00:03, 613.39it/s]Pre-process:  48%|████▊     | 1970/4110 [00:02<00:03, 610.17it/s]Pre-process:  49%|████▉     | 2032/4110 [00:03<00:03, 597.51it/s]Pre-process:  51%|█████     | 2092/4110 [00:03<00:03, 588.66it/s]Pre-process:  52%|█████▏    | 2151/4110 [00:03<00:03, 577.72it/s]Pre-process:  54%|█████▍    | 2211/4110 [00:03<00:03, 583.74it/s]Pre-process:  55%|█████▌    | 2270/4110 [00:03<00:03, 579.20it/s]Pre-process:  57%|█████▋    | 2335/4110 [00:03<00:02, 597.67it/s]Pre-process:  58%|█████▊    | 2402/4110 [00:03<00:02, 617.83it/s]Pre-process:  60%|█████▉    | 2464/4110 [00:03<00:02, 599.75it/s]Pre-process:  61%|██████▏   | 2526/4110 [00:03<00:02, 604.49it/s]Pre-process:  63%|██████▎   | 2593/4110 [00:04<00:02, 621.09it/s]Pre-process:  65%|██████▍   | 2658/4110 [00:04<00:02, 627.83it/s]Pre-process:  66%|██████▌   | 2721/4110 [00:04<00:02, 626.98it/s]Pre-process:  68%|██████▊   | 2784/4110 [00:04<00:02, 626.07it/s]Pre-process:  69%|██████▉   | 2851/4110 [00:04<00:01, 636.72it/s]Pre-process:  71%|███████   | 2915/4110 [00:04<00:01, 630.90it/s]Pre-process:  72%|███████▏  | 2979/4110 [00:04<00:01, 630.80it/s]Pre-process:  74%|███████▍  | 3044/4110 [00:04<00:01, 635.45it/s]Pre-process:  76%|███████▌  | 3108/4110 [00:04<00:01, 630.73it/s]Pre-process:  77%|███████▋  | 3172/4110 [00:04<00:01, 597.89it/s]Pre-process:  79%|███████▉  | 3237/4110 [00:05<00:01, 610.87it/s]Pre-process:  80%|████████  | 3299/4110 [00:05<00:01, 611.43it/s]Pre-process:  82%|████████▏ | 3365/4110 [00:05<00:01, 624.01it/s]Pre-process:  83%|████████▎ | 3431/4110 [00:05<00:01, 633.83it/s]Pre-process:  85%|████████▌ | 3495/4110 [00:05<00:00, 630.23it/s]Pre-process:  87%|████████▋ | 3562/4110 [00:05<00:00, 639.84it/s]Pre-process:  88%|████████▊ | 3627/4110 [00:05<00:00, 641.25it/s]Pre-process:  90%|████████▉ | 3692/4110 [00:05<00:00, 641.13it/s]Pre-process:  91%|█████████▏| 3757/4110 [00:05<00:00, 593.02it/s]Pre-process:  93%|█████████▎| 3818/4110 [00:05<00:00, 593.93it/s]Pre-process:  94%|█████████▍| 3878/4110 [00:06<00:00, 568.88it/s]Pre-process:  96%|█████████▌| 3936/4110 [00:06<00:00, 559.68it/s]Pre-process:  97%|█████████▋| 3994/4110 [00:06<00:00, 562.87it/s]Pre-process:  99%|█████████▊| 4053/4110 [00:06<00:00, 567.99it/s]Pre-process: 100%|██████████| 4110/4110 [00:06<00:00, 630.08it/s]
Basis total: 45
train_set : test_set = %d : %d 3699 411
-------- FOLD0 DATASET=NCI1, COMMIT_ID=8d6fbbcfecea9de1bee36503ea2561b14c343bf8
With batch_norm.
With edge_softmax.
#Params: 1345026
Epoch: 001, Train Loss: 0.7021014, Train Acc: 0.5317653, Test Acc: 0.5304136
Epoch: 002, Train Loss: 0.6743112, Train Acc: 0.5939443, Test Acc: 0.5961071
Epoch: 003, Train Loss: 0.5729742, Train Acc: 0.7018113, Test Acc: 0.7104623
Epoch: 004, Train Loss: 0.5244991, Train Acc: 0.7474993, Test Acc: 0.7445255
Epoch: 005, Train Loss: 0.5240197, Train Acc: 0.7423628, Test Acc: 0.7639903
Epoch: 006, Train Loss: 0.5241312, Train Acc: 0.7374966, Test Acc: 0.7201946
Epoch: 007, Train Loss: 0.5342363, Train Acc: 0.7339822, Test Acc: 0.7542579
Epoch: 008, Train Loss: 0.4820354, Train Acc: 0.7715599, Test Acc: 0.7664234
Epoch: 009, Train Loss: 0.4393819, Train Acc: 0.7939984, Test Acc: 0.7810219
Epoch: 010, Train Loss: 0.5009357, Train Acc: 0.7607461, Test Acc: 0.7591241
Epoch: 011, Train Loss: 0.4348140, Train Acc: 0.8029197, Test Acc: 0.8004866
Epoch: 012, Train Loss: 0.4421051, Train Acc: 0.7961611, Test Acc: 0.7980535
Epoch: 013, Train Loss: 0.4437538, Train Acc: 0.7931873, Test Acc: 0.8053528
Epoch: 014, Train Loss: 0.4031405, Train Acc: 0.8148148, Test Acc: 0.7931873
Epoch: 015, Train Loss: 0.3400723, Train Acc: 0.8618546, Test Acc: 0.8150852
Epoch: 016, Train Loss: 0.3555087, Train Acc: 0.8469857, Test Acc: 0.7785888
Epoch: 017, Train Loss: 0.3415650, Train Acc: 0.8659097, Test Acc: 0.8053528
Epoch: 018, Train Loss: 0.3029173, Train Acc: 0.8834820, Test Acc: 0.8394161
Epoch: 019, Train Loss: 0.4822852, Train Acc: 0.7907543, Test Acc: 0.7591241
Epoch: 020, Train Loss: 0.2817442, Train Acc: 0.8915923, Test Acc: 0.8321168
Epoch: 021, Train Loss: 0.2935860, Train Acc: 0.8761828, Test Acc: 0.8053528
Epoch: 022, Train Loss: 0.2980443, Train Acc: 0.8780752, Test Acc: 0.8077859
Epoch: 023, Train Loss: 0.2467953, Train Acc: 0.9015950, Test Acc: 0.8369830
Epoch: 024, Train Loss: 0.2412727, Train Acc: 0.9061909, Test Acc: 0.8369830
Epoch: 025, Train Loss: 0.3754218, Train Acc: 0.8329278, Test Acc: 0.7956204
Epoch: 026, Train Loss: 0.2207288, Train Acc: 0.9188970, Test Acc: 0.8004866
Epoch: 027, Train Loss: 0.2064709, Train Acc: 0.9156529, Test Acc: 0.8540146
Epoch: 028, Train Loss: 0.1699964, Train Acc: 0.9386321, Test Acc: 0.8296837
Epoch: 029, Train Loss: 0.2777623, Train Acc: 0.8875372, Test Acc: 0.8102190
Epoch: 030, Train Loss: 0.1621284, Train Acc: 0.9383617, Test Acc: 0.8077859
Epoch: 031, Train Loss: 0.1565934, Train Acc: 0.9424169, Test Acc: 0.8199513
Epoch: 032, Train Loss: 0.1477592, Train Acc: 0.9426872, Test Acc: 0.8150852
Epoch: 033, Train Loss: 0.1085289, Train Acc: 0.9597188, Test Acc: 0.8394161
Epoch: 034, Train Loss: 0.1318667, Train Acc: 0.9526899, Test Acc: 0.8175182
Epoch: 035, Train Loss: 0.1356391, Train Acc: 0.9470127, Test Acc: 0.8053528
Epoch: 036, Train Loss: 0.1280369, Train Acc: 0.9475534, Test Acc: 0.8345499
Epoch: 037, Train Loss: 0.0851570, Train Acc: 0.9699919, Test Acc: 0.8540146
Epoch: 038, Train Loss: 0.0882242, Train Acc: 0.9659367, Test Acc: 0.8248175
Epoch: 039, Train Loss: 0.1236561, Train Acc: 0.9529603, Test Acc: 0.8175182
Epoch: 040, Train Loss: 0.1008917, Train Acc: 0.9602595, Test Acc: 0.8223844
Epoch: 041, Train Loss: 0.0341871, Train Acc: 0.9908083, Test Acc: 0.8321168
Epoch: 042, Train Loss: 0.0221897, Train Acc: 0.9943228, Test Acc: 0.8418491
Epoch: 043, Train Loss: 0.0367312, Train Acc: 0.9881049, Test Acc: 0.8467153
Epoch: 044, Train Loss: 0.0238732, Train Acc: 0.9935118, Test Acc: 0.8321168
Epoch: 045, Train Loss: 0.0133198, Train Acc: 0.9964855, Test Acc: 0.8321168
Epoch: 046, Train Loss: 0.0293125, Train Acc: 0.9899973, Test Acc: 0.8540146
Epoch: 047, Train Loss: 0.0205812, Train Acc: 0.9951338, Test Acc: 0.8418491
Epoch: 048, Train Loss: 0.0144114, Train Acc: 0.9959448, Test Acc: 0.8369830
Epoch: 049, Train Loss: 0.0160597, Train Acc: 0.9951338, Test Acc: 0.8418491
Epoch: 050, Train Loss: 0.0096395, Train Acc: 0.9972966, Test Acc: 0.8442822
Epoch: 051, Train Loss: 0.0168984, Train Acc: 0.9951338, Test Acc: 0.8369830
Epoch: 052, Train Loss: 0.0133466, Train Acc: 0.9962152, Test Acc: 0.8442822
Epoch: 053, Train Loss: 0.0151649, Train Acc: 0.9956745, Test Acc: 0.8418491
Epoch: 054, Train Loss: 0.0175349, Train Acc: 0.9954042, Test Acc: 0.8369830
Epoch: 055, Train Loss: 0.0119779, Train Acc: 0.9962152, Test Acc: 0.8613139
Epoch: 056, Train Loss: 0.0333538, Train Acc: 0.9875642, Test Acc: 0.8053528
Epoch: 057, Train Loss: 0.0301339, Train Acc: 0.9910787, Test Acc: 0.8418491
Epoch: 058, Train Loss: 0.0446091, Train Acc: 0.9843201, Test Acc: 0.8394161
Epoch: 059, Train Loss: 0.0244814, Train Acc: 0.9916194, Test Acc: 0.8369830
Epoch: 060, Train Loss: 0.0251509, Train Acc: 0.9918897, Test Acc: 0.8394161
Epoch: 061, Train Loss: 0.0463085, Train Acc: 0.9837794, Test Acc: 0.8588808
Epoch: 062, Train Loss: 0.0226312, Train Acc: 0.9932414, Test Acc: 0.8272506
Epoch: 063, Train Loss: 0.0231437, Train Acc: 0.9916194, Test Acc: 0.8394161
Epoch: 064, Train Loss: 0.0093449, Train Acc: 0.9970262, Test Acc: 0.8442822
Epoch: 065, Train Loss: 0.0139802, Train Acc: 0.9951338, Test Acc: 0.8321168
Epoch: 066, Train Loss: 0.0116062, Train Acc: 0.9970262, Test Acc: 0.8491484
Epoch: 067, Train Loss: 0.0078817, Train Acc: 0.9972966, Test Acc: 0.8345499
Epoch: 068, Train Loss: 0.0051086, Train Acc: 0.9981076, Test Acc: 0.8491484
Epoch: 069, Train Loss: 0.0045712, Train Acc: 0.9983779, Test Acc: 0.8418491
Epoch: 070, Train Loss: 0.0045913, Train Acc: 0.9986483, Test Acc: 0.8223844
Epoch: 071, Train Loss: 0.0050359, Train Acc: 0.9975669, Test Acc: 0.8564477
Epoch: 072, Train Loss: 0.0163255, Train Acc: 0.9954042, Test Acc: 0.8199513
