{'dataset_name': 'PROTEINS', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65, 'weight_decay': 0}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1673105738', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PROTEINS/board/'}
{'dataset_name': 'PROTEINS', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 1], [1, 1], [1, 1]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65, 'weight_decay': 0}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1673105740, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PROTEINS/board/', 'seed': 0}
Pre-process:   0%|          | 0/1113 [00:00<?, ?it/s]Pre-process:   5%|▌         | 60/1113 [00:00<00:01, 593.88it/s]Pre-process:  11%|█         | 120/1113 [00:00<00:01, 585.78it/s]Pre-process:  18%|█▊        | 202/1113 [00:00<00:01, 691.11it/s]Pre-process:  24%|██▍       | 272/1113 [00:00<00:01, 687.59it/s]Pre-process:  32%|███▏      | 352/1113 [00:00<00:01, 726.38it/s]Pre-process:  40%|████      | 446/1113 [00:00<00:00, 797.84it/s]Pre-process:  48%|████▊     | 536/1113 [00:00<00:00, 828.41it/s]Pre-process:  56%|█████▋    | 627/1113 [00:00<00:00, 852.29it/s]Pre-process:  65%|██████▍   | 722/1113 [00:00<00:00, 881.80it/s]Pre-process:  74%|███████▍  | 821/1113 [00:01<00:00, 913.34it/s]Pre-process:  82%|████████▏ | 913/1113 [00:01<00:00, 911.90it/s]Pre-process:  91%|█████████ | 1012/1113 [00:01<00:00, 933.66it/s]Pre-process: 100%|██████████| 1113/1113 [00:01<00:00, 956.01it/s]Pre-process: 100%|██████████| 1113/1113 [00:01<00:00, 847.80it/s]
Basis total: 4
train_set : test_set = %d : %d 1001 112
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 334466
Epoch: 001, Train Loss: 0.7146548, Train Acc: 0.6953047, Test Acc: 0.7053571
Epoch: 002, Train Loss: 0.5926556, Train Acc: 0.7012987, Test Acc: 0.6696429
Epoch: 003, Train Loss: 0.6044000, Train Acc: 0.7242757, Test Acc: 0.6607143
Epoch: 004, Train Loss: 0.6314926, Train Acc: 0.6903097, Test Acc: 0.6428571
Epoch: 005, Train Loss: 0.6427703, Train Acc: 0.7042957, Test Acc: 0.6696429
Epoch: 006, Train Loss: 0.5941936, Train Acc: 0.7132867, Test Acc: 0.6696429
Epoch: 007, Train Loss: 0.5792741, Train Acc: 0.7172827, Test Acc: 0.6607143
Epoch: 008, Train Loss: 0.5654460, Train Acc: 0.7292707, Test Acc: 0.6875000
Epoch: 009, Train Loss: 0.6025415, Train Acc: 0.7182817, Test Acc: 0.6875000
Epoch: 010, Train Loss: 0.5740827, Train Acc: 0.7072927, Test Acc: 0.6696429
Epoch: 011, Train Loss: 0.5635596, Train Acc: 0.7282717, Test Acc: 0.6607143
Epoch: 012, Train Loss: 0.6242769, Train Acc: 0.6483516, Test Acc: 0.5982143
Epoch: 013, Train Loss: 0.5629666, Train Acc: 0.7262737, Test Acc: 0.6696429
Epoch: 014, Train Loss: 0.5341359, Train Acc: 0.7422577, Test Acc: 0.7321429
Epoch: 015, Train Loss: 0.5406533, Train Acc: 0.7372627, Test Acc: 0.7142857
Epoch: 016, Train Loss: 0.5281274, Train Acc: 0.7462537, Test Acc: 0.7410714
Epoch: 017, Train Loss: 0.5286141, Train Acc: 0.7432567, Test Acc: 0.7321429
Epoch: 018, Train Loss: 0.5292416, Train Acc: 0.7532468, Test Acc: 0.7232143
Epoch: 019, Train Loss: 0.5326350, Train Acc: 0.7342657, Test Acc: 0.7232143
Epoch: 020, Train Loss: 0.6857007, Train Acc: 0.6203796, Test Acc: 0.5714286
Epoch: 021, Train Loss: 0.5689854, Train Acc: 0.7222777, Test Acc: 0.6517857
Epoch: 022, Train Loss: 0.5352332, Train Acc: 0.7462537, Test Acc: 0.7410714
Epoch: 023, Train Loss: 0.5309405, Train Acc: 0.7522478, Test Acc: 0.7321429
Epoch: 024, Train Loss: 0.5298086, Train Acc: 0.7442557, Test Acc: 0.6964286
Epoch: 025, Train Loss: 0.5626421, Train Acc: 0.7232767, Test Acc: 0.7142857
Epoch: 026, Train Loss: 0.5612091, Train Acc: 0.7252747, Test Acc: 0.7142857
Epoch: 027, Train Loss: 0.5975863, Train Acc: 0.6723277, Test Acc: 0.6250000
Epoch: 028, Train Loss: 0.5319766, Train Acc: 0.7412587, Test Acc: 0.7321429
Epoch: 029, Train Loss: 0.5194976, Train Acc: 0.7492507, Test Acc: 0.7232143
Epoch: 030, Train Loss: 0.5290315, Train Acc: 0.7302697, Test Acc: 0.7232143
