{'dataset_name': 'PROTEINS', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 451, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65, 'weight_decay': 0}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'S', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1673106082', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PROTEINS/board/'}
{'dataset_name': 'PROTEINS', 'basis': 'GSO', 'epsilon': [-0.3, -0.35, -0.4], 'power': [[1, 4], [1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 451, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65, 'weight_decay': 0}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'S', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1673106083, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PROTEINS/board/', 'seed': 0}
Pre-process:   0%|          | 0/1113 [00:00<?, ?it/s]Pre-process:   2%|▏         | 21/1113 [00:00<00:06, 176.14it/s]Pre-process:   7%|▋         | 77/1113 [00:00<00:03, 269.94it/s]Pre-process:  13%|█▎        | 148/1113 [00:00<00:02, 424.84it/s]Pre-process:  19%|█▉        | 209/1113 [00:00<00:01, 485.61it/s]Pre-process:  23%|██▎       | 261/1113 [00:00<00:01, 440.23it/s]Pre-process:  28%|██▊       | 310/1113 [00:00<00:01, 454.28it/s]Pre-process:  35%|███▌      | 395/1113 [00:00<00:01, 569.74it/s]Pre-process:  43%|████▎     | 476/1113 [00:00<00:01, 632.20it/s]Pre-process:  50%|████▉     | 554/1113 [00:01<00:00, 672.21it/s]Pre-process:  56%|█████▌    | 624/1113 [00:01<00:00, 678.95it/s]Pre-process:  63%|██████▎   | 705/1113 [00:01<00:00, 715.91it/s]Pre-process:  71%|███████   | 793/1113 [00:01<00:00, 763.49it/s]Pre-process:  79%|███████▉  | 878/1113 [00:01<00:00, 788.38it/s]Pre-process:  87%|████████▋ | 968/1113 [00:01<00:00, 821.21it/s]Pre-process:  95%|█████████▌| 1059/1113 [00:01<00:00, 846.58it/s]Pre-process: 100%|██████████| 1113/1113 [00:01<00:00, 651.85it/s]
Basis total: 13
train_set : test_set = %d : %d 1001 112
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 332546
Epoch: 001, Train Loss: 42.4339739, Train Acc: 0.3946054, Test Acc: 0.3750000
Epoch: 002, Train Loss: 18.3916272, Train Acc: 0.4885115, Test Acc: 0.5446429
Epoch: 003, Train Loss: 10.0245513, Train Acc: 0.6273726, Test Acc: 0.6517857
Epoch: 004, Train Loss: 14.4932068, Train Acc: 0.5274725, Test Acc: 0.4910714
Epoch: 005, Train Loss: 5.3396474, Train Acc: 0.6363636, Test Acc: 0.6428571
Epoch: 006, Train Loss: 2.5831721, Train Acc: 0.6823177, Test Acc: 0.6964286
Epoch: 007, Train Loss: 1.9266741, Train Acc: 0.6833167, Test Acc: 0.7053571
Epoch: 008, Train Loss: 2.2692779, Train Acc: 0.7142857, Test Acc: 0.7142857
Epoch: 009, Train Loss: 2.3590070, Train Acc: 0.6513487, Test Acc: 0.6875000
Epoch: 010, Train Loss: 1.9635762, Train Acc: 0.6703297, Test Acc: 0.6517857
Epoch: 011, Train Loss: 2.8154345, Train Acc: 0.6293706, Test Acc: 0.6339286
Epoch: 012, Train Loss: 4.5385886, Train Acc: 0.5924076, Test Acc: 0.5982143
Epoch: 013, Train Loss: 1.8361859, Train Acc: 0.5314685, Test Acc: 0.5446429
Epoch: 014, Train Loss: 2.4699798, Train Acc: 0.4815185, Test Acc: 0.4464286
Epoch: 015, Train Loss: 1.1575828, Train Acc: 0.6943057, Test Acc: 0.6517857
Epoch: 016, Train Loss: 1.5472630, Train Acc: 0.7452547, Test Acc: 0.7500000
Epoch: 017, Train Loss: 0.7011681, Train Acc: 0.7342657, Test Acc: 0.7232143
Epoch: 018, Train Loss: 0.6892864, Train Acc: 0.7262737, Test Acc: 0.6785714
Epoch: 019, Train Loss: 1.4726425, Train Acc: 0.5414585, Test Acc: 0.5714286
Epoch: 020, Train Loss: 1.6765899, Train Acc: 0.7082917, Test Acc: 0.6964286
Epoch: 021, Train Loss: 1.0450138, Train Acc: 0.7102897, Test Acc: 0.6964286
Epoch: 022, Train Loss: 0.8757128, Train Acc: 0.6603397, Test Acc: 0.6071429
Epoch: 023, Train Loss: 1.2559891, Train Acc: 0.7282717, Test Acc: 0.7321429
Epoch: 024, Train Loss: 0.7603831, Train Acc: 0.7222777, Test Acc: 0.6964286
Epoch: 025, Train Loss: 1.2779728, Train Acc: 0.7422577, Test Acc: 0.7678571
Epoch: 026, Train Loss: 0.6419848, Train Acc: 0.7512488, Test Acc: 0.7500000
Epoch: 027, Train Loss: 0.7075824, Train Acc: 0.7382617, Test Acc: 0.6785714
Epoch: 028, Train Loss: 1.8880608, Train Acc: 0.7432567, Test Acc: 0.7678571
Epoch: 029, Train Loss: 3.5714414, Train Acc: 0.5564436, Test Acc: 0.5625000
Epoch: 030, Train Loss: 0.7122723, Train Acc: 0.7382617, Test Acc: 0.6964286
Epoch: 031, Train Loss: 0.8646730, Train Acc: 0.6553447, Test Acc: 0.6428571
