{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [1, 1, 1, 1, [1, 2], [1, 2], [1, 2], [1, 2], [1, 3], [1, 3], [1, 3]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672657275', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [1, 1, 1, 1, [1, 2], [1, 2], [1, 2], [1, 2], [1, 3], [1, 3], [1, 3]], 'edgehop': 1, 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672657276, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Downloading ./dataset/PTC_MR.zip from https://www.chrsmrrs.com/graphkerneldatasets/PTC_MR.zip...
Extracting file to ./dataset/PTC_MR
No Node Attribute Data
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  22%|██▏       | 74/344 [00:00<00:00, 736.66it/s]Pre-process:  43%|████▎     | 148/344 [00:00<00:00, 707.22it/s]Pre-process:  65%|██████▌   | 224/344 [00:00<00:00, 729.17it/s]Pre-process:  88%|████████▊ | 301/344 [00:00<00:00, 744.53it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 740.42it/s]
Basis total: 22
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 339587
Epoch: 001, Train Loss: 1.0829037, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0467827, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9547694, Train Acc: 0.5016181, Test Acc: 0.5142857
Epoch: 004, Train Loss: 0.8525777, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 005, Train Loss: 0.7826424, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7307005, Train Acc: 0.4983819, Test Acc: 0.5142857
Epoch: 007, Train Loss: 0.7081850, Train Acc: 0.5210356, Test Acc: 0.5142857
Epoch: 008, Train Loss: 0.7039825, Train Acc: 0.4498382, Test Acc: 0.5142857
Epoch: 009, Train Loss: 0.6864052, Train Acc: 0.5016181, Test Acc: 0.5428571
Epoch: 010, Train Loss: 0.6403649, Train Acc: 0.6245955, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.6312022, Train Acc: 0.6245955, Test Acc: 0.5714286
Epoch: 012, Train Loss: 0.5663725, Train Acc: 0.7055016, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.5408381, Train Acc: 0.7378641, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.5092547, Train Acc: 0.7475728, Test Acc: 0.5428571
Epoch: 015, Train Loss: 0.5021991, Train Acc: 0.7540453, Test Acc: 0.6571429
Epoch: 016, Train Loss: 0.4807210, Train Acc: 0.7346278, Test Acc: 0.6000000
Epoch: 017, Train Loss: 0.4533483, Train Acc: 0.7961165, Test Acc: 0.5428571
Epoch: 018, Train Loss: 0.4543884, Train Acc: 0.7928803, Test Acc: 0.7142857
Epoch: 019, Train Loss: 0.4986859, Train Acc: 0.7572816, Test Acc: 0.6000000
Epoch: 020, Train Loss: 0.4846673, Train Acc: 0.7313916, Test Acc: 0.6285714
Epoch: 021, Train Loss: 0.4090251, Train Acc: 0.8187702, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.4034658, Train Acc: 0.8252427, Test Acc: 0.6857143
Epoch: 023, Train Loss: 0.4589409, Train Acc: 0.7669903, Test Acc: 0.6285714
Epoch: 024, Train Loss: 0.3784722, Train Acc: 0.8381877, Test Acc: 0.5428571
Epoch: 025, Train Loss: 0.3883738, Train Acc: 0.8252427, Test Acc: 0.5714286
Epoch: 026, Train Loss: 0.3747371, Train Acc: 0.8220065, Test Acc: 0.6285714
Epoch: 027, Train Loss: 0.5248746, Train Acc: 0.7313916, Test Acc: 0.6000000
Epoch: 028, Train Loss: 0.3971487, Train Acc: 0.7896440, Test Acc: 0.6000000
Epoch: 029, Train Loss: 0.3405572, Train Acc: 0.8673139, Test Acc: 0.5714286
Epoch: 030, Train Loss: 0.3686240, Train Acc: 0.8349515, Test Acc: 0.6571429
Epoch: 031, Train Loss: 0.3672671, Train Acc: 0.8122977, Test Acc: 0.6000000
Epoch: 032, Train Loss: 0.3158776, Train Acc: 0.8899676, Test Acc: 0.6000000
Epoch: 033, Train Loss: 0.3409111, Train Acc: 0.8511327, Test Acc: 0.5714286
Epoch: 034, Train Loss: 0.3156990, Train Acc: 0.8478964, Test Acc: 0.6000000
Epoch: 035, Train Loss: 0.4865165, Train Acc: 0.7313916, Test Acc: 0.6000000
Epoch: 036, Train Loss: 0.3339339, Train Acc: 0.8414239, Test Acc: 0.5142857
Epoch: 037, Train Loss: 0.3450636, Train Acc: 0.8478964, Test Acc: 0.5714286
Epoch: 038, Train Loss: 0.2777619, Train Acc: 0.8834951, Test Acc: 0.5714286
Epoch: 039, Train Loss: 0.2802005, Train Acc: 0.8867314, Test Acc: 0.5428571
Epoch: 040, Train Loss: 0.2622918, Train Acc: 0.8770227, Test Acc: 0.5428571
Epoch: 041, Train Loss: 0.2793391, Train Acc: 0.8640777, Test Acc: 0.5142857
Epoch: 042, Train Loss: 0.2428259, Train Acc: 0.8964401, Test Acc: 0.4571429
Epoch: 043, Train Loss: 0.2299217, Train Acc: 0.9061489, Test Acc: 0.5714286
Epoch: 044, Train Loss: 0.2339791, Train Acc: 0.9223301, Test Acc: 0.4857143
Epoch: 045, Train Loss: 0.2283979, Train Acc: 0.9288026, Test Acc: 0.4857143
Epoch: 046, Train Loss: 0.2248665, Train Acc: 0.9158576, Test Acc: 0.5142857
Epoch: 047, Train Loss: 0.2076939, Train Acc: 0.9288026, Test Acc: 0.4857143
Epoch: 048, Train Loss: 0.1955379, Train Acc: 0.9385113, Test Acc: 0.5714286
Epoch: 049, Train Loss: 0.1893019, Train Acc: 0.9320388, Test Acc: 0.4571429
Epoch: 050, Train Loss: 0.1803727, Train Acc: 0.9449838, Test Acc: 0.4857143
Epoch: 051, Train Loss: 0.2045560, Train Acc: 0.9223301, Test Acc: 0.5428571
Epoch: 052, Train Loss: 0.1988917, Train Acc: 0.9158576, Test Acc: 0.4285714
Epoch: 053, Train Loss: 0.1834643, Train Acc: 0.9385113, Test Acc: 0.5142857
Epoch: 054, Train Loss: 0.2229301, Train Acc: 0.8996764, Test Acc: 0.4857143
Epoch: 055, Train Loss: 0.2134605, Train Acc: 0.9061489, Test Acc: 0.4857143
Epoch: 056, Train Loss: 0.2275020, Train Acc: 0.8996764, Test Acc: 0.5714286
Epoch: 057, Train Loss: 0.3780632, Train Acc: 0.8122977, Test Acc: 0.5142857
