{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [[1, 3], [1, 3], [1, 3], [1, 4], [1, 4], [1, 4], [1, 4], [1, 5], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672657928', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [[1, 3], [1, 3], [1, 3], [1, 4], [1, 4], [1, 4], [1, 4], [1, 5], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672657929, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Downloading ./dataset/PTC_MR.zip from https://www.chrsmrrs.com/graphkerneldatasets/PTC_MR.zip...
Extracting file to ./dataset/PTC_MR
No Node Attribute Data
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  19%|█▊        | 64/344 [00:00<00:00, 630.81it/s]Pre-process:  37%|███▋      | 128/344 [00:00<00:00, 612.09it/s]Pre-process:  56%|█████▌    | 191/344 [00:00<00:00, 619.59it/s]Pre-process:  74%|███████▎  | 253/344 [00:00<00:00, 614.50it/s]Pre-process:  92%|█████████▏| 316/344 [00:00<00:00, 619.73it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 620.68it/s]
Basis total: 46
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 342659
Epoch: 001, Train Loss: 1.0641701, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0017059, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8974534, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7977262, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7461694, Train Acc: 0.5598706, Test Acc: 0.5142857
Epoch: 006, Train Loss: 0.7077955, Train Acc: 0.5889968, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6871301, Train Acc: 0.6051780, Test Acc: 0.4857143
Epoch: 008, Train Loss: 0.6603437, Train Acc: 0.6860841, Test Acc: 0.5142857
Epoch: 009, Train Loss: 0.6639377, Train Acc: 0.6019417, Test Acc: 0.4571429
Epoch: 010, Train Loss: 0.5904927, Train Acc: 0.7249191, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.5324030, Train Acc: 0.7378641, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.5383943, Train Acc: 0.7119741, Test Acc: 0.5142857
Epoch: 013, Train Loss: 0.4865165, Train Acc: 0.7475728, Test Acc: 0.5428571
Epoch: 014, Train Loss: 0.3974770, Train Acc: 0.8349515, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.4705767, Train Acc: 0.7799353, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.4167727, Train Acc: 0.7961165, Test Acc: 0.4857143
Epoch: 017, Train Loss: 0.3685003, Train Acc: 0.8640777, Test Acc: 0.5142857
Epoch: 018, Train Loss: 0.3887865, Train Acc: 0.7993528, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.3033983, Train Acc: 0.8932039, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.2967597, Train Acc: 0.8705502, Test Acc: 0.6000000
Epoch: 021, Train Loss: 0.3382358, Train Acc: 0.8381877, Test Acc: 0.6285714
Epoch: 022, Train Loss: 0.3048965, Train Acc: 0.8543689, Test Acc: 0.4857143
Epoch: 023, Train Loss: 0.2639274, Train Acc: 0.8802589, Test Acc: 0.6285714
Epoch: 024, Train Loss: 0.2100924, Train Acc: 0.9190939, Test Acc: 0.6571429
Epoch: 025, Train Loss: 0.2015913, Train Acc: 0.9190939, Test Acc: 0.5142857
Epoch: 026, Train Loss: 0.1794915, Train Acc: 0.9417476, Test Acc: 0.5714286
Epoch: 027, Train Loss: 0.1750574, Train Acc: 0.9320388, Test Acc: 0.6000000
Epoch: 028, Train Loss: 0.2565594, Train Acc: 0.8899676, Test Acc: 0.5142857
