{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [[1, 3], [1, 3], [1, 3], [1, 4], [1, 4], [1, 4], [1, 4], [1, 5], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672658583', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [[1, 3], [1, 3], [1, 3], [1, 4], [1, 4], [1, 4], [1, 4], [1, 5], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672658585, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  17%|█▋        | 59/344 [00:00<00:00, 589.29it/s]Pre-process:  35%|███▌      | 122/344 [00:00<00:00, 612.95it/s]Pre-process:  53%|█████▎    | 184/344 [00:00<00:00, 615.06it/s]Pre-process:  72%|███████▏  | 246/344 [00:00<00:00, 616.75it/s]Pre-process:  90%|█████████ | 310/344 [00:00<00:00, 623.44it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 618.25it/s]
Basis total: 46
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 342659
Epoch: 001, Train Loss: 1.1039704, Train Acc: 0.0000000, Test Acc: 0.0000000
Epoch: 002, Train Loss: 1.1044647, Train Acc: 0.0000000, Test Acc: 0.0000000
Epoch: 003, Train Loss: 1.1079077, Train Acc: 0.0000000, Test Acc: 0.0000000
Epoch: 004, Train Loss: 1.1061924, Train Acc: 0.0000000, Test Acc: 0.0000000
Epoch: 005, Train Loss: 1.0925434, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 006, Train Loss: 1.0734606, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 007, Train Loss: 1.0423406, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 008, Train Loss: 0.9881012, Train Acc: 0.5307443, Test Acc: 0.4285714
Epoch: 009, Train Loss: 0.7943963, Train Acc: 0.5436893, Test Acc: 0.4571429
Epoch: 010, Train Loss: 0.6942766, Train Acc: 0.5922330, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.6271119, Train Acc: 0.6731392, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.7003646, Train Acc: 0.6537217, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.4972848, Train Acc: 0.7540453, Test Acc: 0.6285714
Epoch: 014, Train Loss: 0.5342981, Train Acc: 0.7216828, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.4623986, Train Acc: 0.7378641, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.5282405, Train Acc: 0.7411003, Test Acc: 0.4571429
Epoch: 017, Train Loss: 0.6642771, Train Acc: 0.7022654, Test Acc: 0.5714286
Epoch: 018, Train Loss: 0.4690711, Train Acc: 0.7572816, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.4719046, Train Acc: 0.7540453, Test Acc: 0.5714286
Epoch: 020, Train Loss: 0.3742006, Train Acc: 0.8155340, Test Acc: 0.4857143
Epoch: 021, Train Loss: 0.5547299, Train Acc: 0.7313916, Test Acc: 0.5142857
Epoch: 022, Train Loss: 0.3835261, Train Acc: 0.8187702, Test Acc: 0.5428571
Epoch: 023, Train Loss: 0.3761348, Train Acc: 0.8317152, Test Acc: 0.5142857
Epoch: 024, Train Loss: 0.3981823, Train Acc: 0.7993528, Test Acc: 0.5142857
Epoch: 025, Train Loss: 0.3418051, Train Acc: 0.8252427, Test Acc: 0.5142857
Epoch: 026, Train Loss: 0.4111982, Train Acc: 0.7928803, Test Acc: 0.5714286
Epoch: 027, Train Loss: 0.2970329, Train Acc: 0.8511327, Test Acc: 0.5142857
Epoch: 028, Train Loss: 0.3275422, Train Acc: 0.8673139, Test Acc: 0.4857143
Epoch: 029, Train Loss: 0.2927645, Train Acc: 0.8478964, Test Acc: 0.5428571
Epoch: 030, Train Loss: 0.3494437, Train Acc: 0.8220065, Test Acc: 0.6000000
Epoch: 031, Train Loss: 0.2729268, Train Acc: 0.8737864, Test Acc: 0.6571429
Epoch: 032, Train Loss: 0.2367599, Train Acc: 0.8964401, Test Acc: 0.6571429
Epoch: 033, Train Loss: 0.2724802, Train Acc: 0.8608414, Test Acc: 0.4857143
Epoch: 034, Train Loss: 0.3983075, Train Acc: 0.8187702, Test Acc: 0.5142857
Epoch: 035, Train Loss: 0.1826825, Train Acc: 0.9223301, Test Acc: 0.6000000
Epoch: 036, Train Loss: 0.1748644, Train Acc: 0.9288026, Test Acc: 0.6571429
Epoch: 037, Train Loss: 0.1967288, Train Acc: 0.9093851, Test Acc: 0.5428571
Epoch: 038, Train Loss: 0.1454562, Train Acc: 0.9352751, Test Acc: 0.5428571
Epoch: 039, Train Loss: 0.2663769, Train Acc: 0.9061489, Test Acc: 0.5428571
Epoch: 040, Train Loss: 0.1485233, Train Acc: 0.9255663, Test Acc: 0.6571429
Epoch: 041, Train Loss: 0.1598737, Train Acc: 0.9288026, Test Acc: 0.6000000
Epoch: 042, Train Loss: 0.1868307, Train Acc: 0.9061489, Test Acc: 0.4857143
