{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.3], 'power': [[1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672659334', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.3], 'power': [[1, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672659336, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  28%|██▊       | 98/344 [00:00<00:00, 971.02it/s]Pre-process:  58%|█████▊    | 198/344 [00:00<00:00, 987.65it/s]Pre-process:  87%|████████▋ | 299/344 [00:00<00:00, 996.13it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 994.02it/s]
Basis total: 7
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337667
Epoch: 001, Train Loss: 1.0730552, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0187349, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9218496, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8237635, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7597888, Train Acc: 0.4919094, Test Acc: 0.4857143
Epoch: 006, Train Loss: 0.7108814, Train Acc: 0.5987055, Test Acc: 0.5714286
Epoch: 007, Train Loss: 0.6882061, Train Acc: 0.6116505, Test Acc: 0.6000000
Epoch: 008, Train Loss: 0.6725869, Train Acc: 0.5792880, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6580821, Train Acc: 0.5889968, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6383405, Train Acc: 0.6019417, Test Acc: 0.6000000
Epoch: 011, Train Loss: 0.5839014, Train Acc: 0.6504854, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.5530747, Train Acc: 0.6796117, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.4772673, Train Acc: 0.7605178, Test Acc: 0.6000000
Epoch: 014, Train Loss: 0.3899440, Train Acc: 0.8446602, Test Acc: 0.6285714
Epoch: 015, Train Loss: 0.3747288, Train Acc: 0.8414239, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4632450, Train Acc: 0.7508091, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.3909961, Train Acc: 0.8155340, Test Acc: 0.4285714
Epoch: 018, Train Loss: 0.3320267, Train Acc: 0.8414239, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.3987601, Train Acc: 0.8122977, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.3202926, Train Acc: 0.8576052, Test Acc: 0.6000000
