{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3], 'power': [[1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672659972', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3], 'power': [[1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672659973, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  27%|██▋       | 94/344 [00:00<00:00, 932.53it/s]Pre-process:  56%|█████▌    | 191/344 [00:00<00:00, 952.74it/s]Pre-process:  84%|████████▍ | 289/344 [00:00<00:00, 961.28it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 960.59it/s]
Basis total: 9
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337923
Epoch: 001, Train Loss: 1.0879015, Train Acc: 0.5566343, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0504915, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9578057, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8631497, Train Acc: 0.5728155, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7870687, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7482243, Train Acc: 0.5307443, Test Acc: 0.4571429
Epoch: 007, Train Loss: 0.7069403, Train Acc: 0.6213592, Test Acc: 0.4857143
Epoch: 008, Train Loss: 0.6932192, Train Acc: 0.5533981, Test Acc: 0.4000000
Epoch: 009, Train Loss: 0.6455652, Train Acc: 0.7055016, Test Acc: 0.4857143
Epoch: 010, Train Loss: 0.6151140, Train Acc: 0.6925566, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.5711303, Train Acc: 0.7281553, Test Acc: 0.4857143
Epoch: 012, Train Loss: 0.5465065, Train Acc: 0.7152104, Test Acc: 0.4285714
Epoch: 013, Train Loss: 0.5123526, Train Acc: 0.7313916, Test Acc: 0.5142857
Epoch: 014, Train Loss: 0.4512355, Train Acc: 0.8058252, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.4958121, Train Acc: 0.7152104, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4347001, Train Acc: 0.7864078, Test Acc: 0.4857143
Epoch: 017, Train Loss: 0.4912857, Train Acc: 0.7669903, Test Acc: 0.5142857
Epoch: 018, Train Loss: 0.5765824, Train Acc: 0.7216828, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.3868548, Train Acc: 0.8478964, Test Acc: 0.5142857
Epoch: 020, Train Loss: 0.3648384, Train Acc: 0.8252427, Test Acc: 0.6571429
Epoch: 021, Train Loss: 0.2954274, Train Acc: 0.9029126, Test Acc: 0.5714286
Epoch: 022, Train Loss: 0.2973995, Train Acc: 0.8964401, Test Acc: 0.5142857
Epoch: 023, Train Loss: 0.3442006, Train Acc: 0.8381877, Test Acc: 0.5428571
Epoch: 024, Train Loss: 0.2729792, Train Acc: 0.9029126, Test Acc: 0.5142857
