{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3], 'power': [[2, 6], [2, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672660247', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3], 'power': [[2, 6], [2, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672660249, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  26%|██▋       | 91/344 [00:00<00:00, 903.63it/s]Pre-process:  53%|█████▎    | 184/344 [00:00<00:00, 918.90it/s]Pre-process:  81%|████████  | 278/344 [00:00<00:00, 924.13it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 925.86it/s]
Basis total: 11
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 338179
Epoch: 001, Train Loss: 1.0773322, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0222890, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9223079, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8255958, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7603812, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7185096, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6907580, Train Acc: 0.5987055, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6689274, Train Acc: 0.5954693, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6438976, Train Acc: 0.6213592, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6264462, Train Acc: 0.6278317, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.5617792, Train Acc: 0.7249191, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.5266277, Train Acc: 0.7378641, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.4826188, Train Acc: 0.7831715, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.4486853, Train Acc: 0.7896440, Test Acc: 0.5428571
Epoch: 015, Train Loss: 0.4482529, Train Acc: 0.7734628, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.4907213, Train Acc: 0.7346278, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.3957027, Train Acc: 0.8252427, Test Acc: 0.5142857
Epoch: 018, Train Loss: 0.3972284, Train Acc: 0.8025890, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.3497664, Train Acc: 0.8414239, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.3264526, Train Acc: 0.8576052, Test Acc: 0.5428571
Epoch: 021, Train Loss: 0.3289055, Train Acc: 0.8673139, Test Acc: 0.6000000
