{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.1, -0.2, -0.3], 'power': [[3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672660702', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.1, -0.2, -0.3], 'power': [[3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672660704, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  27%|██▋       | 92/344 [00:00<00:00, 910.42it/s]Pre-process:  54%|█████▍    | 186/344 [00:00<00:00, 925.06it/s]Pre-process:  81%|████████▏ | 280/344 [00:00<00:00, 929.73it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 930.84it/s]
Basis total: 7
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337667
Epoch: 001, Train Loss: 1.0711150, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0054721, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9106334, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8210578, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7578851, Train Acc: 0.5631068, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7118887, Train Acc: 0.5728155, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6854779, Train Acc: 0.5889968, Test Acc: 0.5428571
Epoch: 008, Train Loss: 0.6654107, Train Acc: 0.5889968, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6550757, Train Acc: 0.5954693, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6055105, Train Acc: 0.6699029, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.5694255, Train Acc: 0.7055016, Test Acc: 0.5142857
Epoch: 012, Train Loss: 0.5405543, Train Acc: 0.7378641, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.4686328, Train Acc: 0.7766990, Test Acc: 0.5428571
Epoch: 014, Train Loss: 0.4390592, Train Acc: 0.7864078, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.4329683, Train Acc: 0.7928803, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4622363, Train Acc: 0.7605178, Test Acc: 0.6285714
Epoch: 017, Train Loss: 0.4296481, Train Acc: 0.8025890, Test Acc: 0.5714286
Epoch: 018, Train Loss: 0.3743543, Train Acc: 0.8155340, Test Acc: 0.6285714
Epoch: 019, Train Loss: 0.3826988, Train Acc: 0.8187702, Test Acc: 0.5714286
Epoch: 020, Train Loss: 0.3558447, Train Acc: 0.8381877, Test Acc: 0.5142857
Epoch: 021, Train Loss: 0.3197361, Train Acc: 0.8543689, Test Acc: 0.4857143
Epoch: 022, Train Loss: 0.3022399, Train Acc: 0.8932039, Test Acc: 0.5428571
Epoch: 023, Train Loss: 0.3369779, Train Acc: 0.8122977, Test Acc: 0.6000000
Epoch: 024, Train Loss: 0.2493830, Train Acc: 0.9190939, Test Acc: 0.5714286
Epoch: 025, Train Loss: 0.2302863, Train Acc: 0.9352751, Test Acc: 0.6000000
Epoch: 026, Train Loss: 0.2861828, Train Acc: 0.8640777, Test Acc: 0.6285714
Epoch: 027, Train Loss: 0.2060975, Train Acc: 0.9255663, Test Acc: 0.6000000
Epoch: 028, Train Loss: 0.2590167, Train Acc: 0.8770227, Test Acc: 0.6285714
Epoch: 029, Train Loss: 0.5385816, Train Acc: 0.7443366, Test Acc: 0.4571429
Epoch: 030, Train Loss: 0.2219370, Train Acc: 0.9190939, Test Acc: 0.6000000
Epoch: 031, Train Loss: 0.1827646, Train Acc: 0.9385113, Test Acc: 0.6000000
Epoch: 032, Train Loss: 0.1979291, Train Acc: 0.9255663, Test Acc: 0.6000000
Epoch: 033, Train Loss: 0.3677673, Train Acc: 0.8187702, Test Acc: 0.5714286
Epoch: 034, Train Loss: 0.4755974, Train Acc: 0.7864078, Test Acc: 0.6000000
Epoch: 035, Train Loss: 0.3283984, Train Acc: 0.8381877, Test Acc: 0.6000000
Epoch: 036, Train Loss: 0.2597323, Train Acc: 0.8867314, Test Acc: 0.5714286
Epoch: 037, Train Loss: 0.2319167, Train Acc: 0.8996764, Test Acc: 0.6000000
Epoch: 038, Train Loss: 0.1525719, Train Acc: 0.9385113, Test Acc: 0.6571429
Epoch: 039, Train Loss: 0.1148088, Train Acc: 0.9579288, Test Acc: 0.6285714
Epoch: 040, Train Loss: 0.1464506, Train Acc: 0.9385113, Test Acc: 0.6000000
Epoch: 041, Train Loss: 0.0999546, Train Acc: 0.9676375, Test Acc: 0.6000000
