{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3, -0.4, -0.5], 'power': [[3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672661196', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3, -0.4, -0.5], 'power': [[3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672661197, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  26%|██▌       | 88/344 [00:00<00:00, 876.23it/s]Pre-process:  52%|█████▏    | 179/344 [00:00<00:00, 890.78it/s]Pre-process:  78%|███████▊  | 270/344 [00:00<00:00, 895.46it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 897.02it/s]
Basis total: 9
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337923
Epoch: 001, Train Loss: 1.0792877, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0345852, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9339303, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8378476, Train Acc: 0.6278317, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7710978, Train Acc: 0.5728155, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7391265, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 007, Train Loss: 0.7034738, Train Acc: 0.5792880, Test Acc: 0.5142857
Epoch: 008, Train Loss: 0.6923562, Train Acc: 0.5339806, Test Acc: 0.4571429
Epoch: 009, Train Loss: 0.6425103, Train Acc: 0.6375405, Test Acc: 0.6000000
Epoch: 010, Train Loss: 0.6096036, Train Acc: 0.7152104, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.5765136, Train Acc: 0.7443366, Test Acc: 0.4857143
Epoch: 012, Train Loss: 0.5453747, Train Acc: 0.6860841, Test Acc: 0.6285714
Epoch: 013, Train Loss: 0.5492476, Train Acc: 0.6925566, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.4728389, Train Acc: 0.7572816, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.4956475, Train Acc: 0.7313916, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.5091617, Train Acc: 0.7184466, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.4623269, Train Acc: 0.7669903, Test Acc: 0.6285714
Epoch: 018, Train Loss: 0.7440104, Train Acc: 0.6860841, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.3819236, Train Acc: 0.8252427, Test Acc: 0.6857143
Epoch: 020, Train Loss: 0.3748631, Train Acc: 0.8284790, Test Acc: 0.6857143
Epoch: 021, Train Loss: 0.3327621, Train Acc: 0.8608414, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.3184150, Train Acc: 0.8446602, Test Acc: 0.5428571
