{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3, -0.4], 'power': [[1, 4], [2, 4], [2, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672661707', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2, -0.3, -0.4], 'power': [[1, 4], [2, 4], [2, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672661709, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  26%|██▋       | 91/344 [00:00<00:00, 904.75it/s]Pre-process:  54%|█████▍    | 185/344 [00:00<00:00, 923.40it/s]Pre-process:  81%|████████  | 278/344 [00:00<00:00, 925.40it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 928.11it/s]
Basis total: 11
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 338179
Epoch: 001, Train Loss: 1.0816278, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0505767, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9661042, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8658631, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7809934, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7303944, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6964746, Train Acc: 0.5760518, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6708238, Train Acc: 0.5760518, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6441820, Train Acc: 0.6310680, Test Acc: 0.6000000
Epoch: 010, Train Loss: 0.6218442, Train Acc: 0.6375405, Test Acc: 0.6285714
Epoch: 011, Train Loss: 0.5815674, Train Acc: 0.6828479, Test Acc: 0.5714286
Epoch: 012, Train Loss: 0.5331101, Train Acc: 0.7281553, Test Acc: 0.4571429
Epoch: 013, Train Loss: 0.5012444, Train Acc: 0.7766990, Test Acc: 0.4857143
Epoch: 014, Train Loss: 0.4669267, Train Acc: 0.7896440, Test Acc: 0.4857143
Epoch: 015, Train Loss: 0.4548691, Train Acc: 0.7896440, Test Acc: 0.4571429
Epoch: 016, Train Loss: 0.4598189, Train Acc: 0.7378641, Test Acc: 0.5428571
Epoch: 017, Train Loss: 0.4793796, Train Acc: 0.7605178, Test Acc: 0.5142857
Epoch: 018, Train Loss: 0.4052478, Train Acc: 0.8155340, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.3960574, Train Acc: 0.8155340, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.3807075, Train Acc: 0.8252427, Test Acc: 0.4857143
Epoch: 021, Train Loss: 0.4071569, Train Acc: 0.7993528, Test Acc: 0.5428571
