{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2], 'power': [[1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672662217', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.2], 'power': [[1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672662219, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  30%|██▉       | 102/344 [00:00<00:00, 1016.06it/s]Pre-process:  60%|██████    | 208/344 [00:00<00:00, 1038.36it/s]Pre-process:  91%|█████████▏| 314/344 [00:00<00:00, 1047.18it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 1044.25it/s]
Basis total: 5
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337411
Epoch: 001, Train Loss: 1.0707881, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0127746, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9067412, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8023536, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7352068, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7015067, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6776278, Train Acc: 0.5792880, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6727391, Train Acc: 0.5792880, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6317064, Train Acc: 0.6828479, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6112357, Train Acc: 0.6537217, Test Acc: 0.6285714
Epoch: 011, Train Loss: 0.5446125, Train Acc: 0.7281553, Test Acc: 0.6000000
Epoch: 012, Train Loss: 0.5128291, Train Acc: 0.7055016, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.4256176, Train Acc: 0.7993528, Test Acc: 0.6000000
Epoch: 014, Train Loss: 0.4339946, Train Acc: 0.7766990, Test Acc: 0.5428571
Epoch: 015, Train Loss: 0.4138306, Train Acc: 0.8090615, Test Acc: 0.5714286
Epoch: 016, Train Loss: 0.3620072, Train Acc: 0.8414239, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.4416213, Train Acc: 0.7896440, Test Acc: 0.5714286
Epoch: 018, Train Loss: 0.3353680, Train Acc: 0.8414239, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.3342293, Train Acc: 0.8543689, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.4537711, Train Acc: 0.7702265, Test Acc: 0.5714286
Epoch: 021, Train Loss: 0.4439818, Train Acc: 0.7572816, Test Acc: 0.4857143
Epoch: 022, Train Loss: 0.5329942, Train Acc: 0.7993528, Test Acc: 0.5714286
Epoch: 023, Train Loss: 0.3848224, Train Acc: 0.8025890, Test Acc: 0.6000000
Epoch: 024, Train Loss: 0.2275084, Train Acc: 0.8899676, Test Acc: 0.6000000
Epoch: 025, Train Loss: 0.2531834, Train Acc: 0.8802589, Test Acc: 0.5714286
Epoch: 026, Train Loss: 0.1736325, Train Acc: 0.9482201, Test Acc: 0.6000000
Epoch: 027, Train Loss: 0.2025988, Train Acc: 0.9061489, Test Acc: 0.5428571
Epoch: 028, Train Loss: 0.1759506, Train Acc: 0.9352751, Test Acc: 0.5428571
Epoch: 029, Train Loss: 0.2325342, Train Acc: 0.8899676, Test Acc: 0.5428571
Epoch: 030, Train Loss: 0.1866805, Train Acc: 0.9223301, Test Acc: 0.5714286
Epoch: 031, Train Loss: 0.1647969, Train Acc: 0.9385113, Test Acc: 0.5714286
Epoch: 032, Train Loss: 0.1975065, Train Acc: 0.9093851, Test Acc: 0.5714286
Epoch: 033, Train Loss: 0.0917422, Train Acc: 0.9708738, Test Acc: 0.6000000
Epoch: 034, Train Loss: 0.1033682, Train Acc: 0.9644013, Test Acc: 0.6285714
Epoch: 035, Train Loss: 0.0838125, Train Acc: 0.9741100, Test Acc: 0.6285714
Epoch: 036, Train Loss: 0.0842851, Train Acc: 0.9644013, Test Acc: 0.6571429
Epoch: 037, Train Loss: 0.0846845, Train Acc: 0.9644013, Test Acc: 0.6000000
Epoch: 038, Train Loss: 0.0754079, Train Acc: 0.9676375, Test Acc: 0.6000000
Epoch: 039, Train Loss: 0.0710471, Train Acc: 0.9805825, Test Acc: 0.6285714
Epoch: 040, Train Loss: 0.1333196, Train Acc: 0.9546926, Test Acc: 0.6857143
Epoch: 041, Train Loss: 0.1046479, Train Acc: 0.9579288, Test Acc: 0.6571429
Epoch: 042, Train Loss: 0.1647465, Train Acc: 0.9385113, Test Acc: 0.6285714
Epoch: 043, Train Loss: 0.0775178, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 044, Train Loss: 0.1137926, Train Acc: 0.9546926, Test Acc: 0.6285714
Epoch: 045, Train Loss: 0.0979101, Train Acc: 0.9546926, Test Acc: 0.6285714
Epoch: 046, Train Loss: 0.0727538, Train Acc: 0.9773463, Test Acc: 0.6285714
Epoch: 047, Train Loss: 0.0540201, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 048, Train Loss: 0.0595580, Train Acc: 0.9805825, Test Acc: 0.6857143
Epoch: 049, Train Loss: 0.0679785, Train Acc: 0.9805825, Test Acc: 0.5714286
Epoch: 050, Train Loss: 0.0586378, Train Acc: 0.9838188, Test Acc: 0.6571429
Epoch: 051, Train Loss: 0.0455134, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 052, Train Loss: 0.0444114, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 053, Train Loss: 0.0443413, Train Acc: 0.9838188, Test Acc: 0.6857143
Epoch: 054, Train Loss: 0.0358771, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 055, Train Loss: 0.0378794, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 056, Train Loss: 0.0360529, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 057, Train Loss: 0.0505002, Train Acc: 0.9773463, Test Acc: 0.5714286
Epoch: 058, Train Loss: 0.0396734, Train Acc: 0.9838188, Test Acc: 0.6000000
Epoch: 059, Train Loss: 0.0382712, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 060, Train Loss: 0.0837963, Train Acc: 0.9644013, Test Acc: 0.6000000
Epoch: 061, Train Loss: 0.0408244, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 062, Train Loss: 0.0368849, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 063, Train Loss: 0.0349373, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 064, Train Loss: 0.0334289, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 065, Train Loss: 0.0368596, Train Acc: 0.9838188, Test Acc: 0.6571429
Epoch: 066, Train Loss: 0.0335318, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 067, Train Loss: 0.0301362, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 068, Train Loss: 0.0271666, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 069, Train Loss: 0.0329935, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 070, Train Loss: 0.0296289, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 071, Train Loss: 0.0254594, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 072, Train Loss: 0.0261237, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 073, Train Loss: 0.0256263, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 074, Train Loss: 0.0250367, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 075, Train Loss: 0.0244703, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 076, Train Loss: 0.0247291, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 077, Train Loss: 0.0242564, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 078, Train Loss: 0.0246221, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 079, Train Loss: 0.0250478, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 080, Train Loss: 0.0250189, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 081, Train Loss: 0.0248101, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 082, Train Loss: 0.0237063, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 083, Train Loss: 0.0258734, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 084, Train Loss: 0.0244256, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 085, Train Loss: 0.0235372, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 086, Train Loss: 0.0246842, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 087, Train Loss: 0.0230239, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 088, Train Loss: 0.0232763, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 089, Train Loss: 0.0235149, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 090, Train Loss: 0.0229872, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 091, Train Loss: 0.0228426, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 092, Train Loss: 0.0231941, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 093, Train Loss: 0.0231276, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 094, Train Loss: 0.0226348, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 095, Train Loss: 0.0225148, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 096, Train Loss: 0.0226304, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 097, Train Loss: 0.0225921, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 098, Train Loss: 0.0227271, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 099, Train Loss: 0.0225879, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 100, Train Loss: 0.0225435, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 101, Train Loss: 0.0227026, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 102, Train Loss: 0.0225962, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 103, Train Loss: 0.0225640, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 104, Train Loss: 0.0223812, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 105, Train Loss: 0.0228894, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 106, Train Loss: 0.0222516, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 107, Train Loss: 0.0232158, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 108, Train Loss: 0.0225832, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 109, Train Loss: 0.0229460, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 110, Train Loss: 0.0229623, Train Acc: 0.9870550, Test Acc: 0.6285714
