{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.3], 'power': [[1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672662537', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.3], 'power': [[1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672662538, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  30%|██▉       | 102/344 [00:00<00:00, 1011.75it/s]Pre-process:  60%|██████    | 208/344 [00:00<00:00, 1036.08it/s]Pre-process:  91%|█████████ | 313/344 [00:00<00:00, 1041.35it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 1038.64it/s]
Basis total: 5
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337411
Epoch: 001, Train Loss: 1.0744936, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0101684, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9074625, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8093177, Train Acc: 0.5954693, Test Acc: 0.5714286
Epoch: 005, Train Loss: 0.7488607, Train Acc: 0.5760518, Test Acc: 0.4857143
Epoch: 006, Train Loss: 0.7099471, Train Acc: 0.6148867, Test Acc: 0.5714286
Epoch: 007, Train Loss: 0.7069257, Train Acc: 0.4724919, Test Acc: 0.4285714
Epoch: 008, Train Loss: 0.6690284, Train Acc: 0.6343042, Test Acc: 0.6000000
Epoch: 009, Train Loss: 0.6706324, Train Acc: 0.6245955, Test Acc: 0.4857143
Epoch: 010, Train Loss: 0.6292957, Train Acc: 0.6343042, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.5733617, Train Acc: 0.6957929, Test Acc: 0.5714286
Epoch: 012, Train Loss: 0.5237724, Train Acc: 0.7152104, Test Acc: 0.5714286
Epoch: 013, Train Loss: 0.4751107, Train Acc: 0.7961165, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.4407633, Train Acc: 0.8284790, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.5168838, Train Acc: 0.7055016, Test Acc: 0.4285714
Epoch: 016, Train Loss: 0.4094426, Train Acc: 0.7831715, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.5182584, Train Acc: 0.7313916, Test Acc: 0.4857143
Epoch: 018, Train Loss: 0.4013616, Train Acc: 0.7702265, Test Acc: 0.4571429
Epoch: 019, Train Loss: 0.3401089, Train Acc: 0.8673139, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.4620058, Train Acc: 0.7896440, Test Acc: 0.4000000
Epoch: 021, Train Loss: 0.3624870, Train Acc: 0.8122977, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.3994984, Train Acc: 0.7993528, Test Acc: 0.5428571
Epoch: 023, Train Loss: 0.4034108, Train Acc: 0.7799353, Test Acc: 0.5428571
Epoch: 024, Train Loss: 0.3290926, Train Acc: 0.8349515, Test Acc: 0.6285714
Epoch: 025, Train Loss: 0.2699662, Train Acc: 0.9061489, Test Acc: 0.5142857
Epoch: 026, Train Loss: 0.2309435, Train Acc: 0.9223301, Test Acc: 0.6000000
Epoch: 027, Train Loss: 0.2239670, Train Acc: 0.9288026, Test Acc: 0.6285714
Epoch: 028, Train Loss: 0.2555225, Train Acc: 0.8802589, Test Acc: 0.5142857
Epoch: 029, Train Loss: 0.3059942, Train Acc: 0.8511327, Test Acc: 0.5714286
Epoch: 030, Train Loss: 0.3233268, Train Acc: 0.8446602, Test Acc: 0.5142857
Epoch: 031, Train Loss: 0.1545560, Train Acc: 0.9514563, Test Acc: 0.5428571
Epoch: 032, Train Loss: 0.1542654, Train Acc: 0.9546926, Test Acc: 0.5714286
