{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.35], 'power': [[1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': '1672662868', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.35], 'power': [[1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': 'ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6', 'time_stamp': 1672662869, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  28%|██▊       | 96/344 [00:00<00:00, 956.56it/s]Pre-process:  56%|█████▋    | 194/344 [00:00<00:00, 968.51it/s]Pre-process:  85%|████████▌ | 293/344 [00:00<00:00, 976.86it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 977.60it/s]
Basis total: 9
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=ec64e75a8232f48c03f99d3b12e6bb6fe2104cc6
#Params: 337923
Epoch: 001, Train Loss: 1.0888274, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0477926, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9431539, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8375436, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7651362, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7276689, Train Acc: 0.6148867, Test Acc: 0.6285714
Epoch: 007, Train Loss: 0.7005200, Train Acc: 0.5889968, Test Acc: 0.6285714
Epoch: 008, Train Loss: 0.6821125, Train Acc: 0.6407767, Test Acc: 0.6000000
Epoch: 009, Train Loss: 0.6536060, Train Acc: 0.6440129, Test Acc: 0.5428571
Epoch: 010, Train Loss: 0.6258813, Train Acc: 0.6537217, Test Acc: 0.6000000
Epoch: 011, Train Loss: 0.5783704, Train Acc: 0.7216828, Test Acc: 0.5142857
Epoch: 012, Train Loss: 0.5366341, Train Acc: 0.7508091, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.5042937, Train Acc: 0.7508091, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.4667085, Train Acc: 0.7928803, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.4723453, Train Acc: 0.7411003, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.4697626, Train Acc: 0.7508091, Test Acc: 0.5142857
Epoch: 017, Train Loss: 0.4625870, Train Acc: 0.7475728, Test Acc: 0.4285714
Epoch: 018, Train Loss: 0.4117899, Train Acc: 0.7928803, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.4018806, Train Acc: 0.8025890, Test Acc: 0.4857143
Epoch: 020, Train Loss: 0.3636954, Train Acc: 0.8220065, Test Acc: 0.6000000
