{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [[1, 3], [1, 3], [1, 3], [1, 4], [1, 4], [1, 4], [1, 4], [1, 5], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672667614', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.05, -0.1, -0.15, -0.2, -0.25, -0.3, -0.35, -0.4, -0.45, -0.5], 'power': [[1, 3], [1, 3], [1, 3], [1, 4], [1, 4], [1, 4], [1, 4], [1, 5], [1, 5], [1, 5], [1, 5]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'ReLU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672667615, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  18%|█▊        | 62/344 [00:00<00:00, 612.65it/s]Pre-process:  37%|███▋      | 126/344 [00:00<00:00, 625.91it/s]Pre-process:  55%|█████▍    | 189/344 [00:00<00:00, 621.63it/s]Pre-process:  73%|███████▎  | 252/344 [00:00<00:00, 622.70it/s]Pre-process:  92%|█████████▏| 317/344 [00:00<00:00, 631.48it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 627.76it/s]
Basis total: 46
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 424067
Epoch: 001, Train Loss: 1.0476986, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9492802, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8534498, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7814679, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7294830, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7005640, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6914675, Train Acc: 0.5663430, Test Acc: 0.5428571
Epoch: 008, Train Loss: 0.6786830, Train Acc: 0.5987055, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6638410, Train Acc: 0.5954693, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6109534, Train Acc: 0.6731392, Test Acc: 0.6000000
Epoch: 011, Train Loss: 0.5993169, Train Acc: 0.6634304, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.5288383, Train Acc: 0.7475728, Test Acc: 0.4571429
Epoch: 013, Train Loss: 0.5093739, Train Acc: 0.7443366, Test Acc: 0.4571429
Epoch: 014, Train Loss: 0.5122976, Train Acc: 0.7152104, Test Acc: 0.4571429
Epoch: 015, Train Loss: 0.4837124, Train Acc: 0.7378641, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4515441, Train Acc: 0.7605178, Test Acc: 0.4571429
Epoch: 017, Train Loss: 0.4878885, Train Acc: 0.7475728, Test Acc: 0.5142857
Epoch: 018, Train Loss: 0.5617305, Train Acc: 0.7055016, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.5139746, Train Acc: 0.7022654, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.4660342, Train Acc: 0.7540453, Test Acc: 0.4857143
Epoch: 021, Train Loss: 0.3926401, Train Acc: 0.7961165, Test Acc: 0.5142857
Epoch: 022, Train Loss: 0.5200866, Train Acc: 0.7249191, Test Acc: 0.4857143
Epoch: 023, Train Loss: 0.4077460, Train Acc: 0.7961165, Test Acc: 0.4857143
Epoch: 024, Train Loss: 0.3598463, Train Acc: 0.8317152, Test Acc: 0.5714286
Epoch: 025, Train Loss: 0.4549944, Train Acc: 0.7605178, Test Acc: 0.5142857
Epoch: 026, Train Loss: 0.3871509, Train Acc: 0.8252427, Test Acc: 0.5142857
Epoch: 027, Train Loss: 0.3292796, Train Acc: 0.8543689, Test Acc: 0.4857143
Epoch: 028, Train Loss: 0.4315768, Train Acc: 0.7669903, Test Acc: 0.5714286
Epoch: 029, Train Loss: 0.3896804, Train Acc: 0.8122977, Test Acc: 0.6285714
Epoch: 030, Train Loss: 0.3008267, Train Acc: 0.8511327, Test Acc: 0.6571429
Epoch: 031, Train Loss: 0.2748313, Train Acc: 0.8834951, Test Acc: 0.6571429
Epoch: 032, Train Loss: 0.3254189, Train Acc: 0.8511327, Test Acc: 0.5714286
Epoch: 033, Train Loss: 0.2879586, Train Acc: 0.8640777, Test Acc: 0.5714286
Epoch: 034, Train Loss: 0.3081085, Train Acc: 0.8414239, Test Acc: 0.6285714
