{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0], 'power': [[1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672667957', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0], 'power': [[1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672667959, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  30%|██▉       | 102/344 [00:00<00:00, 1013.23it/s]Pre-process:  60%|██████    | 207/344 [00:00<00:00, 1033.30it/s]Pre-process:  91%|█████████ | 312/344 [00:00<00:00, 1040.20it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 1037.24it/s]
Basis total: 5
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 418819
Epoch: 001, Train Loss: 1.0995538, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0542398, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9895735, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.9075057, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.8309124, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7674020, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.7256307, Train Acc: 0.6019417, Test Acc: 0.6000000
Epoch: 008, Train Loss: 0.6893431, Train Acc: 0.5987055, Test Acc: 0.6000000
Epoch: 009, Train Loss: 0.6601767, Train Acc: 0.6148867, Test Acc: 0.6000000
Epoch: 010, Train Loss: 0.6340106, Train Acc: 0.6407767, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.5907607, Train Acc: 0.6537217, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.6136403, Train Acc: 0.6310680, Test Acc: 0.4285714
Epoch: 013, Train Loss: 0.5283983, Train Acc: 0.7152104, Test Acc: 0.4857143
Epoch: 014, Train Loss: 0.5429725, Train Acc: 0.6957929, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.5369037, Train Acc: 0.7184466, Test Acc: 0.3428571
Epoch: 016, Train Loss: 0.7630510, Train Acc: 0.6375405, Test Acc: 0.5428571
Epoch: 017, Train Loss: 0.5459753, Train Acc: 0.7055016, Test Acc: 0.4571429
Epoch: 018, Train Loss: 0.8785013, Train Acc: 0.6278317, Test Acc: 0.6000000
Epoch: 019, Train Loss: 0.5496988, Train Acc: 0.7152104, Test Acc: 0.4571429
Epoch: 020, Train Loss: 0.4980954, Train Acc: 0.7475728, Test Acc: 0.5428571
