{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2], 'power': [[1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672668376', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2], 'power': [[1, 4], [1, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672668377, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  28%|██▊       | 95/344 [00:00<00:00, 944.20it/s]Pre-process:  55%|█████▌    | 190/344 [00:00<00:00, 915.25it/s]Pre-process:  82%|████████▏ | 282/344 [00:00<00:00, 906.17it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 922.09it/s]
Basis total: 9
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 419331
Epoch: 001, Train Loss: 1.0391497, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9371873, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8653377, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7396257, Train Acc: 0.5760518, Test Acc: 0.5714286
Epoch: 005, Train Loss: 0.8458046, Train Acc: 0.5663430, Test Acc: 0.6571429
Epoch: 006, Train Loss: 0.6575142, Train Acc: 0.6116505, Test Acc: 0.6285714
Epoch: 007, Train Loss: 0.8694029, Train Acc: 0.6051780, Test Acc: 0.6000000
Epoch: 008, Train Loss: 0.8209950, Train Acc: 0.6569579, Test Acc: 0.6285714
Epoch: 009, Train Loss: 0.6552748, Train Acc: 0.6731392, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6463637, Train Acc: 0.6828479, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.6483569, Train Acc: 0.6634304, Test Acc: 0.4857143
Epoch: 012, Train Loss: 0.6578154, Train Acc: 0.6957929, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.6298449, Train Acc: 0.6601942, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.8378735, Train Acc: 0.6343042, Test Acc: 0.6000000
Epoch: 015, Train Loss: 0.8757069, Train Acc: 0.6310680, Test Acc: 0.5714286
Epoch: 016, Train Loss: 0.5636693, Train Acc: 0.6860841, Test Acc: 0.6000000
Epoch: 017, Train Loss: 0.6047470, Train Acc: 0.6893204, Test Acc: 0.6571429
Epoch: 018, Train Loss: 0.6463655, Train Acc: 0.6666667, Test Acc: 0.4285714
Epoch: 019, Train Loss: 0.6993557, Train Acc: 0.7119741, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.7003498, Train Acc: 0.6925566, Test Acc: 0.6000000
