{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2, -0.4], 'power': [[3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672668810', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2, -0.4], 'power': [[3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672668812, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  27%|██▋       | 93/344 [00:00<00:00, 926.53it/s]Pre-process:  55%|█████▍    | 189/344 [00:00<00:00, 944.27it/s]Pre-process:  83%|████████▎ | 284/344 [00:00<00:00, 936.90it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 940.08it/s]
Basis total: 7
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 419075
Epoch: 001, Train Loss: 1.0531118, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9431277, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8512526, Train Acc: 0.5339806, Test Acc: 0.5142857
Epoch: 004, Train Loss: 0.7656448, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7369155, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7124899, Train Acc: 0.6213592, Test Acc: 0.6000000
Epoch: 007, Train Loss: 0.6773791, Train Acc: 0.6343042, Test Acc: 0.6000000
Epoch: 008, Train Loss: 0.6307331, Train Acc: 0.6828479, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.8582224, Train Acc: 0.6860841, Test Acc: 0.6285714
Epoch: 010, Train Loss: 1.0154231, Train Acc: 0.6731392, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.8954602, Train Acc: 0.6731392, Test Acc: 0.5714286
Epoch: 012, Train Loss: 0.6285930, Train Acc: 0.7216828, Test Acc: 0.4857143
Epoch: 013, Train Loss: 0.7591241, Train Acc: 0.6893204, Test Acc: 0.6000000
Epoch: 014, Train Loss: 0.5962683, Train Acc: 0.7249191, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.6448697, Train Acc: 0.7119741, Test Acc: 0.4571429
Epoch: 016, Train Loss: 0.5685674, Train Acc: 0.7216828, Test Acc: 0.5428571
Epoch: 017, Train Loss: 0.5283481, Train Acc: 0.7572816, Test Acc: 0.5428571
Epoch: 018, Train Loss: 0.6575575, Train Acc: 0.6828479, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.5231877, Train Acc: 0.7508091, Test Acc: 0.5428571
Epoch: 020, Train Loss: 0.8533389, Train Acc: 0.6796117, Test Acc: 0.6000000
Epoch: 021, Train Loss: 0.7115918, Train Acc: 0.7669903, Test Acc: 0.6285714
Epoch: 022, Train Loss: 0.4963053, Train Acc: 0.7702265, Test Acc: 0.6857143
Epoch: 023, Train Loss: 0.5194104, Train Acc: 0.7411003, Test Acc: 0.6000000
Epoch: 024, Train Loss: 0.4579798, Train Acc: 0.7928803, Test Acc: 0.5428571
Epoch: 025, Train Loss: 0.4898493, Train Acc: 0.8058252, Test Acc: 0.5142857
Epoch: 026, Train Loss: 0.4219423, Train Acc: 0.7896440, Test Acc: 0.4571429
Epoch: 027, Train Loss: 0.8971969, Train Acc: 0.6601942, Test Acc: 0.5714286
Epoch: 028, Train Loss: 1.0351870, Train Acc: 0.7249191, Test Acc: 0.4857143
Epoch: 029, Train Loss: 0.5822666, Train Acc: 0.7572816, Test Acc: 0.5428571
Epoch: 030, Train Loss: 0.4830083, Train Acc: 0.7734628, Test Acc: 0.6285714
Epoch: 031, Train Loss: 0.6668599, Train Acc: 0.7313916, Test Acc: 0.4857143
Epoch: 032, Train Loss: 0.4914677, Train Acc: 0.7766990, Test Acc: 0.4857143
Epoch: 033, Train Loss: 0.4195054, Train Acc: 0.8090615, Test Acc: 0.5428571
Epoch: 034, Train Loss: 0.3648437, Train Acc: 0.8608414, Test Acc: 0.6000000
Epoch: 035, Train Loss: 0.2536126, Train Acc: 0.8834951, Test Acc: 0.5142857
Epoch: 036, Train Loss: 0.2638343, Train Acc: 0.8770227, Test Acc: 0.6000000
Epoch: 037, Train Loss: 0.4725029, Train Acc: 0.7702265, Test Acc: 0.4285714
Epoch: 038, Train Loss: 0.4838879, Train Acc: 0.7993528, Test Acc: 0.4857143
Epoch: 039, Train Loss: 0.3493114, Train Acc: 0.8252427, Test Acc: 0.4857143
Epoch: 040, Train Loss: 0.4369271, Train Acc: 0.8640777, Test Acc: 0.4571429
Epoch: 041, Train Loss: 0.3014829, Train Acc: 0.8543689, Test Acc: 0.4571429
Epoch: 042, Train Loss: 0.3787562, Train Acc: 0.8511327, Test Acc: 0.5714286
Epoch: 043, Train Loss: 0.2837899, Train Acc: 0.8608414, Test Acc: 0.4857143
Epoch: 044, Train Loss: 0.2539943, Train Acc: 0.8996764, Test Acc: 0.6000000
Epoch: 045, Train Loss: 0.2052462, Train Acc: 0.8996764, Test Acc: 0.6285714
Epoch: 046, Train Loss: 0.1554401, Train Acc: 0.9288026, Test Acc: 0.6571429
Epoch: 047, Train Loss: 0.1673291, Train Acc: 0.9223301, Test Acc: 0.6000000
Epoch: 048, Train Loss: 0.2212995, Train Acc: 0.9126214, Test Acc: 0.5714286
Epoch: 049, Train Loss: 0.2939021, Train Acc: 0.8770227, Test Acc: 0.6285714
Epoch: 050, Train Loss: 0.2443721, Train Acc: 0.9029126, Test Acc: 0.5714286
Epoch: 051, Train Loss: 0.1783715, Train Acc: 0.9223301, Test Acc: 0.5142857
Epoch: 052, Train Loss: 0.1915046, Train Acc: 0.9223301, Test Acc: 0.6285714
Epoch: 053, Train Loss: 0.1546786, Train Acc: 0.9320388, Test Acc: 0.5428571
Epoch: 054, Train Loss: 0.1702619, Train Acc: 0.9417476, Test Acc: 0.6285714
Epoch: 055, Train Loss: 0.1313841, Train Acc: 0.9546926, Test Acc: 0.5428571
Epoch: 056, Train Loss: 0.1333879, Train Acc: 0.9579288, Test Acc: 0.6571429
Epoch: 057, Train Loss: 0.3665519, Train Acc: 0.8932039, Test Acc: 0.6571429
Epoch: 058, Train Loss: 0.1850692, Train Acc: 0.9352751, Test Acc: 0.5142857
Epoch: 059, Train Loss: 0.2670624, Train Acc: 0.8932039, Test Acc: 0.6000000
Epoch: 060, Train Loss: 0.3064231, Train Acc: 0.8673139, Test Acc: 0.6285714
Epoch: 061, Train Loss: 0.1334751, Train Acc: 0.9514563, Test Acc: 0.6000000
Epoch: 062, Train Loss: 0.2822416, Train Acc: 0.8834951, Test Acc: 0.4285714
