{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'S', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672669893', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'S', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672669894, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  24%|██▍       | 84/344 [00:00<00:00, 837.75it/s]Pre-process:  50%|████▉     | 171/344 [00:00<00:00, 855.81it/s]Pre-process:  75%|███████▍  | 257/344 [00:00<00:00, 852.52it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 859.73it/s]
Basis total: 11
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 419587
Epoch: 001, Train Loss: 0.9913708, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.8416572, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8090635, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7373538, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7552675, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.6976534, Train Acc: 0.5728155, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.7651783, Train Acc: 0.5695793, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6786223, Train Acc: 0.5728155, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6727380, Train Acc: 0.5695793, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.7218187, Train Acc: 0.5533981, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.6820348, Train Acc: 0.6051780, Test Acc: 0.5714286
Epoch: 012, Train Loss: 0.6180627, Train Acc: 0.6245955, Test Acc: 0.4571429
Epoch: 013, Train Loss: 0.5713102, Train Acc: 0.6925566, Test Acc: 0.4000000
Epoch: 014, Train Loss: 0.5531113, Train Acc: 0.7119741, Test Acc: 0.4285714
Epoch: 015, Train Loss: 0.5490805, Train Acc: 0.6763754, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.5285995, Train Acc: 0.6957929, Test Acc: 0.4571429
Epoch: 017, Train Loss: 0.5160380, Train Acc: 0.7152104, Test Acc: 0.4571429
Epoch: 018, Train Loss: 0.5225287, Train Acc: 0.7087379, Test Acc: 0.3714286
Epoch: 019, Train Loss: 0.5410553, Train Acc: 0.6957929, Test Acc: 0.3714286
Epoch: 020, Train Loss: 0.5356016, Train Acc: 0.7087379, Test Acc: 0.3428571
Epoch: 021, Train Loss: 0.5208800, Train Acc: 0.7184466, Test Acc: 0.4571429
Epoch: 022, Train Loss: 0.5950294, Train Acc: 0.6310680, Test Acc: 0.4857143
