{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'S', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672670313', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[3, 4], [3, 4], [3, 4], [3, 4], [3, 4]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 301, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'S', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672670314, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▍       | 85/344 [00:00<00:00, 849.86it/s]Pre-process:  50%|█████     | 173/344 [00:00<00:00, 862.73it/s]Pre-process:  76%|███████▌  | 260/344 [00:00<00:00, 864.77it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 866.97it/s]
Basis total: 11
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 420099
Epoch: 001, Train Loss: 0.9929173, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.8767902, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8046514, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7560703, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7301565, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7062264, Train Acc: 0.5825243, Test Acc: 0.6000000
Epoch: 007, Train Loss: 0.7067055, Train Acc: 0.5825243, Test Acc: 0.6000000
Epoch: 008, Train Loss: 0.6772027, Train Acc: 0.5922330, Test Acc: 0.6000000
Epoch: 009, Train Loss: 0.6843552, Train Acc: 0.5987055, Test Acc: 0.6000000
Epoch: 010, Train Loss: 0.6572207, Train Acc: 0.6440129, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.6476788, Train Acc: 0.6084142, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.6175569, Train Acc: 0.6699029, Test Acc: 0.6285714
Epoch: 013, Train Loss: 0.5393185, Train Acc: 0.7216828, Test Acc: 0.5142857
Epoch: 014, Train Loss: 0.6161604, Train Acc: 0.6407767, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.5616906, Train Acc: 0.6763754, Test Acc: 0.4857143
Epoch: 016, Train Loss: 0.5526828, Train Acc: 0.7216828, Test Acc: 0.6285714
Epoch: 017, Train Loss: 0.5586519, Train Acc: 0.7055016, Test Acc: 0.4285714
Epoch: 018, Train Loss: 0.5071543, Train Acc: 0.7346278, Test Acc: 0.4857143
Epoch: 019, Train Loss: 0.5133352, Train Acc: 0.7184466, Test Acc: 0.4285714
Epoch: 020, Train Loss: 0.5069335, Train Acc: 0.7443366, Test Acc: 0.3714286
Epoch: 021, Train Loss: 0.5733617, Train Acc: 0.7152104, Test Acc: 0.4857143
Epoch: 022, Train Loss: 0.5246804, Train Acc: 0.7540453, Test Acc: 0.4857143
