{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[1, 4], [2, 4], [2, 5], [2, 6], [2, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672670856', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.1, -0.2, -0.3, -0.4], 'power': [[1, 4], [2, 4], [2, 5], [2, 6], [2, 6]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672670858, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  23%|██▎       | 78/344 [00:00<00:00, 770.31it/s]Pre-process:  46%|████▌     | 158/344 [00:00<00:00, 784.78it/s]Pre-process:  69%|██████▉   | 237/344 [00:00<00:00, 783.61it/s]Pre-process:  92%|█████████▏| 317/344 [00:00<00:00, 786.42it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 786.17it/s]
Basis total: 22
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 421507
Epoch: 001, Train Loss: 1.1063377, Train Acc: 0.1553398, Test Acc: 0.1714286
Epoch: 002, Train Loss: 1.0689912, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 1.0137018, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.9430366, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.8724942, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.8039206, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.7525391, Train Acc: 0.5825243, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.7094891, Train Acc: 0.5889968, Test Acc: 0.5714286
Epoch: 009, Train Loss: 0.6714328, Train Acc: 0.6343042, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6263226, Train Acc: 0.6796117, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.5839538, Train Acc: 0.6828479, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.5578881, Train Acc: 0.7572816, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.5374235, Train Acc: 0.7184466, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.5318189, Train Acc: 0.7152104, Test Acc: 0.4857143
Epoch: 015, Train Loss: 0.5197313, Train Acc: 0.7378641, Test Acc: 0.5142857
Epoch: 016, Train Loss: 0.4602646, Train Acc: 0.7734628, Test Acc: 0.6285714
Epoch: 017, Train Loss: 0.4411640, Train Acc: 0.7928803, Test Acc: 0.6571429
Epoch: 018, Train Loss: 0.5636048, Train Acc: 0.7184466, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.5793162, Train Acc: 0.7249191, Test Acc: 0.4571429
Epoch: 020, Train Loss: 0.4752021, Train Acc: 0.7702265, Test Acc: 0.5714286
Epoch: 021, Train Loss: 0.5377741, Train Acc: 0.7443366, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.6966848, Train Acc: 0.7119741, Test Acc: 0.5428571
Epoch: 023, Train Loss: 0.4725974, Train Acc: 0.7766990, Test Acc: 0.6000000
Epoch: 024, Train Loss: 0.3719644, Train Acc: 0.8252427, Test Acc: 0.5142857
Epoch: 025, Train Loss: 0.3660552, Train Acc: 0.8252427, Test Acc: 0.6000000
Epoch: 026, Train Loss: 0.4778714, Train Acc: 0.7896440, Test Acc: 0.5714286
Epoch: 027, Train Loss: 0.5195738, Train Acc: 0.7896440, Test Acc: 0.6000000
Epoch: 028, Train Loss: 0.2793560, Train Acc: 0.8770227, Test Acc: 0.5142857
Epoch: 029, Train Loss: 0.4138063, Train Acc: 0.7896440, Test Acc: 0.5142857
Epoch: 030, Train Loss: 0.3894422, Train Acc: 0.8025890, Test Acc: 0.5428571
Epoch: 031, Train Loss: 0.3367856, Train Acc: 0.8381877, Test Acc: 0.6000000
Epoch: 032, Train Loss: 0.2962442, Train Acc: 0.8543689, Test Acc: 0.6000000
Epoch: 033, Train Loss: 0.2891384, Train Acc: 0.8511327, Test Acc: 0.5714286
Epoch: 034, Train Loss: 0.1920893, Train Acc: 0.9223301, Test Acc: 0.5142857
Epoch: 035, Train Loss: 0.1901699, Train Acc: 0.9190939, Test Acc: 0.5428571
Epoch: 036, Train Loss: 0.1710224, Train Acc: 0.9385113, Test Acc: 0.6000000
Epoch: 037, Train Loss: 0.1572075, Train Acc: 0.9417476, Test Acc: 0.5714286
Epoch: 038, Train Loss: 0.1775206, Train Acc: 0.9158576, Test Acc: 0.6000000
Epoch: 039, Train Loss: 0.1413940, Train Acc: 0.9352751, Test Acc: 0.6571429
Epoch: 040, Train Loss: 0.1425699, Train Acc: 0.9449838, Test Acc: 0.6000000
Epoch: 041, Train Loss: 0.1451458, Train Acc: 0.9482201, Test Acc: 0.5714286
Epoch: 042, Train Loss: 0.2089131, Train Acc: 0.9093851, Test Acc: 0.6000000
Epoch: 043, Train Loss: 0.2274512, Train Acc: 0.8964401, Test Acc: 0.5714286
Epoch: 044, Train Loss: 0.1500909, Train Acc: 0.9385113, Test Acc: 0.5428571
Epoch: 045, Train Loss: 0.2214367, Train Acc: 0.8964401, Test Acc: 0.6285714
Epoch: 046, Train Loss: 0.1333011, Train Acc: 0.9514563, Test Acc: 0.6285714
Epoch: 047, Train Loss: 0.2175446, Train Acc: 0.8932039, Test Acc: 0.5428571
Epoch: 048, Train Loss: 0.1584039, Train Acc: 0.9385113, Test Acc: 0.4857143
Epoch: 049, Train Loss: 0.2593883, Train Acc: 0.8867314, Test Acc: 0.5428571
Epoch: 050, Train Loss: 0.2082485, Train Acc: 0.8996764, Test Acc: 0.6000000
Epoch: 051, Train Loss: 0.1439828, Train Acc: 0.9514563, Test Acc: 0.5714286
Epoch: 052, Train Loss: 0.2686108, Train Acc: 0.9061489, Test Acc: 0.4571429
Epoch: 053, Train Loss: 0.1159193, Train Acc: 0.9611650, Test Acc: 0.5428571
Epoch: 054, Train Loss: 0.0804302, Train Acc: 0.9741100, Test Acc: 0.5428571
Epoch: 055, Train Loss: 0.0975481, Train Acc: 0.9708738, Test Acc: 0.6000000
Epoch: 056, Train Loss: 0.0687098, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 057, Train Loss: 0.0727510, Train Acc: 0.9676375, Test Acc: 0.4857143
Epoch: 058, Train Loss: 0.0810600, Train Acc: 0.9644013, Test Acc: 0.6571429
Epoch: 059, Train Loss: 0.1431635, Train Acc: 0.9385113, Test Acc: 0.5428571
Epoch: 060, Train Loss: 0.1236984, Train Acc: 0.9449838, Test Acc: 0.5714286
Epoch: 061, Train Loss: 0.0973735, Train Acc: 0.9546926, Test Acc: 0.5142857
Epoch: 062, Train Loss: 0.0709858, Train Acc: 0.9676375, Test Acc: 0.6285714
Epoch: 063, Train Loss: 0.0450346, Train Acc: 0.9805825, Test Acc: 0.5714286
Epoch: 064, Train Loss: 0.0493082, Train Acc: 0.9805825, Test Acc: 0.5142857
Epoch: 065, Train Loss: 0.0866136, Train Acc: 0.9579288, Test Acc: 0.5714286
Epoch: 066, Train Loss: 0.0349999, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 067, Train Loss: 0.0336742, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 068, Train Loss: 0.0416901, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 069, Train Loss: 0.0296954, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 070, Train Loss: 0.0287215, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 071, Train Loss: 0.0304383, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 072, Train Loss: 0.0289048, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 073, Train Loss: 0.0483766, Train Acc: 0.9741100, Test Acc: 0.5714286
Epoch: 074, Train Loss: 0.0744251, Train Acc: 0.9644013, Test Acc: 0.5428571
Epoch: 075, Train Loss: 0.0738017, Train Acc: 0.9708738, Test Acc: 0.6285714
Epoch: 076, Train Loss: 0.0362984, Train Acc: 0.9838188, Test Acc: 0.6000000
Epoch: 077, Train Loss: 0.0423065, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 078, Train Loss: 0.0344650, Train Acc: 0.9838188, Test Acc: 0.5428571
Epoch: 079, Train Loss: 0.0454568, Train Acc: 0.9805825, Test Acc: 0.5428571
Epoch: 080, Train Loss: 0.0349603, Train Acc: 0.9838188, Test Acc: 0.4857143
Epoch: 081, Train Loss: 0.0306597, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 082, Train Loss: 0.0271904, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 083, Train Loss: 0.0264830, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 084, Train Loss: 0.0255058, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 085, Train Loss: 0.0664175, Train Acc: 0.9644013, Test Acc: 0.6000000
Epoch: 086, Train Loss: 0.1104718, Train Acc: 0.9546926, Test Acc: 0.5142857
Epoch: 087, Train Loss: 0.0355168, Train Acc: 0.9838188, Test Acc: 0.4571429
Epoch: 088, Train Loss: 0.0722811, Train Acc: 0.9741100, Test Acc: 0.4285714
Epoch: 089, Train Loss: 0.0494527, Train Acc: 0.9805825, Test Acc: 0.4857143
Epoch: 090, Train Loss: 0.0474530, Train Acc: 0.9741100, Test Acc: 0.4571429
Epoch: 091, Train Loss: 0.0584473, Train Acc: 0.9741100, Test Acc: 0.5428571
Epoch: 092, Train Loss: 0.0383030, Train Acc: 0.9838188, Test Acc: 0.5428571
Epoch: 093, Train Loss: 0.0381651, Train Acc: 0.9838188, Test Acc: 0.5142857
Epoch: 094, Train Loss: 0.0312480, Train Acc: 0.9838188, Test Acc: 0.4857143
Epoch: 095, Train Loss: 0.0287571, Train Acc: 0.9838188, Test Acc: 0.4857143
Epoch: 096, Train Loss: 0.0252042, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 097, Train Loss: 0.0289395, Train Acc: 0.9838188, Test Acc: 0.5142857
Epoch: 098, Train Loss: 0.0306972, Train Acc: 0.9838188, Test Acc: 0.4857143
Epoch: 099, Train Loss: 0.0263525, Train Acc: 0.9870550, Test Acc: 0.4857143
Epoch: 100, Train Loss: 0.0256536, Train Acc: 0.9870550, Test Acc: 0.5142857
Epoch: 101, Train Loss: 0.0272069, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 102, Train Loss: 0.0276702, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 103, Train Loss: 0.0259589, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 104, Train Loss: 0.0262565, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 105, Train Loss: 0.0282800, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 106, Train Loss: 0.0241109, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 107, Train Loss: 0.0244432, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 108, Train Loss: 0.0242547, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 109, Train Loss: 0.0230077, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 110, Train Loss: 0.0235443, Train Acc: 0.9870550, Test Acc: 0.5142857
Epoch: 111, Train Loss: 0.0243160, Train Acc: 0.9870550, Test Acc: 0.5142857
Epoch: 112, Train Loss: 0.0230698, Train Acc: 0.9870550, Test Acc: 0.5142857
Epoch: 113, Train Loss: 0.0228828, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 114, Train Loss: 0.0226201, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 115, Train Loss: 0.0222508, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 116, Train Loss: 0.0222446, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 117, Train Loss: 0.0223211, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 118, Train Loss: 0.0223326, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 119, Train Loss: 0.0221329, Train Acc: 0.9870550, Test Acc: 0.6000000
