{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.1, -0.2, -0.3, -0.4], 'power': [[1, 5], [2, 6], [2, 8], [2, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672671340', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.1, -0.2, -0.3, -0.4], 'power': [[1, 5], [2, 6], [2, 8], [2, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672671341, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  22%|██▏       | 76/344 [00:00<00:00, 758.51it/s]Pre-process:  45%|████▌     | 155/344 [00:00<00:00, 771.79it/s]Pre-process:  68%|██████▊   | 233/344 [00:00<00:00, 774.26it/s]Pre-process:  91%|█████████ | 313/344 [00:00<00:00, 781.58it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 778.89it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 421891
Epoch: 001, Train Loss: 1.1059721, Train Acc: 0.3721683, Test Acc: 0.3428571
Epoch: 002, Train Loss: 1.0682286, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 1.0076502, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.9354449, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.8589341, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7886787, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.7344567, Train Acc: 0.5857605, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.7025361, Train Acc: 0.6343042, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6612446, Train Acc: 0.5987055, Test Acc: 0.6000000
Epoch: 010, Train Loss: 0.6946974, Train Acc: 0.5372168, Test Acc: 0.3714286
Epoch: 011, Train Loss: 0.5722443, Train Acc: 0.7119741, Test Acc: 0.5428571
Epoch: 012, Train Loss: 0.5419699, Train Acc: 0.7411003, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.5299809, Train Acc: 0.7605178, Test Acc: 0.5714286
Epoch: 014, Train Loss: 0.5670657, Train Acc: 0.7216828, Test Acc: 0.4285714
Epoch: 015, Train Loss: 0.5232295, Train Acc: 0.7605178, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.6199984, Train Acc: 0.6666667, Test Acc: 0.4571429
Epoch: 017, Train Loss: 0.6161073, Train Acc: 0.7087379, Test Acc: 0.5428571
Epoch: 018, Train Loss: 0.5031024, Train Acc: 0.7411003, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.6414097, Train Acc: 0.6893204, Test Acc: 0.6000000
Epoch: 020, Train Loss: 0.4777403, Train Acc: 0.7572816, Test Acc: 0.5428571
Epoch: 021, Train Loss: 0.4804510, Train Acc: 0.7766990, Test Acc: 0.5428571
Epoch: 022, Train Loss: 0.3730576, Train Acc: 0.8284790, Test Acc: 0.6285714
