{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.1, -0.2, -0.3, -0.4], 'power': [[1, 5], [2, 6], [2, 8], [2, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672671415', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [-0.1, -0.2, -0.3, -0.4], 'power': [[1, 5], [2, 6], [2, 8], [2, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672671417, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  23%|██▎       | 78/344 [00:00<00:00, 772.09it/s]Pre-process:  46%|████▌     | 158/344 [00:00<00:00, 784.78it/s]Pre-process:  69%|██████▉   | 237/344 [00:00<00:00, 784.35it/s]Pre-process:  92%|█████████▏| 317/344 [00:00<00:00, 789.60it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 788.71it/s]
Basis total: 25
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 339971
Epoch: 001, Train Loss: 1.0701405, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0138703, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9153292, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8304176, Train Acc: 0.6051780, Test Acc: 0.5714286
Epoch: 005, Train Loss: 0.7787738, Train Acc: 0.4401294, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7299960, Train Acc: 0.5922330, Test Acc: 0.5714286
Epoch: 007, Train Loss: 0.7110211, Train Acc: 0.5113269, Test Acc: 0.5142857
Epoch: 008, Train Loss: 0.6755756, Train Acc: 0.6375405, Test Acc: 0.5142857
Epoch: 009, Train Loss: 0.6626898, Train Acc: 0.6148867, Test Acc: 0.5142857
Epoch: 010, Train Loss: 0.6219820, Train Acc: 0.6796117, Test Acc: 0.4000000
Epoch: 011, Train Loss: 0.5769243, Train Acc: 0.6796117, Test Acc: 0.4571429
Epoch: 012, Train Loss: 0.5411470, Train Acc: 0.6860841, Test Acc: 0.4285714
Epoch: 013, Train Loss: 0.4976726, Train Acc: 0.7605178, Test Acc: 0.4285714
Epoch: 014, Train Loss: 0.5153894, Train Acc: 0.7346278, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.4563188, Train Acc: 0.7669903, Test Acc: 0.4285714
Epoch: 016, Train Loss: 0.4381145, Train Acc: 0.7961165, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.3974758, Train Acc: 0.8187702, Test Acc: 0.4571429
Epoch: 018, Train Loss: 0.4111555, Train Acc: 0.8090615, Test Acc: 0.5714286
Epoch: 019, Train Loss: 0.4759818, Train Acc: 0.7572816, Test Acc: 0.6285714
Epoch: 020, Train Loss: 0.3538875, Train Acc: 0.8673139, Test Acc: 0.5142857
Epoch: 021, Train Loss: 0.4082944, Train Acc: 0.7864078, Test Acc: 0.5714286
Epoch: 022, Train Loss: 0.3455248, Train Acc: 0.8155340, Test Acc: 0.4857143
Epoch: 023, Train Loss: 0.2897256, Train Acc: 0.8867314, Test Acc: 0.5142857
Epoch: 024, Train Loss: 0.3156934, Train Acc: 0.8705502, Test Acc: 0.6000000
Epoch: 025, Train Loss: 0.3430992, Train Acc: 0.8381877, Test Acc: 0.5428571
Epoch: 026, Train Loss: 0.2629235, Train Acc: 0.8867314, Test Acc: 0.5142857
Epoch: 027, Train Loss: 0.3318687, Train Acc: 0.8414239, Test Acc: 0.5714286
Epoch: 028, Train Loss: 0.2361565, Train Acc: 0.9093851, Test Acc: 0.5142857
Epoch: 029, Train Loss: 0.2101944, Train Acc: 0.8932039, Test Acc: 0.5714286
Epoch: 030, Train Loss: 0.4050621, Train Acc: 0.7864078, Test Acc: 0.6000000
Epoch: 031, Train Loss: 0.2664134, Train Acc: 0.8802589, Test Acc: 0.5428571
Epoch: 032, Train Loss: 0.1562427, Train Acc: 0.9546926, Test Acc: 0.6000000
Epoch: 033, Train Loss: 0.1653637, Train Acc: 0.9417476, Test Acc: 0.5428571
Epoch: 034, Train Loss: 0.1302323, Train Acc: 0.9514563, Test Acc: 0.5714286
Epoch: 035, Train Loss: 0.1024307, Train Acc: 0.9741100, Test Acc: 0.6000000
Epoch: 036, Train Loss: 0.1009039, Train Acc: 0.9708738, Test Acc: 0.5428571
Epoch: 037, Train Loss: 0.1013471, Train Acc: 0.9708738, Test Acc: 0.6571429
Epoch: 038, Train Loss: 0.0886263, Train Acc: 0.9805825, Test Acc: 0.5714286
Epoch: 039, Train Loss: 0.0777623, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 040, Train Loss: 0.0823680, Train Acc: 0.9741100, Test Acc: 0.5428571
Epoch: 041, Train Loss: 0.0759520, Train Acc: 0.9838188, Test Acc: 0.6571429
Epoch: 042, Train Loss: 0.0872205, Train Acc: 0.9676375, Test Acc: 0.6000000
Epoch: 043, Train Loss: 0.0753735, Train Acc: 0.9805825, Test Acc: 0.6285714
Epoch: 044, Train Loss: 0.0705604, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 045, Train Loss: 0.0709690, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 046, Train Loss: 0.0813922, Train Acc: 0.9676375, Test Acc: 0.7142857
Epoch: 047, Train Loss: 0.0845043, Train Acc: 0.9708738, Test Acc: 0.5714286
Epoch: 048, Train Loss: 0.1019243, Train Acc: 0.9644013, Test Acc: 0.6000000
Epoch: 049, Train Loss: 0.0895062, Train Acc: 0.9676375, Test Acc: 0.6000000
Epoch: 050, Train Loss: 0.0622225, Train Acc: 0.9805825, Test Acc: 0.6285714
Epoch: 051, Train Loss: 0.0569547, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 052, Train Loss: 0.0507728, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 053, Train Loss: 0.0419730, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 054, Train Loss: 0.0413966, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 055, Train Loss: 0.0416583, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 056, Train Loss: 0.0370534, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 057, Train Loss: 0.0423157, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 058, Train Loss: 0.0383409, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 059, Train Loss: 0.0496098, Train Acc: 0.9773463, Test Acc: 0.5714286
Epoch: 060, Train Loss: 0.0611618, Train Acc: 0.9708738, Test Acc: 0.6571429
Epoch: 061, Train Loss: 0.0357271, Train Acc: 0.9870550, Test Acc: 0.6857143
Epoch: 062, Train Loss: 0.0801243, Train Acc: 0.9546926, Test Acc: 0.6857143
Epoch: 063, Train Loss: 0.0448395, Train Acc: 0.9773463, Test Acc: 0.6571429
Epoch: 064, Train Loss: 0.0323011, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 065, Train Loss: 0.0289341, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 066, Train Loss: 0.0257827, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 067, Train Loss: 0.0255489, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 068, Train Loss: 0.0244761, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 069, Train Loss: 0.0244431, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 070, Train Loss: 0.0244302, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 071, Train Loss: 0.0240322, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 072, Train Loss: 0.0241363, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 073, Train Loss: 0.0240653, Train Acc: 0.9870550, Test Acc: 0.6571429
