{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2, -0.4], 'power': [[1, 4], [2, 5], [2, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672671683', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'SPA', 'epsilon': [0, -0.2, -0.4], 'power': [[1, 4], [2, 5], [2, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672671685, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  25%|██▍       | 85/344 [00:00<00:00, 842.47it/s]Pre-process:  50%|████▉     | 171/344 [00:00<00:00, 851.62it/s]Pre-process:  75%|███████▍  | 257/344 [00:00<00:00, 855.39it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 860.23it/s]
Basis total: 16
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 338819
Epoch: 001, Train Loss: 1.0600864, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 0.9935597, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.8961783, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.7998294, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7385689, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7115962, Train Acc: 0.6245955, Test Acc: 0.6000000
Epoch: 007, Train Loss: 0.6875872, Train Acc: 0.6181230, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6714540, Train Acc: 0.6278317, Test Acc: 0.4857143
Epoch: 009, Train Loss: 0.6527793, Train Acc: 0.6440129, Test Acc: 0.4000000
Epoch: 010, Train Loss: 0.6170048, Train Acc: 0.6666667, Test Acc: 0.4857143
Epoch: 011, Train Loss: 0.6444129, Train Acc: 0.6181230, Test Acc: 0.4857143
Epoch: 012, Train Loss: 0.5217648, Train Acc: 0.7119741, Test Acc: 0.4857143
Epoch: 013, Train Loss: 0.6279409, Train Acc: 0.6440129, Test Acc: 0.5142857
Epoch: 014, Train Loss: 0.4682503, Train Acc: 0.7605178, Test Acc: 0.5142857
Epoch: 015, Train Loss: 0.4543810, Train Acc: 0.7766990, Test Acc: 0.4571429
Epoch: 016, Train Loss: 0.5625435, Train Acc: 0.6957929, Test Acc: 0.5428571
Epoch: 017, Train Loss: 0.4833882, Train Acc: 0.7475728, Test Acc: 0.5428571
Epoch: 018, Train Loss: 0.4905770, Train Acc: 0.7896440, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.4826068, Train Acc: 0.7540453, Test Acc: 0.6000000
Epoch: 020, Train Loss: 0.3875288, Train Acc: 0.8317152, Test Acc: 0.5142857
Epoch: 021, Train Loss: 0.3445007, Train Acc: 0.8543689, Test Acc: 0.4857143
Epoch: 022, Train Loss: 0.3952706, Train Acc: 0.8284790, Test Acc: 0.4857143
Epoch: 023, Train Loss: 0.3365900, Train Acc: 0.8543689, Test Acc: 0.5714286
Epoch: 024, Train Loss: 0.3455225, Train Acc: 0.8576052, Test Acc: 0.5142857
Epoch: 025, Train Loss: 0.2733390, Train Acc: 0.8867314, Test Acc: 0.4285714
Epoch: 026, Train Loss: 0.2588944, Train Acc: 0.8899676, Test Acc: 0.5428571
Epoch: 027, Train Loss: 0.3812162, Train Acc: 0.8220065, Test Acc: 0.6000000
Epoch: 028, Train Loss: 0.3221316, Train Acc: 0.8414239, Test Acc: 0.4571429
Epoch: 029, Train Loss: 0.2691429, Train Acc: 0.8705502, Test Acc: 0.5428571
Epoch: 030, Train Loss: 0.2574092, Train Acc: 0.8964401, Test Acc: 0.5714286
Epoch: 031, Train Loss: 0.2582716, Train Acc: 0.8996764, Test Acc: 0.6000000
Epoch: 032, Train Loss: 0.2267994, Train Acc: 0.8964401, Test Acc: 0.5714286
Epoch: 033, Train Loss: 0.1559031, Train Acc: 0.9546926, Test Acc: 0.6571429
Epoch: 034, Train Loss: 0.1686380, Train Acc: 0.9385113, Test Acc: 0.6571429
Epoch: 035, Train Loss: 0.1441602, Train Acc: 0.9449838, Test Acc: 0.5714286
Epoch: 036, Train Loss: 0.1740347, Train Acc: 0.9449838, Test Acc: 0.6285714
Epoch: 037, Train Loss: 0.1624990, Train Acc: 0.9288026, Test Acc: 0.6000000
Epoch: 038, Train Loss: 0.1465276, Train Acc: 0.9385113, Test Acc: 0.6285714
Epoch: 039, Train Loss: 0.1353977, Train Acc: 0.9449838, Test Acc: 0.5428571
Epoch: 040, Train Loss: 0.1181781, Train Acc: 0.9708738, Test Acc: 0.6571429
Epoch: 041, Train Loss: 0.1063766, Train Acc: 0.9676375, Test Acc: 0.6571429
Epoch: 042, Train Loss: 0.1064318, Train Acc: 0.9741100, Test Acc: 0.6285714
Epoch: 043, Train Loss: 0.0907024, Train Acc: 0.9741100, Test Acc: 0.6571429
Epoch: 044, Train Loss: 0.0999734, Train Acc: 0.9514563, Test Acc: 0.6857143
Epoch: 045, Train Loss: 0.0820213, Train Acc: 0.9741100, Test Acc: 0.7142857
Epoch: 046, Train Loss: 0.0853371, Train Acc: 0.9676375, Test Acc: 0.6000000
Epoch: 047, Train Loss: 0.0978882, Train Acc: 0.9644013, Test Acc: 0.6285714
Epoch: 048, Train Loss: 0.0822121, Train Acc: 0.9741100, Test Acc: 0.6000000
Epoch: 049, Train Loss: 0.1152715, Train Acc: 0.9449838, Test Acc: 0.6285714
Epoch: 050, Train Loss: 0.0634977, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 051, Train Loss: 0.0623555, Train Acc: 0.9805825, Test Acc: 0.6285714
Epoch: 052, Train Loss: 0.0736588, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 053, Train Loss: 0.0538228, Train Acc: 0.9838188, Test Acc: 0.6571429
Epoch: 054, Train Loss: 0.0524897, Train Acc: 0.9838188, Test Acc: 0.6571429
Epoch: 055, Train Loss: 0.0681587, Train Acc: 0.9773463, Test Acc: 0.6285714
Epoch: 056, Train Loss: 0.0443148, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 057, Train Loss: 0.0709814, Train Acc: 0.9741100, Test Acc: 0.7142857
Epoch: 058, Train Loss: 0.0409977, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 059, Train Loss: 0.0416690, Train Acc: 0.9838188, Test Acc: 0.6857143
Epoch: 060, Train Loss: 0.0488852, Train Acc: 0.9838188, Test Acc: 0.7428571
Epoch: 061, Train Loss: 0.0417829, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 062, Train Loss: 0.0384155, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 063, Train Loss: 0.0389279, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 064, Train Loss: 0.0405887, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 065, Train Loss: 0.0354160, Train Acc: 0.9870550, Test Acc: 0.6571429
Epoch: 066, Train Loss: 0.0266232, Train Acc: 0.9870550, Test Acc: 0.6285714
Epoch: 067, Train Loss: 0.0352504, Train Acc: 0.9870550, Test Acc: 0.5714286
