{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.35], 'power': [[1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': '1672672493', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.35], 'power': [[1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '10d24c73942a949ca50a8b18b8a405385ad99dc2', 'time_stamp': 1672672494, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  30%|██▉       | 102/344 [00:00<00:00, 1014.08it/s]Pre-process:  60%|█████▉    | 206/344 [00:00<00:00, 1028.64it/s]Pre-process:  90%|█████████ | 311/344 [00:00<00:00, 1037.39it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 1034.74it/s]
Basis total: 9
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=10d24c73942a949ca50a8b18b8a405385ad99dc2
#Params: 337923
Epoch: 001, Train Loss: 1.0885646, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0465263, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9506227, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8583293, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7877275, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7472439, Train Acc: 0.6375405, Test Acc: 0.6000000
Epoch: 007, Train Loss: 0.7093189, Train Acc: 0.6116505, Test Acc: 0.5714286
Epoch: 008, Train Loss: 0.6962782, Train Acc: 0.5792880, Test Acc: 0.4571429
Epoch: 009, Train Loss: 0.6648205, Train Acc: 0.6148867, Test Acc: 0.4571429
Epoch: 010, Train Loss: 0.6194086, Train Acc: 0.7087379, Test Acc: 0.5142857
Epoch: 011, Train Loss: 0.5894176, Train Acc: 0.6990291, Test Acc: 0.4571429
Epoch: 012, Train Loss: 0.5306931, Train Acc: 0.7411003, Test Acc: 0.5428571
Epoch: 013, Train Loss: 0.4955974, Train Acc: 0.7637540, Test Acc: 0.4857143
Epoch: 014, Train Loss: 0.4915418, Train Acc: 0.7508091, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.4994344, Train Acc: 0.7346278, Test Acc: 0.3714286
Epoch: 016, Train Loss: 0.4779146, Train Acc: 0.7572816, Test Acc: 0.4857143
Epoch: 017, Train Loss: 0.5955031, Train Acc: 0.7119741, Test Acc: 0.5142857
Epoch: 018, Train Loss: 0.5366250, Train Acc: 0.7475728, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.4270509, Train Acc: 0.7831715, Test Acc: 0.5142857
Epoch: 020, Train Loss: 0.3893510, Train Acc: 0.7993528, Test Acc: 0.4857143
Epoch: 021, Train Loss: 0.3855266, Train Acc: 0.8220065, Test Acc: 0.6000000
Epoch: 022, Train Loss: 0.3598652, Train Acc: 0.8220065, Test Acc: 0.5142857
Epoch: 023, Train Loss: 0.3537411, Train Acc: 0.8252427, Test Acc: 0.5428571
Epoch: 024, Train Loss: 0.3692873, Train Acc: 0.8284790, Test Acc: 0.4857143
Epoch: 025, Train Loss: 0.3658128, Train Acc: 0.8252427, Test Acc: 0.4857143
Epoch: 026, Train Loss: 0.2996175, Train Acc: 0.8640777, Test Acc: 0.4857143
Epoch: 027, Train Loss: 0.2875291, Train Acc: 0.8640777, Test Acc: 0.5142857
Epoch: 028, Train Loss: 0.3644420, Train Acc: 0.8220065, Test Acc: 0.5428571
Epoch: 029, Train Loss: 0.2298615, Train Acc: 0.9093851, Test Acc: 0.4857143
Epoch: 030, Train Loss: 0.2584432, Train Acc: 0.8802589, Test Acc: 0.4000000
Epoch: 031, Train Loss: 0.2223023, Train Acc: 0.9126214, Test Acc: 0.4857143
Epoch: 032, Train Loss: 0.2144816, Train Acc: 0.9255663, Test Acc: 0.5428571
Epoch: 033, Train Loss: 0.1872945, Train Acc: 0.9288026, Test Acc: 0.5142857
Epoch: 034, Train Loss: 0.1825198, Train Acc: 0.9255663, Test Acc: 0.5142857
Epoch: 035, Train Loss: 0.1514639, Train Acc: 0.9482201, Test Acc: 0.5714286
Epoch: 036, Train Loss: 0.1692641, Train Acc: 0.9320388, Test Acc: 0.5142857
Epoch: 037, Train Loss: 0.1706626, Train Acc: 0.9385113, Test Acc: 0.5714286
Epoch: 038, Train Loss: 0.1399514, Train Acc: 0.9417476, Test Acc: 0.5714286
Epoch: 039, Train Loss: 0.1967139, Train Acc: 0.9255663, Test Acc: 0.5428571
Epoch: 040, Train Loss: 0.1900294, Train Acc: 0.9093851, Test Acc: 0.5142857
Epoch: 041, Train Loss: 0.1997240, Train Acc: 0.9223301, Test Acc: 0.4571429
Epoch: 042, Train Loss: 0.1343016, Train Acc: 0.9417476, Test Acc: 0.6571429
Epoch: 043, Train Loss: 0.1290987, Train Acc: 0.9579288, Test Acc: 0.5428571
Epoch: 044, Train Loss: 0.1603450, Train Acc: 0.9288026, Test Acc: 0.5142857
Epoch: 045, Train Loss: 0.1287611, Train Acc: 0.9514563, Test Acc: 0.5142857
Epoch: 046, Train Loss: 0.1132038, Train Acc: 0.9579288, Test Acc: 0.5428571
Epoch: 047, Train Loss: 0.1010208, Train Acc: 0.9676375, Test Acc: 0.5142857
Epoch: 048, Train Loss: 0.2160092, Train Acc: 0.9190939, Test Acc: 0.5428571
Epoch: 049, Train Loss: 0.1373478, Train Acc: 0.9449838, Test Acc: 0.6000000
Epoch: 050, Train Loss: 0.1194016, Train Acc: 0.9417476, Test Acc: 0.5142857
Epoch: 051, Train Loss: 0.1004740, Train Acc: 0.9611650, Test Acc: 0.6857143
Epoch: 052, Train Loss: 0.1128458, Train Acc: 0.9482201, Test Acc: 0.5714286
Epoch: 053, Train Loss: 0.0820174, Train Acc: 0.9708738, Test Acc: 0.6000000
Epoch: 054, Train Loss: 0.0613870, Train Acc: 0.9773463, Test Acc: 0.5142857
Epoch: 055, Train Loss: 0.1013057, Train Acc: 0.9579288, Test Acc: 0.6000000
Epoch: 056, Train Loss: 0.0564479, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 057, Train Loss: 0.0593238, Train Acc: 0.9838188, Test Acc: 0.6285714
Epoch: 058, Train Loss: 0.0528370, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 059, Train Loss: 0.0733075, Train Acc: 0.9676375, Test Acc: 0.5714286
Epoch: 060, Train Loss: 0.0518607, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 061, Train Loss: 0.0607591, Train Acc: 0.9773463, Test Acc: 0.5714286
Epoch: 062, Train Loss: 0.0458589, Train Acc: 0.9805825, Test Acc: 0.5714286
Epoch: 063, Train Loss: 0.0471880, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 064, Train Loss: 0.0354127, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 065, Train Loss: 0.0381818, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 066, Train Loss: 0.0358514, Train Acc: 0.9838188, Test Acc: 0.6000000
Epoch: 067, Train Loss: 0.0603294, Train Acc: 0.9773463, Test Acc: 0.6000000
Epoch: 068, Train Loss: 0.0331806, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 069, Train Loss: 0.0308652, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 070, Train Loss: 0.0304539, Train Acc: 0.9805825, Test Acc: 0.6571429
Epoch: 071, Train Loss: 0.0282062, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 072, Train Loss: 0.0282011, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 073, Train Loss: 0.0290586, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 074, Train Loss: 0.0256482, Train Acc: 0.9870550, Test Acc: 0.5428571
Epoch: 075, Train Loss: 0.0298864, Train Acc: 0.9838188, Test Acc: 0.5142857
Epoch: 076, Train Loss: 0.0291655, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 077, Train Loss: 0.0282690, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 078, Train Loss: 0.0358362, Train Acc: 0.9838188, Test Acc: 0.6000000
Epoch: 079, Train Loss: 0.0252679, Train Acc: 0.9870550, Test Acc: 0.6000000
Epoch: 080, Train Loss: 0.0425299, Train Acc: 0.9773463, Test Acc: 0.5428571
Epoch: 081, Train Loss: 0.0670852, Train Acc: 0.9708738, Test Acc: 0.5428571
Epoch: 082, Train Loss: 0.2662780, Train Acc: 0.9223301, Test Acc: 0.6000000
Epoch: 083, Train Loss: 0.0803374, Train Acc: 0.9644013, Test Acc: 0.5714286
Epoch: 084, Train Loss: 0.0562669, Train Acc: 0.9773463, Test Acc: 0.5714286
Epoch: 085, Train Loss: 0.0387983, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 086, Train Loss: 0.0364232, Train Acc: 0.9870550, Test Acc: 0.5714286
Epoch: 087, Train Loss: 0.0360683, Train Acc: 0.9805825, Test Acc: 0.5428571
Epoch: 088, Train Loss: 0.0398263, Train Acc: 0.9838188, Test Acc: 0.5714286
