{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.25, -0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672673821', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.25, -0.3, -0.35, -0.4], 'power': [[1, 8], [1, 8], [1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 151, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672673822, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  24%|██▍       | 82/344 [00:00<00:00, 814.96it/s]Pre-process:  48%|████▊     | 166/344 [00:00<00:00, 829.10it/s]Pre-process:  72%|███████▏  | 249/344 [00:00<00:00, 828.53it/s]Pre-process:  97%|█████████▋| 335/344 [00:00<00:00, 837.70it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 833.00it/s]
Basis total: 33
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 340995
Epoch: 001, Train Loss: 1.0818139, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0489879, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9589964, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8557788, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7732379, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 006, Train Loss: 0.7251258, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.6973939, Train Acc: 0.5954693, Test Acc: 0.5428571
Epoch: 008, Train Loss: 0.6775844, Train Acc: 0.5695793, Test Acc: 0.5428571
Epoch: 009, Train Loss: 0.6508054, Train Acc: 0.6796117, Test Acc: 0.5714286
Epoch: 010, Train Loss: 0.6292744, Train Acc: 0.6278317, Test Acc: 0.5714286
Epoch: 011, Train Loss: 0.6053772, Train Acc: 0.6569579, Test Acc: 0.4571429
Epoch: 012, Train Loss: 0.5937303, Train Acc: 0.6537217, Test Acc: 0.6285714
Epoch: 013, Train Loss: 0.5228084, Train Acc: 0.7540453, Test Acc: 0.5428571
Epoch: 014, Train Loss: 0.5285337, Train Acc: 0.6860841, Test Acc: 0.5714286
Epoch: 015, Train Loss: 0.5384091, Train Acc: 0.7216828, Test Acc: 0.5428571
Epoch: 016, Train Loss: 0.4316994, Train Acc: 0.8058252, Test Acc: 0.5714286
Epoch: 017, Train Loss: 0.3897690, Train Acc: 0.8155340, Test Acc: 0.6000000
Epoch: 018, Train Loss: 0.4119125, Train Acc: 0.7831715, Test Acc: 0.5428571
Epoch: 019, Train Loss: 0.6880663, Train Acc: 0.6957929, Test Acc: 0.4571429
Epoch: 020, Train Loss: 0.4044073, Train Acc: 0.7993528, Test Acc: 0.5714286
Epoch: 021, Train Loss: 0.3733696, Train Acc: 0.8511327, Test Acc: 0.6000000
Epoch: 022, Train Loss: 0.3778324, Train Acc: 0.8220065, Test Acc: 0.4857143
Epoch: 023, Train Loss: 0.4101978, Train Acc: 0.7993528, Test Acc: 0.4571429
Epoch: 024, Train Loss: 0.3514624, Train Acc: 0.8446602, Test Acc: 0.5142857
Epoch: 025, Train Loss: 0.3012043, Train Acc: 0.8737864, Test Acc: 0.4857143
Epoch: 026, Train Loss: 0.3317851, Train Acc: 0.8414239, Test Acc: 0.5428571
Epoch: 027, Train Loss: 0.2881680, Train Acc: 0.8673139, Test Acc: 0.4857143
Epoch: 028, Train Loss: 0.5102431, Train Acc: 0.7669903, Test Acc: 0.5428571
Epoch: 029, Train Loss: 0.3852954, Train Acc: 0.7928803, Test Acc: 0.6000000
Epoch: 030, Train Loss: 0.4336886, Train Acc: 0.7961165, Test Acc: 0.5714286
Epoch: 031, Train Loss: 0.2384599, Train Acc: 0.8834951, Test Acc: 0.4571429
Epoch: 032, Train Loss: 0.1866454, Train Acc: 0.9255663, Test Acc: 0.5428571
Epoch: 033, Train Loss: 0.2199894, Train Acc: 0.8932039, Test Acc: 0.4857143
Epoch: 034, Train Loss: 0.1701847, Train Acc: 0.9546926, Test Acc: 0.6000000
Epoch: 035, Train Loss: 0.2187192, Train Acc: 0.8996764, Test Acc: 0.5428571
Epoch: 036, Train Loss: 0.1564884, Train Acc: 0.9514563, Test Acc: 0.5142857
Epoch: 037, Train Loss: 0.1631168, Train Acc: 0.9385113, Test Acc: 0.5428571
Epoch: 038, Train Loss: 0.1304798, Train Acc: 0.9514563, Test Acc: 0.4571429
Epoch: 039, Train Loss: 0.1616763, Train Acc: 0.9417476, Test Acc: 0.5142857
Epoch: 040, Train Loss: 0.1663064, Train Acc: 0.9320388, Test Acc: 0.5714286
Epoch: 041, Train Loss: 0.1303380, Train Acc: 0.9611650, Test Acc: 0.5142857
Epoch: 042, Train Loss: 0.1002698, Train Acc: 0.9708738, Test Acc: 0.5714286
Epoch: 043, Train Loss: 0.1162109, Train Acc: 0.9644013, Test Acc: 0.7142857
Epoch: 044, Train Loss: 0.1083580, Train Acc: 0.9514563, Test Acc: 0.6000000
Epoch: 045, Train Loss: 0.0706102, Train Acc: 0.9805825, Test Acc: 0.6000000
Epoch: 046, Train Loss: 0.0879992, Train Acc: 0.9708738, Test Acc: 0.5714286
Epoch: 047, Train Loss: 0.0617212, Train Acc: 0.9838188, Test Acc: 0.5428571
Epoch: 048, Train Loss: 0.0516317, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 049, Train Loss: 0.0522175, Train Acc: 0.9838188, Test Acc: 0.5714286
Epoch: 050, Train Loss: 0.0567500, Train Acc: 0.9773463, Test Acc: 0.5714286
Epoch: 051, Train Loss: 0.1234257, Train Acc: 0.9482201, Test Acc: 0.5714286
Epoch: 052, Train Loss: 0.0477351, Train Acc: 0.9838188, Test Acc: 0.5428571
