{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.35, -0.4], 'power': [[1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': '1672746247', 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/'}
{'dataset_name': 'PTC_MR', 'basis': 'GSO', 'epsilon': [-0.35, -0.4], 'power': [[1, 8], [1, 8]], 'seeds': [0], 'num_folds': 10, 'num_workers': 4, 'hyperparams': {'batch_size': 64, 'epochs': 201, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.65}, 'architecture': {'nonlinear': 'GELU', 'layers': 6, 'hidden': 128, 'pooling': 'X', 'dropout': 0}, 'commit_id': '5550c7a449f3b4116970d9d7caeb5ab686e3e08f', 'time_stamp': 1672746248, 'directory': '../../../../results_spectral_rotation/Try_A100/tu/PTC_MR/board/', 'seed': 0}
Pre-process:   0%|          | 0/344 [00:00<?, ?it/s]Pre-process:  27%|██▋       | 94/344 [00:00<00:00, 937.79it/s]Pre-process:  56%|█████▌    | 191/344 [00:00<00:00, 952.23it/s]Pre-process:  84%|████████▎ | 288/344 [00:00<00:00, 957.99it/s]Pre-process: 100%|██████████| 344/344 [00:00<00:00, 958.28it/s]
Basis total: 17
train_set : test_set = %d : %d 309 35
-------- FOLD0 DATASET=PTC_MR, COMMIT_ID=5550c7a449f3b4116970d9d7caeb5ab686e3e08f
#Params: 338947
Epoch: 001, Train Loss: 1.0696164, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 002, Train Loss: 1.0079414, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 003, Train Loss: 0.9003335, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 004, Train Loss: 0.8038198, Train Acc: 0.5598706, Test Acc: 0.5428571
Epoch: 005, Train Loss: 0.7557556, Train Acc: 0.5954693, Test Acc: 0.4571429
Epoch: 006, Train Loss: 0.7145946, Train Acc: 0.5922330, Test Acc: 0.5428571
Epoch: 007, Train Loss: 0.7116896, Train Acc: 0.4951456, Test Acc: 0.4285714
Epoch: 008, Train Loss: 0.6930303, Train Acc: 0.5695793, Test Acc: 0.4857143
Epoch: 009, Train Loss: 0.7116608, Train Acc: 0.5016181, Test Acc: 0.4000000
Epoch: 010, Train Loss: 0.6319165, Train Acc: 0.6310680, Test Acc: 0.5428571
Epoch: 011, Train Loss: 0.6538770, Train Acc: 0.5889968, Test Acc: 0.5142857
Epoch: 012, Train Loss: 0.5321065, Train Acc: 0.7443366, Test Acc: 0.6000000
Epoch: 013, Train Loss: 0.5577494, Train Acc: 0.6893204, Test Acc: 0.5142857
Epoch: 014, Train Loss: 0.4636588, Train Acc: 0.7766990, Test Acc: 0.6000000
Epoch: 015, Train Loss: 0.4367968, Train Acc: 0.8155340, Test Acc: 0.5714286
Epoch: 016, Train Loss: 0.4295310, Train Acc: 0.7928803, Test Acc: 0.5142857
Epoch: 017, Train Loss: 0.4168991, Train Acc: 0.8058252, Test Acc: 0.5428571
Epoch: 018, Train Loss: 0.4602932, Train Acc: 0.7540453, Test Acc: 0.5142857
Epoch: 019, Train Loss: 0.3623624, Train Acc: 0.8381877, Test Acc: 0.5714286
Epoch: 020, Train Loss: 0.3510332, Train Acc: 0.8608414, Test Acc: 0.5714286
